order,species,autorship,categoria,obs
52,Enterolobium contortisiliquiuum ,(Veil.) Morong.,LC,Timbo Timbo colorado Oreja de negro Pacara Camba-cambf. Arbol corpulento propio del norte hasta isla Martin Garcia (Buenos Aires). Seguramente fuera de peligro.
53,Erythrina dominguezii ,HassI.,Indeterminada,Seibo chaquefio Arbol presente en Salta Formosa y Chaco.
54,Lupinus tucumanensis ,Smith,Rare,NA
55,Mimosa tandilense ,Speg.,Indeterminada,Arbusto achaparrado presente en las sierras del sur bonaerense. Seguramente rara.
56,Myrocarpus frondosus ,Fr. Allem,Endangered (maybe Vulnerable),Ibira-paye Ibira-payu Cabriuba. Crece en Misiones y nordeste de Corrientes. Tal vez vulnerable.
57,Myroxylon peruiferum ,L.F.,Vulnerable,Incienso colorado Quina Quina colorada. Arbol de las selvas montanas de Salta y Jujuy. Seguramente vulnerable.
58,Piptadenia paraguayensis ,(Benht.) Lindm.,Endangered,Arbusto de Chaco y Formosa.
59,Prosopis abbreviata ,Benth.,Endangered,Arbusto 0 arbolito muy escaso hallado en Santiago del Estero San Luis San Juan Catamarca y Cordoba.
60,Prosopis affinis ,Aprene,Endangered (maybe Vulnerable),AlgarrobiIIo Ibope-rnorotf. Arbol 0 arbusto presente desde Formosa y Corrientes a Santa Fe y Entre Rfos. Tal vez vulnerable. En Cordoba En regresion.
61,Prospios flexuosa ,D.C.,Vulnerable,Algarrobo negro Panta negra. Arbol propio del oeste arido argentino desde Salta a RIO Negro y el sudoeste de Buenos Aires presionado localmente. En Cordoba en regresion.
62,Ramorinoa girolae ,Speg.,Rare,Arbusto 0 arbolito xerofilo endernico de las serranfas de La Rioja este de San Juan y noroeste de San Luis.
63,Sophora linearifolia ,Griseb.,Rare,Subarbusto de tonalidad plateada endernico de las Sierras de Cordoba y San Luis.
64,Sophora microphylla ,Ait.,Endangered,Pilo. Arbusto de tonalidad verde restringido en Argentina a la porcion de Selva Valdiviana.
65,Sophora rhynchocarpa ,Griseb.,Rare,Arbusto propio de los valles hiimedos de Tucuman y Salta parece bastante raro.
66,Cedrela angustifolia ,Sesse et Mocifio ex DC,Indeterminada,(= Cedrela balansae C.D.C.) Cedro. Arbol de las selvas montanas de Salta y Jujuy.
67,Cedrela tubijlora ,Bertoni,Indeterminada,"Cedro paraguayo Cedro Ihgarfh. Arbol de la selva de Misiones fue la especie ""de ley"" mas buscada en la exploracion obrajera de esta provincia."
68,Amomyrtus luma ,(Mol.) Legr. et Kausel,Endangered,(= Myrtus darwinii (Hook.) Bam.) Arbusto 0 arbol del oeste patagonico desde Neuquen a Chubut siendo cormin en los Parques Nacionales Nahuel Huapi y Los Alerces. Podrfa considerarse indeterminada.
69,Eugenia pseudomato ,Legr.,Rare,Arbol endemico de las selvas montanas de Tucuman
70,Luma apiculata ,(DC). Burret,Indeterminada,Quetri. Arbusto 0 arbol que suele formar bosques puros por el oeste desde Neuquen a Chubut.
71,Myrcianthes callicoma ,Me Vaugh,Endangered,Arbol que en la Argentina solo fue hallado en los bosques montanos de Tucuman.
72,Myrciaria truncijlora ,Berg.,Endangered,Guapuni Ibapuni. Arbolito del nordeste.
73,Myrteola leucomyrtillus ,(Griseb.) Reiche,Endangered,(= Myrteola bullata O. Berg.) Arbusto del oeste de Neuquen y Rio Negro.
74,Myrteola nummularia ,(Poir.) O. Berg.,Endangered,Pequeno subarbusto presente en las Islas Malvinas Isla de los Estados y el oeste de Santa Cruz.
75,Myrteola nummularia ,(Poir.) O. Berg. var barneoudii (0. Berg.) Kausel,Endangered,(= Myrteola barneoudii Berg.) - Huarapo. Propio del oeste de Neuquen y Rio Negro.
76,Temu crucksanksii ,Berg.,Endangered,"Arbol de Chile, alguna vez mencionado para Neuquen y Rio Negro."
77,Temu divaricatum ,(Berg.) Berg.,Endangered,Palo colorado. Arbol de Chile alguna vez mencionado para Neuquen y Rio Negro.
78,Tepualia stipularis ,(H. et A.) Griseb.,Endangered,Trepti. Arbusto de los bosques andinopatagonicos desde Rio Negro a Tierra del Fuego. Seguramente rara.
79,Acrocomia chunta ,Covas et Ragonese,Endangered,Palmera conocida de Salta.
80,Acrocomia totai ,Mart.,Endangered,Coco Mbocaya. Palmera de Formosa Corrientes y Misiones. Tambien cultivada.
81,Allagoptera campestris ,(Martius) O. Kuntze,Indeterminada,Propia de la regi6n de los campos en el sur de Misiones.
82,Butia paraguayensis ,(Rodr.) Becc.,Endangered,Yatay-mini Yatay enano. Palmera pequefia de Corrientes y el sur de Misiones.
83,Butia yatay ,(Mart.) Becc.,Vulnerable,Palma 0 palmera real Ariri. Palmera de Santa Fe Corrientes y Entre Rfos tambien mencionada para Misiones.
