"species.correct","N","dbh.crit","p","p.est","str.match"
"Hirtella gracilipes",4,7,0.5,"0.5998","early_secondary_small_tree"
"Hirtella hebeclada",253,15,0.383399209486166,"0.3047","late_secondary_large_tree"
"Hirtella santosii",10,NA,NA,"0.5122","unknown_small_tree"
"Hirtella triandra",5,NA,NA,"0.3342","unknown_large_tree"
"Holocalyx balansae",270,15,0.177777777777778,"0.3047","late_secondary_large_tree"
"Homalolepis cedron",7,NA,NA,"0.3342","unknown_large_tree"
"Homalolepis floribunda",1,NA,NA,"0.5122","unknown_small_tree"
"Hornschuchia cauliflora",1,5,1,"1","unknown_large_shrub"
"Hornschuchia obliqua",2,NA,NA,"0.5122","unknown_small_tree"
"Hortia brasiliana",2,12.5,1,"0.4498","early_secondary_large_tree"
"Huberia ovalifolia",1,7,0,"0.5998","early_secondary_small_tree"
"Humiriastrum dentatum",43,15,0.325581395348837,"0.3047","late_secondary_large_tree"
"Hydrogaster trinervis",18,12.5,0.555555555555556,"0.4498","early_secondary_large_tree"
"Hyeronima alchorneoides",944,12.5,0.685381355932203,"0.4498","early_secondary_large_tree"
"Hyeronima oblonga",27,NA,NA,"0.3342","unknown_large_tree"
"Hymenaea courbaril",33,15,0.666666666666667,"0.3047","late_secondary_large_tree"
"Hymenaea oblongifolia",4,NA,NA,"0.3342","unknown_large_tree"
"Hymenaea rubriflora",5,9,0.6,"0.2868","climax_small_tree"
"Hymenolobium janeirense",21,15,0.285714285714286,"0.3047","late_secondary_large_tree"
"Ilex dumosa",125,12.5,0.248,"0.4498","early_secondary_large_tree"
"Ilex integerrima",21,NA,NA,"0.3342","unknown_large_tree"
"Ilex paraguariensis",37,15,0.459459459459459,"0.3047","late_secondary_large_tree"
"Ilex psammophila",1,NA,NA,"0.3342","unknown_large_tree"
"Ilex pseudobuxus",85,15,0.270588235294118,"0.3047","late_secondary_large_tree"
"Ilex taubertiana",23,15,0.391304347826087,"0.3047","late_secondary_large_tree"
"Ilex theezans",229,10,0.755458515283843,"0.5842","pioneer_large_tree"
"Indet spp.",1,NA,NA,NA,"NA_NA"
