"internal_taxon_id","Name_submitted","family","genus","species.correct","taxon.rank","life.form.reflora","habitat.reflora","vegetation.type.reflora","ordem.spp","establishment","habito","life.form","MaxHeight","GF","wsg","ecol.group","SeedMass_g","dispersal.syndrome"
"sp21","Acalypha macrostachya","Euphorbiaceae","Acalypha","Acalypha macrostachya","species","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)",21,"native","tree","Woody tree (Tree or shrub)",6,"small_tree",0.3,"early_secondary",0.0016601442,"autochoric"
"sp22","Acalypha multicaulis","Euphorbiaceae","Acalypha","Acalypha multicaulis","species","Arbusto|Erva|Subarbusto","Terrícola","Área Antrópica|Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)",22,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.3,"early_secondary",0.0016601442,NA
"sp23","Acalypha villosa","Euphorbiaceae","Acalypha","Acalypha villosa","species","Arbusto|Árvore","Terrícola","Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",23,"native","tree","Woody tree (Shrub or treelet)",7,"small_tree",0.3,"early_secondary",0.0016601442,"zoochoric"
"sp24","Acanthocladus brasiliensis","Polygalaceae","Acanthocladus","Acanthocladus brasiliensis","species","Arbusto|Subarbusto","Terrícola",NA,24,"native","shrub","Woody tree (Shrub or treelet)",3.1,"large_shrub",0.66,"late_secondary",NA,"zoochoric"
"sp25","Acanthocladus dichromus","Polygalaceae","Acanthocladus","Acanthocladus dichromus","species","Arbusto|Árvore","Terrícola","Caatinga (stricto sensu)|Floresta Estacional Semidecidual",25,"native","tree","Woody tree (Tree or shrub)",5.9,"small_tree",0.66,"unknown",NA,"zoochoric"
"sp26","Acanthocladus pulcherrimus","Polygalaceae","Acanthocladus","Acanthocladus pulcherrimus","species","Arbusto|Árvore","Terrícola",NA,26,"native","tree","Woody tree (Tree or shrub)",8.2,"small_tree",0.66,"early_secondary",NA,"zoochoric"
"sp27","Acanthocladus santosii","Polygalaceae","Acanthocladus","Acanthocladus santosii","species","Arbusto|Árvore","Terrícola",NA,27,"native","tree","Woody tree (Tree)",8,"small_tree",0.66,"unknown",NA,NA
"sp28","Acanthosyris paulo-alvinii","Santalaceae","Acanthosyris","Acanthosyris paulo-alvinii","species","Arbusto|Árvore","Hemiparasita","Cerrado (lato sensu)",28,"native","tree","Woody tree (Tree)",15,"large_tree",0.6,"unknown",33.3333333333333,NA
"sp29","Acanthosyris spinescens","Santalaceae","Acanthosyris","Acanthosyris spinescens","species","Arbusto|Árvore","Hemiparasita","Campo Limpo|Floresta Ciliar ou Galeria|Floresta Estacional Decidual",29,"native","tree","Woody tree (Tree or shrub)",6,"small_tree",0.79,"pioneer",2.94117647058824,"zoochoric"
"sp30","Accara elegans","Myrtaceae","Accara","Accara elegans","species","Arbusto|Árvore|Subarbusto","Terrícola","Campo Limpo|Campo rupestre",30,"native","shrub","Woody tree (Shrub or treelet)",NA,"small_tree",0.741152602841945,"unknown",NA,"zoochoric"
"sp31","Achatocarpus hasslerianus","Achatocarpaceae","Achatocarpus","Achatocarpus hasslerianus","species",NA,NA,NA,31,"AF native but not in Brazil","tree","Woody tree (Tree)",8,"small_tree",0.825,"unknown",NA,NA
"sp32","Achatocarpus praecox","Achatocarpaceae","Achatocarpus","Achatocarpus praecox","species","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual",32,"native","tree","Woody tree (Tree or shrub)",9.8,"small_tree",0.85,"late_secondary",NA,"zoochoric"
"sp33","Acosmium diffusissimum","Fabaceae","Acosmium","Acosmium diffusissimum","species","Árvore","Rupícola|Terrícola","Caatinga (stricto sensu)|Floresta Estacional Decidual",33,"native","tree","Woody tree (Tree)",16,"large_tree",0.8125,"unknown",NA,NA
"sp34","Acosmium lentiscifolium","Fabaceae","Acosmium","Acosmium lentiscifolium","species","Árvore","Terrícola","Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",34,"native","tree","Woody tree (Tree)",19.1,"large_tree",0.8125,"early_secondary",0.0400449347855107,"anemochoric"
"sp35","Acritopappus confertus","Asteraceae","Acritopappus","Acritopappus confertus","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Restinga",35,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.530140647804348,"unknown",NA,NA
"sp36","Acritopappus connatifolius","Asteraceae","Acritopappus","Acritopappus connatifolius","species","Arbusto|Árvore","Terrícola","Campo rupestre",36,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.530140647804348,"unknown",NA,NA
"sp37","Acritopappus heterolepis","Asteraceae","Acritopappus","Acritopappus heterolepis","species","Arbusto|Árvore","Terrícola","Campo rupestre",37,"native","tree","Woody tree (Shrub or treelet)",5,"small_tree",0.530140647804348,"unknown",NA,"anemochoric"
"sp38","Acritopappus prunifolius","Asteraceae","Acritopappus","Acritopappus prunifolius","species","Árvore","Terrícola","Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)",38,"native","tree","Woody tree (Shrub or treelet)",5,"small_tree",0.530140647804348,"unknown",NA,NA
"sp39","Acrocomia aculeata","Arecaceae","Acrocomia","Acrocomia aculeata","species","Palmeira","Terrícola","Área Antrópica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Perenifólia|Floresta Estacional Semidecidual",39,"native","tree","Solitary palm",18.58,"large_tree",0.781,"pioneer",10.6730758652311,"zoochoric"
"sp40","Acrocomia intumescens","Arecaceae","Acrocomia","Acrocomia intumescens","species","Palmeira","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",40,"native","tree","Solitary palm",9.6,"small_tree",1.5,"pioneer",10.6730758652311,"zoochoric"
"sp41","Actinostemon appendiculatus","Euphorbiaceae","Actinostemon","Actinostemon appendiculatus","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",41,"native","tree","Woody tree (Tree)",13.8,"small_tree",0.907,"unknown",0.0218549862068965,"autochoric"
"sp42","Actinostemon concepcionis","Euphorbiaceae","Actinostemon","Actinostemon concepcionis","species","Arbusto|Subarbusto","Terrícola","Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)",42,"native","tree","Woody tree (Tree)",7.5,"small_tree",0.907,"late_secondary",0.0218549862068965,"autochoric"
"sp43","Actinostemon concolor","Euphorbiaceae","Actinostemon","Actinostemon concolor","species","Arbusto|Árvore","Terrícola","Caatinga (stricto sensu)|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga",43,"native","tree","Woody tree (Tree or shrub)",14.778,"small_tree",0.907,"late_secondary",0.0218549862068965,"autochoric"
"sp44","Actinostemon echinatus","Euphorbiaceae","Actinostemon","Actinostemon echinatus","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",44,"native","tree","Woody tree (Tree or shrub)",6,"small_tree",0.907,"unknown",0.0218549862068965,"autochoric"
"sp45","Actinostemon klotzschii","Euphorbiaceae","Actinostemon","Actinostemon klotzschii","species","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)",45,"native","tree","Woody tree (Tree or shrub)",9,"small_tree",0.907,"late_secondary",0.0218549862068965,"autochoric"
"sp46","Actinostemon roseliae","Euphorbiaceae","Actinostemon","Actinostemon roseliae","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",46,"native","tree","Woody tree (Tree)",NA,"tree_unknown",0.907,"unknown",0.0218549862068965,"autochoric"
"sp47","Actinostemon verticillatus","Euphorbiaceae","Actinostemon","Actinostemon verticillatus","species","Arbusto","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",47,"native","tree","Woody tree (Tree)",16,"large_tree",0.907,"late_secondary",0.0218549862068965,"autochoric"
"sp48","Adelia membranifolia","Euphorbiaceae","Adelia","Adelia membranifolia","species","Arbusto|Árvore","Terrícola","Floresta Estacional Decidual|Floresta Ombrófila (= Floresta Pluvial)",48,"native","tree","Woody tree (Tree)",5.7,"small_tree",0.543,"pioneer",0.1190686,"autochoric"
"sp49","Adenocalymma subsessilifolium","Bignoniaceae","Adenocalymma","Adenocalymma subsessilifolium","species","Arbusto","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",49,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.70074934219802,"early_secondary",NA,"anemochoric"
"sp50","Adenophaedra megalophylla","Euphorbiaceae","Adenophaedra","Adenophaedra megalophylla","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",50,"native","tree","Woody tree (Tree)",6.9,"small_tree",0.4,"unknown",NA,NA
"sp51","Aegiphila australis","Lamiaceae","Aegiphila","Aegiphila australis","species","Arbusto|Árvore","Terrícola","Restinga",51,"native","tree","Woody tree (Tree)",NA,"tree_unknown",0.516714285714286,"unknown",0.0359617823072269,"zoochoric"
"sp52","Aegiphila brachiata","Lamiaceae","Aegiphila","Aegiphila brachiata","species","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",52,"native","tree","Woody tree (Tree or shrub)",8,"small_tree",0.516714285714286,"early_secondary",0.0359617823072269,"zoochoric"
"sp53","Aegiphila fluminensis","Lamiaceae","Aegiphila","Aegiphila fluminensis","species","Arbusto|Árvore|Liana/volúvel/trepadeira","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",53,"native","tree","Woody tree (Lianescent)",15.2,"large_tree",0.516714285714286,"unknown",0.0359617823072269,"zoochoric"
"sp54","Aegiphila graveolens","Lamiaceae","Aegiphila","Aegiphila graveolens","species","Arbusto","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga",54,"native","shrub","Woody tree (Tree or shrub)",5,"small_tree",0.516714285714286,"unknown",0.0359617823072269,"zoochoric"
"sp55","Aegiphila integrifolia","Lamiaceae","Aegiphila","Aegiphila integrifolia","species","Arbusto|Árvore","Terrícola","Área Antrópica|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga|Savana Amazônica",55,"native","tree","Woody tree (Tree)",15,"large_tree",0.4859,"pioneer",0.0157311538461538,"zoochoric"
"sp56","Aegiphila laevis","Lamiaceae","Aegiphila","Aegiphila laevis","species","Arbusto|Liana/volúvel/trepadeira","Terrícola","Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Perenifólia|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",56,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.516714285714286,"unknown",0.06,"zoochoric"
"sp57","Aegiphila luschnathii","Lamiaceae","Aegiphila","Aegiphila luschnathii","species","Arbusto|Árvore","Terrícola","Carrasco|Floresta Ombrófila (= Floresta Pluvial)|Restinga",57,"native","tree","Woody tree (Tree or shrub)",5,"small_tree",0.516714285714286,"unknown",0.0359617823072269,"zoochoric"
"sp58","Aegiphila mediterranea","Lamiaceae","Aegiphila","Aegiphila mediterranea","species","Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",58,"native","tree","Woody tree (Tree)",8.9,"small_tree",0.516714285714286,"early_secondary",0.0359617823072269,"zoochoric"
"sp59","Aegiphila novofriburgensis","Lamiaceae","Aegiphila","Aegiphila novofriburgensis","species","Arbusto","Terrícola","Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial)",59,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.516714285714286,"unknown",0.0359617823072269,"zoochoric"
"sp60","Aegiphila obducta","Lamiaceae","Aegiphila","Aegiphila obducta","species","Arbusto|Árvore|Liana/volúvel/trepadeira","Terrícola","Campo de Altitude|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",60,"native","tree","Woody tree (Tree or shrub)",11.902,"small_tree",0.516714285714286,"pioneer",0.0359617823072269,"zoochoric"
"sp61","Aegiphila pernambucensis","Lamiaceae","Aegiphila","Aegiphila pernambucensis","species","Arbusto|Árvore","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",61,"native","tree","Woody tree (Tree or shrub)",5,"small_tree",0.516714285714286,"unknown",0.0359617823072269,"zoochoric"
"sp62","Aegiphila racemosa","Lamiaceae","Aegiphila","Aegiphila racemosa","species","Arbusto|Liana/volúvel/trepadeira","Terrícola","Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",62,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.516714285714286,"unknown",0.0359617823072269,"zoochoric"
"sp63","Aegiphila riedeliana","Lamiaceae","Aegiphila","Aegiphila riedeliana","species","Arbusto","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",63,"native","tree","Woody tree (Tree or shrub)",6,"small_tree",0.516714285714286,"unknown",0.0359617823072269,"zoochoric"
"sp64","Aegiphila verticillata","Lamiaceae","Aegiphila","Aegiphila verticillata","species","Arbusto|Árvore|Subarbusto","Terrícola","Caatinga (stricto sensu)|Campo de Altitude|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Savana Amazônica",64,"native","tree","Woody tree (Tree or shrub)",10.4,"small_tree",0.59375,"pioneer",0.0668481548699335,"zoochoric"
"sp65","Aegiphila vitelliniflora","Lamiaceae","Aegiphila","Aegiphila vitelliniflora","species","Arbusto|Árvore|Liana/volúvel/trepadeira","Terrícola","Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",65,"native","tree","Woody tree (Shrub or treelet)",4,"large_shrub",0.516714285714286,"early_secondary",0.0359617823072269,"zoochoric"
"sp66","Aenigmatanthera lasiandra","Malpighiaceae","Aenigmatanthera","Aenigmatanthera lasiandra","species","Arbusto","Terrícola","Cerrado (lato sensu)",66,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.633954638716418,"unknown",NA,NA
"sp67","Aeschynomene ciliata","Fabaceae","Aeschynomene","Aeschynomene ciliata","species","Arbusto|Subarbusto","Aquática","Área Antrópica|Floresta Ciliar ou Galeria|Floresta de Igapó|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Vegetação Aquática",67,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.689650309577778,"unknown",0.0107033016470588,NA
"sp68","Aeschynomene sensitiva","Fabaceae","Aeschynomene","Aeschynomene sensitiva","species","Subarbusto","Aquática","Área Antrópica|Floresta Ciliar ou Galeria|Vegetação Aquática",68,"native","shrub","Woody tree (Shrub or treelet)",3,"large_shrub",0.689650309577778,"unknown",0.007404,NA
"sp69","Agarista coriifolia","Ericaceae","Agarista","Agarista coriifolia","species","Arbusto|Subarbusto","Terrícola","Campo de Altitude|Campo rupestre",69,"native","shrub","Woody tree (Tree or shrub)",4.66,"large_shrub",0.731,"unknown",0.000946566666666667,"autochoric"
"sp70","Agarista eucalyptoides","Ericaceae","Agarista","Agarista eucalyptoides","species","Arbusto|Árvore","Terrícola","Campo de Altitude|Campo rupestre|Vegetação Sobre Afloramentos Rochosos",70,"native","tree","Woody tree (Tree or shrub)",9.2,"small_tree",0.69,"early_secondary",0.002,"autochoric"
"sp71","Agarista glaberrima","Ericaceae","Agarista","Agarista glaberrima","species","Arbusto|Árvore","Terrícola","Campo rupestre",71,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.643,"unknown",0.000946566666666667,NA
"sp72","Agarista minensis","Ericaceae","Agarista","Agarista minensis","species","Arbusto|Árvore","Terrícola","Campo de Altitude",72,"native","tree","Woody tree (Shrub or treelet)",5,"small_tree",0.731,"unknown",0.000946566666666667,NA
"sp73","Agarista niederleinii","Ericaceae","Agarista","Agarista niederleinii","species","Arbusto|Árvore","Terrícola","Campo de Altitude",73,"native","tree","Woody tree (Tree or shrub)",5,"small_tree",0.731,"unknown",0.000946566666666667,"autochoric"
"sp74","Agarista oleifolia","Ericaceae","Agarista","Agarista oleifolia","species","Arbusto|Árvore|Subarbusto","Terrícola","Campo de Altitude|Campo rupestre",74,"native","tree","Woody tree (Tree or shrub)",5.9,"small_tree",0.731,"unknown",0.000946566666666667,"autochoric"
"sp75","Agarista pulchella","Ericaceae","Agarista","Agarista pulchella","species","Arbusto|Subarbusto","Terrícola","Campo de Altitude|Campo rupestre",75,"native","shrub","Woody tree (Shrub or treelet)",3,"large_shrub",0.731,"unknown",0.000946566666666667,"autochoric"
"sp76","Agarista pulchra","Ericaceae","Agarista","Agarista pulchra","species","Arbusto|Árvore","Terrícola","Campo de Altitude|Campo rupestre",76,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.731,"unknown",0.000946566666666667,"autochoric"
"sp77","Agarista revoluta","Ericaceae","Agarista","Agarista revoluta","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Restinga",77,"native","tree","Woody tree (Tree or shrub)",6,"small_tree",0.731,"unknown",0.000946566666666667,"autochoric"
"sp78","Agarista uleana","Ericaceae","Agarista","Agarista uleana","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos",78,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.731,"unknown",0.000946566666666667,NA
"sp79","Agonandra brasiliensis","Opiliaceae","Agonandra","Agonandra brasiliensis","species","Árvore","Terrícola","Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta de Várzea|Floresta Estacional Decidual|Floresta Estacional Semidecidual",79,"native","tree","Woody tree (Tree)",16,"large_tree",0.843444444444444,"late_secondary",2.40963855421687,"zoochoric"
"sp80","Agonandra excelsa","Opiliaceae","Agonandra","Agonandra excelsa","species","Arbusto|Árvore","Terrícola","Caatinga (stricto sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",80,"native","tree","Woody tree (Tree)",16.5,"large_tree",0.785,"late_secondary",1.66666666666667,"zoochoric"
"sp81","Agonandra fluminensis","Opiliaceae","Agonandra","Agonandra fluminensis","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",81,"native","tree","Woody tree (Tree or shrub)",5,"small_tree",0.835857142857143,"unknown",2.22911646586345,"zoochoric"
"sp82","Aiouea acarodomatifera","Lauraceae","Aiouea","Aiouea acarodomatifera","species","Arbusto|Árvore","Terrícola","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",82,"native","tree","Woody tree (Tree)",19.2,"large_tree",0.49758,"late_secondary",0.240645161290323,"zoochoric"
"sp83","Aiouea bracteata","Lauraceae","Aiouea","Aiouea bracteata","species","Árvore","Terrícola","Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual",83,"native","tree","Woody tree (Tree or shrub)",19.7,"large_tree",0.49758,"late_secondary",0.240645161290323,"zoochoric"
"sp84","Aiouea glaziovii","Lauraceae","Aiouea","Aiouea glaziovii","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",84,"native","tree","Woody tree (Tree)",28.9,"large_tree",0.61195,"climax",0.161290322580645,"zoochoric"
"sp85","Aiouea hirsuta","Lauraceae","Aiouea","Aiouea hirsuta","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",85,"native","tree","Woody tree (Tree)",11.6,"small_tree",0.49758,"late_secondary",0.240645161290323,"zoochoric"
"sp86","Aiouea laevis","Lauraceae","Aiouea","Aiouea laevis","species","Árvore","Terrícola","Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)|Restinga",86,"native","tree","Woody tree (Tree)",15,"large_tree",0.49758,"unknown",0.240645161290323,"zoochoric"
"sp87","Aiouea montana","Lauraceae","Aiouea","Aiouea montana","species",NA,NA,NA,87,"native","tree","Woody tree (Tree)",NA,"tree_unknown",0.49758,"unknown",0.240645161290323,"zoochoric"
"sp88","Aiouea rubrinervia","Lauraceae","Aiouea","Aiouea rubrinervia","species","Árvore","Terrícola",NA,88,"native","tree","Woody tree (Tree)",8,"small_tree",0.49758,"unknown",0.240645161290323,"zoochoric"
"sp89","Aiouea saligna","Lauraceae","Aiouea","Aiouea saligna","species","Árvore","Terrícola","Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga",89,"native","tree","Woody tree (Tree)",23.5,"large_tree",0.447,"late_secondary",0.32,"zoochoric"
