"internal_taxon_id","Name_submitted","family","genus","species.correct","taxon.rank","life.form.reflora","habitat.reflora","vegetation.type.reflora","ordem.spp","establishment","habito","life.form","MaxHeight","GF","wsg","ecol.group","SeedMass_g","dispersal.syndrome"
"sp934","Conchocarpus sordidus","Rutaceae","Conchocarpus","Conchocarpus sordidus","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",934,"native","tree","Woody tree (Tree or shrub)",5,"small_tree",0.686797727272727,"unknown",0.55,NA
"sp935","Condalia buxifolia","Rhamnaceae","Condalia","Condalia buxifolia","species","Arbusto|Árvore","Terrícola","Floresta Estacional Semidecidual",935,"native","tree","Woody tree (Shrub or treelet)",11.3,"large_shrub",1.15,"pioneer",0.0625,"zoochoric"
"sp936","Connarus angustifolius","Connaraceae","Connarus","Connarus angustifolius","species","Árvore",NA,"Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",936,"native","tree","Woody tree (Tree)",NA,"tree_unknown",0.61,"unknown",0.46233013136289,"zoochoric"
"sp937","Connarus beyrichii","Connaraceae","Connarus","Connarus beyrichii","species","Árvore","Terrícola","Vegetação Sobre Afloramentos Rochosos",937,"native","shrub","Woody tree (Tree or shrub)",7,"small_tree",0.61,"unknown",0.46233013136289,"zoochoric"
"sp938","Connarus blanchetii","Connaraceae","Connarus","Connarus blanchetii","species","Arbusto|Liana/volúvel/trepadeira","Terrícola","Floresta Estacional Perenifólia|Restinga",938,"native","shrub","Woody tree (Shrub or treelet)",4,"large_shrub",0.61,"unknown",0.46233013136289,"zoochoric"
"sp939","Connarus detersus","Connaraceae","Connarus","Connarus detersus","species","Arbusto|Árvore","Terrícola","Caatinga (stricto sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Perenifólia|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",939,"native","tree","Woody tree (Tree)",8.6,"small_tree",0.61,"late_secondary",0.46233013136289,"zoochoric"
"sp940","Connarus nodosus","Connaraceae","Connarus","Connarus nodosus","species","Arbusto|Liana/volúvel/trepadeira","Terrícola","Floresta Estacional Perenifólia|Restinga",940,"native","tree","Woody tree (Tree)",10.3,"small_tree",0.61,"unknown",0.46233013136289,"zoochoric"
"sp941","Connarus regnellii","Connaraceae","Connarus","Connarus regnellii","species","Arbusto|Árvore",NA,"Floresta Estacional Semidecidual",941,"native","tree","Woody tree (Tree)",12.384,"small_tree",0.6,"early_secondary",0.344827586206897,"zoochoric"
"sp942","Connarus rostratus","Connaraceae","Connarus","Connarus rostratus","species","Arbusto|Liana/volúvel/trepadeira","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Restinga",942,"native","tree","Woody tree (Tree or shrub)",6.2,"small_tree",0.61,"climax",0.46233013136289,"zoochoric"
"sp943","Connarus suberosus","Connaraceae","Connarus","Connarus suberosus","species","Arbusto|Árvore",NA,"Área Antrópica|Cerrado (lato sensu)",943,"native","tree","Woody tree (Tree)",10.408,"small_tree",0.573333333333333,"early_secondary",0.444444444444444,"zoochoric"
"sp944","Conocarpus erectus","Combretaceae","Conocarpus","Conocarpus erectus","species","Arbusto|Árvore","Terrícola","Manguezal|Restinga",944,"native","tree","Woody tree (Tree)",7,"small_tree",0.87,"pioneer",0.0293747777777778,"zoochoric"
"sp945","Conostegia icosandra","Melastomataceae","Conostegia","Conostegia icosandra","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",945,"native","tree","Woody tree (Tree)",10,"small_tree",0.684269631913793,"unknown",1e-04,NA
"sp946","Copaifera arenicola","Fabaceae","Copaifera","Copaifera arenicola","species","Árvore","Terrícola","Caatinga (stricto sensu)",946,"native","tree","Woody tree (Tree or shrub)",7,"small_tree",0.640254095326087,"unknown",1.70214483994064,"zoochoric"
"sp947","Copaifera cearensis","Fabaceae","Copaifera","Copaifera cearensis","species","Árvore","Terrícola","Caatinga (stricto sensu)|Floresta Estacional Perenifólia|Floresta Estacional Semidecidual",947,"native","tree","Woody tree (Tree)",NA,"tree_unknown",0.640254095326087,"unknown",1.70214483994064,"zoochoric"
"sp948","Copaifera duckei","Fabaceae","Copaifera","Copaifera duckei","species","Árvore","Terrícola","Cerrado (lato sensu)|Floresta de Terra Firme|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga",948,"native","tree","Woody tree (Tree)",35,"large_tree",0.6396,"late_secondary",1.70214483994064,"zoochoric"
"sp949","Copaifera elliptica","Fabaceae","Copaifera","Copaifera elliptica","species","Arbusto","Terrícola","Cerrado (lato sensu)",949,"native","shrub","Woody tree (Shrub or treelet)",3.5,"large_shrub",0.640254095326087,"unknown",1.70214483994064,"zoochoric"
"sp950","Copaifera langsdorffii","Fabaceae","Copaifera","Copaifera langsdorffii","species","Árvore","Terrícola","Área Antrópica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",950,"native","tree","Woody tree (Tree)",28,"large_tree",0.6354688385,"late_secondary",1.05491399212329,"zoochoric"
"sp951","Copaifera lucens","Fabaceae","Copaifera","Copaifera lucens","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Restinga",951,"native","tree","Woody tree (Tree)",30.75,"large_tree",0.640254095326087,"late_secondary",1.70214483994064,"zoochoric"
"sp952","Copaifera luetzelburgii","Fabaceae","Copaifera","Copaifera luetzelburgii","species","Arbusto","Terrícola","Cerrado (lato sensu)",952,"native","shrub","Woody tree (Tree or shrub)",4,"large_shrub",0.640254095326087,"unknown",1.70214483994064,"zoochoric"
"sp953","Copaifera majorina","Fabaceae","Copaifera","Copaifera majorina","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",953,"native","tree","Woody tree (Tree)",12,"small_tree",0.640254095326087,"unknown",1.70214483994064,"zoochoric"
"sp954","Copaifera martii","Fabaceae","Copaifera","Copaifera martii","species","Árvore","Terrícola","Floresta de Terra Firme|Floresta Estacional Perenifólia|Floresta Estacional Semidecidual",954,"native","tree","Woody tree (Tree)",29.65,"large_tree",0.89,"unknown",1.70214483994064,"zoochoric"
"sp955","Copaifera oblongifolia","Fabaceae","Copaifera","Copaifera oblongifolia","species","Arbusto|Árvore","Terrícola","Cerrado (lato sensu)",955,"native","tree","Woody tree (Shrub or treelet)",3.5,"large_shrub",0.640254095326087,"unknown",1.70214483994064,"zoochoric"
"sp956","Copaifera reticulata","Fabaceae","Copaifera","Copaifera reticulata","species","Árvore","Terrícola","Floresta de Terra Firme",956,"native","tree","Woody tree (Tree)",30,"large_tree",0.6075,"unknown",1.70214483994064,"zoochoric"
"sp957","Copaifera trapezifolia","Fabaceae","Copaifera","Copaifera trapezifolia","species","Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)",957,"native","tree","Woody tree (Tree)",30,"large_tree",0.6555,"climax",1.47708889,"zoochoric"
"sp958","Copernicia prunifera","Arecaceae","Copernicia","Copernicia prunifera","species","Palmeira","Terrícola","Área Antrópica|Cerrado (lato sensu)|Palmeiral",958,"native","tree","Solitary palm",19,"large_tree",0.791,"unknown",3.38811028325407,"zoochoric"
"sp959","Cordia aberrans","Boraginaceae","Cordia","Cordia aberrans","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",959,"native","tree","Woody tree (Tree or shrub)",17.6,"large_tree",0.546459962757576,"unknown",0.273327195004668,"zoochoric"
"sp960","Cordia acutifolia","Boraginaceae","Cordia","Cordia acutifolia","species","Árvore","Terrícola",NA,960,"native","tree","Woody tree (Tree)",11.5,"small_tree",0.546459962757576,"early_secondary",0.273327195004668,"zoochoric"
"sp961","Cordia alliodora","Boraginaceae","Cordia","Cordia alliodora","species","Árvore","Terrícola","Cerrado (lato sensu)|Floresta Estacional Semidecidual",961,"native","tree","Woody tree (Tree)",25,"large_tree",0.505333333333333,"early_secondary",0.022500024000096,"zoochoric"
"sp962","Cordia americana","Boraginaceae","Cordia","Cordia americana","species","Árvore","Terrícola","Floresta Estacional Decidual|Floresta Estacional Semidecidual",962,"native","tree","Woody tree (Tree)",30,"large_tree",0.755428571428571,"early_secondary",0.0266815566237806,"anemochoric"
"sp963","Cordia anabaptista","Boraginaceae","Cordia","Cordia anabaptista","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",963,"native","tree","Woody tree (Shrub or treelet)",4,"large_shrub",0.546459962757576,"early_secondary",0.273327195004668,"zoochoric"
"sp964","Cordia bicolor","Boraginaceae","Cordia","Cordia bicolor","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",964,"native","tree","Woody tree (Tree)",25,"large_tree",0.446,"unknown",0.129360689963989,"zoochoric"
"sp965","Cordia blanchetii","Boraginaceae","Cordia","Cordia blanchetii","species","Árvore","Terrícola","Floresta Estacional Semidecidual",965,"native","tree","Woody tree (Tree)",6,"small_tree",0.546459962757576,"unknown",0.273327195004668,NA
"sp966","Cordia candida","Boraginaceae","Cordia","Cordia candida","species","Arbusto","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",966,"native","tree","Woody tree (Tree)",NA,"small_tree",0.546459962757576,"unknown",0.273327195004668,NA
"sp967","Cordia ecalyculata","Boraginaceae","Cordia","Cordia ecalyculata","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista",967,"native","tree","Woody tree (Tree)",20,"large_tree",0.75775,"early_secondary",0.262592592592593,"zoochoric"
"sp968","Cordia exaltata","Boraginaceae","Cordia","Cordia exaltata","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",968,"native","tree","Woody tree (Tree)",15,"large_tree",0.402333333333333,"unknown",0.273327195004668,NA
"sp969","Cordia fusca","Boraginaceae","Cordia","Cordia fusca","species","Árvore","Terrícola","Floresta Estacional Semidecidual",969,"native","tree","Woody tree (Tree)",7,"small_tree",0.546459962757576,"unknown",0.273327195004668,NA
"sp970","Cordia gardneri","Boraginaceae","Cordia","Cordia gardneri","species","Árvore","Terrícola","Floresta Estacional Semidecidual",970,"native","tree","Woody tree (Tree)",10,"small_tree",0.546459962757576,"unknown",0.273327195004668,NA
"sp971","Cordia glabrifolia","Boraginaceae","Cordia","Cordia glabrifolia","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",971,"native","tree","Woody tree (Tree)",15.1,"large_tree",0.546459962757576,"unknown",0.273327195004668,"zoochoric"
"sp972","Cordia glazioviana","Boraginaceae","Cordia","Cordia glazioviana","species","Árvore","Terrícola","Caatinga (stricto sensu)|Cerrado (lato sensu)",972,"native","tree","Woody tree (Tree)",15.9,"large_tree",0.84,"early_secondary",0.16880762621037,NA
"sp973","Cordia hatschbachii","Boraginaceae","Cordia","Cordia hatschbachii","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",973,"native","tree","Woody tree (Tree)",NA,"tree_unknown",0.546459962757576,"unknown",0.273327195004668,NA
"sp974","Cordia incognita","Boraginaceae","Cordia","Cordia incognita","species","Árvore","Terrícola","Caatinga (stricto sensu)|Floresta Estacional Decidual",974,"native","tree","Woody tree (Tree or shrub)",10.96,"small_tree",0.88,"early_secondary",0.0313107585822106,"anemochoric"
"sp975","Cordia insignis","Boraginaceae","Cordia","Cordia insignis","species","Arbusto","Terrícola","Cerrado (lato sensu)|Floresta Estacional Semidecidual",975,"native","tree","Woody tree (Tree or shrub)",6,"small_tree",0.546459962757576,"unknown",0.273327195004668,NA
"sp976","Cordia latiloba","Boraginaceae","Cordia","Cordia latiloba","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",976,"native","tree","Woody tree (Tree)",25,"large_tree",0.546459962757576,"unknown",0.273327195004668,NA
"sp977","Cordia magnoliifolia","Boraginaceae","Cordia","Cordia magnoliifolia","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",977,"native","tree","Woody tree (Tree)",13.3,"small_tree",0.52,"early_secondary",0.232558139534884,"zoochoric"
"sp978","Cordia nodosa","Boraginaceae","Cordia","Cordia nodosa","species","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)",978,"native","tree","Woody tree (Tree)",13,"small_tree",0.39,"early_secondary",0.4633,"zoochoric"
"sp979","Cordia ochnacea","Boraginaceae","Cordia","Cordia ochnacea","species","Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)",979,"native","tree","Woody tree (Tree or shrub)",6,"small_tree",0.546459962757576,"unknown",0.273327195004668,"zoochoric"
"sp980","Cordia oncocalyx","Boraginaceae","Cordia","Cordia oncocalyx","species","Árvore","Terrícola","Caatinga (stricto sensu)",980,"native","tree","Woody tree (Tree)",12,"small_tree",0.546459962757576,"unknown",0.273327195004668,"anemochoric"
"sp981","Cordia pilosa","Boraginaceae","Cordia","Cordia pilosa","species","Arbusto","Terrícola","Restinga",981,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.546459962757576,"unknown",0.273327195004668,"zoochoric"
"sp982","Cordia restingae","Boraginaceae","Cordia","Cordia restingae","species","Árvore","Terrícola","Restinga",982,"native","tree","Woody tree (Tree)",6,"small_tree",0.546459962757576,"unknown",0.273327195004668,"zoochoric"
"sp983","Cordia rufescens","Boraginaceae","Cordia","Cordia rufescens","species","Arbusto|Árvore","Terrícola","Caatinga (stricto sensu)|Cerrado (lato sensu)",983,"native","tree","Woody tree (Tree or shrub)",11.4,"small_tree",0.7795,"unknown",0.273327195004668,"zoochoric"
"sp984","Cordia sagotii","Boraginaceae","Cordia","Cordia sagotii","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",984,"native","tree","Woody tree (Tree)",5,"small_tree",0.43175,"unknown",0.273327195004668,"zoochoric"
"sp985","Cordia scabrifolia","Boraginaceae","Cordia","Cordia scabrifolia","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",985,"native","tree","Woody tree (Tree)",20,"large_tree",0.474,"unknown",0.273327195004668,NA
"sp986","Cordia sellowiana","Boraginaceae","Cordia","Cordia sellowiana","species","Árvore","Terrícola","Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",986,"native","tree","Woody tree (Tree)",19,"large_tree",0.475631584,"early_secondary",0.313397129186603,"zoochoric"
"sp987","Cordia sericicalyx","Boraginaceae","Cordia","Cordia sericicalyx","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",987,"native","tree","Woody tree (Tree)",18,"large_tree",0.387,"unknown",0.273327195004668,NA
"sp988","Cordia silvestris","Boraginaceae","Cordia","Cordia silvestris","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",988,"native","tree","Woody tree (Tree)",30,"large_tree",0.48,"pioneer",0.0954545454545455,"zoochoric"
"sp989","Cordia superba","Boraginaceae","Cordia","Cordia superba","species","Arbusto|Árvore","Terrícola","Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)",989,"native","tree","Woody tree (Tree or shrub)",13,"small_tree",0.46,"late_secondary",0.185136988716251,"zoochoric"
"sp990","Cordia taguahyensis","Boraginaceae","Cordia","Cordia taguahyensis","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",990,"native","tree","Woody tree (Tree)",21.25,"large_tree",0.488608646,"climax",0.273327195004668,"zoochoric"
"sp991","Cordia tarodae","Boraginaceae","Cordia","Cordia tarodae","species","Árvore","Terrícola","Floresta Estacional Semidecidual",991,"native","tree","Woody tree (Tree)",15,"large_tree",0.546459962757576,"unknown",0.273327195004668,"zoochoric"
"sp992","Cordia toqueve","Boraginaceae","Cordia","Cordia toqueve","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",992,"native","tree","Woody tree (Tree)",17.45,"large_tree",0.546459962757576,"unknown",0.01336,"zoochoric"
"sp993","Cordia trachyphylla","Boraginaceae","Cordia","Cordia trachyphylla","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",993,"native","tree","Woody tree (Tree)",17.25,"large_tree",0.546459962757576,"unknown",0.273327195004668,"zoochoric"
"sp994","Cordia trichoclada","Boraginaceae","Cordia","Cordia trichoclada","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",994,"native","tree","Woody tree (Tree)",15.1,"large_tree",0.3840690815,"early_secondary",0.714285714285714,"zoochoric"
"sp995","Cordia trichotoma","Boraginaceae","Cordia","Cordia trichotoma","species","Árvore","Terrícola","Área Antrópica|Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",995,"native","tree","Woody tree (Tree)",20.5,"large_tree",0.6405,"pioneer",0.0265056022408964,"anemochoric"
"sp996","Cordiera bahiensis","Rubiaceae","Cordiera","Cordiera bahiensis","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",996,"native","tree","Woody tree (Tree)",NA,"tree_unknown",0.7525,"unknown",0.04,"zoochoric"
"sp997","Cordiera concolor","Rubiaceae","Cordiera","Cordiera concolor","species","Arbusto|Subarbusto","Rupícola|Terrícola","Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Perenifólia|Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos",997,"native","tree","Woody tree (Tree)",16,"large_tree",0.575,"climax",0.04,"zoochoric"
"sp998","Cordiera elliptica","Rubiaceae","Cordiera","Cordiera elliptica","species","Arbusto","Terrícola","Cerrado (lato sensu)|Floresta Ciliar ou Galeria",998,"native","tree","Woody tree (Tree or shrub)",10.338,"small_tree",0.7525,"late_secondary",0.04,"zoochoric"
"sp999","Cordiera humilis","Rubiaceae","Cordiera","Cordiera humilis","species","Arbusto|Subarbusto","Rupícola|Terrícola","Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos",999,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.7525,"unknown",0.04,"zoochoric"
"sp1000","Cordiera longiflora","Rubiaceae","Cordiera","Cordiera longiflora","species","Arbusto|Subarbusto","Rupícola|Terrícola","Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos",1000,"native","tree","Woody tree (Tree)",12,"small_tree",0.7525,"unknown",0.04,"zoochoric"
"sp1001","Cordiera macrophylla","Rubiaceae","Cordiera","Cordiera macrophylla","species","Arbusto|Árvore","Terrícola","Cerrado (lato sensu)|Floresta Estacional Semidecidual|Savana Amazônica",1001,"native","tree","Woody tree (Tree)",12.12,"small_tree",0.726666666666667,"late_secondary",0.04,"zoochoric"
"sp1002","Cordiera myrciifolia","Rubiaceae","Cordiera","Cordiera myrciifolia","species","Arbusto","Terrícola","Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta de Várzea|Floresta Ombrófila (= Floresta Pluvial)",1002,"native","tree","Woody tree (Tree)",14.5,"small_tree",0.7525,"late_secondary",0.04,"zoochoric"
"sp1003","Cordiera obtusa","Rubiaceae","Cordiera","Cordiera obtusa","species","Arbusto","Terrícola","Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria",1003,"native","shrub","Woody tree (Shrub or treelet)",NA,"large_shrub",0.7525,"unknown",0.04,"zoochoric"
"sp1004","Cordiera rigida","Rubiaceae","Cordiera","Cordiera rigida","species","Arbusto|Subarbusto","Rupícola|Terrícola","Caatinga (stricto sensu)|Campo rupestre|Carrasco|Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos",1004,"native","shrub","Woody tree (Shrub or treelet)",7.2,"large_shrub",0.7525,"unknown",0.04,"zoochoric"
"sp1005","Cordiera sessilis","Rubiaceae","Cordiera","Cordiera sessilis","species","Arbusto","Terrícola","Caatinga (stricto sensu)|Carrasco|Cerrado (lato sensu)",1005,"native","tree","Woody tree (Tree)",10.26,"small_tree",0.88,"early_secondary",0.04,"zoochoric"
"sp1006","Cordiera vinosa","Rubiaceae","Cordiera","Cordiera vinosa","species","Arbusto","Rupícola","Campo Limpo|Campo rupestre",1006,"native","shrub","Woody tree (Shrub or treelet)",8.55,"large_shrub",0.7525,"unknown",0.04,"zoochoric"
"sp1007","Cordyline spectabilis","Laxmanniaceae","Cordyline","Cordyline spectabilis","species","Dracenóide","Terrícola","Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila Mista",1007,"native","tree","Palm or palmoid",15.92,"large_tree",0.27,"early_secondary",0.012987012987013,"zoochoric"
"sp1008","Couepia belemii","Chrysobalanaceae","Couepia","Couepia belemii","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",1008,"native","tree","Woody tree (Tree)",31,"large_tree",0.794323899826087,"unknown",28.9546364718615,"zoochoric"
"sp1009","Couepia bondarii","Chrysobalanaceae","Couepia","Couepia bondarii","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",1009,"native","tree","Woody tree (Tree)",23.1,"large_tree",0.794323899826087,"unknown",28.9546364718615,"zoochoric"
"sp1010","Couepia carautae","Chrysobalanaceae","Couepia","Couepia carautae","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",1010,"native","tree","Woody tree (Tree)",22,"large_tree",0.794323899826087,"late_secondary",28.9546364718615,"zoochoric"
"sp1011","Couepia coarctata","Chrysobalanaceae","Couepia","Couepia coarctata","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Restinga",1011,"native","tree","Woody tree (Tree)",6,"small_tree",0.794323899826087,"unknown",28.9546364718615,"zoochoric"
"sp1012","Couepia grandiflora","Chrysobalanaceae","Couepia","Couepia grandiflora","species","Árvore","Terrícola","Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)",1012,"native","tree","Woody tree (Tree)",8.01,"small_tree",0.772666666666667,"early_secondary",9.09090909090909,"zoochoric"
"sp1013","Couepia impressa","Chrysobalanaceae","Couepia","Couepia impressa","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",1013,"native","tree","Woody tree (Tree)",20.3,"large_tree",0.794323899826087,"unknown",28.9546364718615,"zoochoric"
"sp1014","Couepia insignis","Chrysobalanaceae","Couepia","Couepia insignis","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",1014,"native","tree","Woody tree (Tree)",7,"small_tree",0.794323899826087,"unknown",28.9546364718615,"zoochoric"
"sp1015","Couepia leitaofilhoi","Chrysobalanaceae","Couepia","Couepia leitaofilhoi","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",1015,"native","tree","Woody tree (Tree)",12,"small_tree",0.794323899826087,"unknown",28.9546364718615,"zoochoric"
"sp1016","Couepia longipetiolata","Chrysobalanaceae","Couepia","Couepia longipetiolata","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",1016,"native","tree","Woody tree (Tree)",27.8,"large_tree",1.09,"unknown",16.7,"zoochoric"
"sp1017","Couepia meridionalis","Chrysobalanaceae","Couepia","Couepia meridionalis","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",1017,"native","tree","Woody tree (Tree)",10.05,"small_tree",0.794323899826087,"unknown",28.9546364718615,"zoochoric"
"sp1018","Couepia monteclarensis","Chrysobalanaceae","Couepia","Couepia monteclarensis","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",1018,"native","tree","Woody tree (Tree)",12.39,"small_tree",0.794323899826087,"late_secondary",28.9546364718615,"zoochoric"
"sp1019","Couepia ovalifolia","Chrysobalanaceae","Couepia","Couepia ovalifolia","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Restinga",1019,"native","tree","Woody tree (Tree)",11.6,"small_tree",0.794323899826087,"unknown",28.9546364718615,"zoochoric"
"sp1020","Couepia parvifolia","Chrysobalanaceae","Couepia","Couepia parvifolia","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",1020,"native","tree","Woody tree (Tree)",17,"large_tree",0.794323899826087,"unknown",28.9546364718615,"zoochoric"
"sp1021","Couepia pernambucensis","Chrysobalanaceae","Couepia","Couepia pernambucensis","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",1021,"native","tree","Woody tree (Tree)",29.2,"large_tree",0.794323899826087,"unknown",28.9546364718615,"zoochoric"
"sp1022","Couepia robusta","Chrysobalanaceae","Couepia","Couepia robusta","species","Árvore","Terrícola","Floresta de Terra Firme",1022,"native","tree","Woody tree (Tree)",30,"large_tree",0.83,"unknown",28.9546364718615,"zoochoric"
"sp1023","Couepia rufa","Chrysobalanaceae","Couepia","Couepia rufa","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",1023,"native","tree","Woody tree (Tree)",30,"large_tree",0.791,"late_secondary",50,"zoochoric"
"sp1024","Couepia schottii","Chrysobalanaceae","Couepia","Couepia schottii","species","Árvore","Terrícola","Restinga",1024,"native","tree","Woody tree (Tree)",26,"large_tree",0.794323899826087,"late_secondary",28.9546364718615,"zoochoric"
"sp1025","Couepia uiti","Chrysobalanaceae","Couepia","Couepia uiti","species","Arbusto|Árvore","Terrícola","Cerrado (lato sensu)|Floresta Ciliar ou Galeria",1025,"native","tree","Woody tree (Tree)",5.8,"small_tree",0.794323899826087,"unknown",28.9546364718615,"zoochoric"
"sp1026","Couepia venosa","Chrysobalanaceae","Couepia","Couepia venosa","species","Arbusto|Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",1026,"native","tree","Woody tree (Tree)",10,"small_tree",0.696224848,"unknown",28.9546364718615,"zoochoric"
"sp1027","Couma macrocarpa","Apocynaceae","Couma","Couma macrocarpa","species","Árvore","Terrícola","Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)",1027,"native","tree","Woody tree (Tree)",28,"large_tree",0.494888888888889,"unknown",0.15625,NA
"sp1028","Couma rigida","Apocynaceae","Couma","Couma rigida","species","Árvore","Terrícola","Campinarana|Campo rupestre",1028,"native","tree","Woody tree (Tree)",18,"large_tree",1.01,"unknown",0.208333333333333,"zoochoric"
"sp1029","Couma utilis","Apocynaceae","Couma","Couma utilis","species","Árvore","Terrícola","Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)",1029,"native","tree","Woody tree (Tree)",30,"large_tree",0.66,"unknown",0.138194444444444,NA
"sp1030","Couratari asterophora","Lecythidaceae","Couratari","Couratari asterophora","species","Árvore","Terrícola","Área Antrópica|Floresta Ombrófila (= Floresta Pluvial)",1030,"native","tree","Woody tree (Tree)",25,"large_tree",0.546361111111111,"unknown",0.329879679144385,NA
"sp1031","Couratari asterotricha","Lecythidaceae","Couratari","Couratari asterotricha","species","Árvore","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",1031,"native","tree","Woody tree (Tree)",28,"large_tree",0.51,"late_secondary",0.53475935828877,"anemochoric"
"sp1032","Couratari guianensis","Lecythidaceae","Couratari","Couratari guianensis","species","Árvore","Terrícola","Floresta de Terra Firme",1032,"native","tree","Woody tree (Tree)",50,"large_tree",0.507909090909091,"unknown",0.329879679144385,NA
"sp1033","Couratari macrosperma","Lecythidaceae","Couratari","Couratari macrosperma","species","Árvore","Terrícola","Área Antrópica|Floresta Ombrófila (= Floresta Pluvial)",1033,"native","tree","Woody tree (Tree)",49.4,"large_tree",0.5815,"late_secondary",0.329879679144385,"anemochoric"
