"validName","name","speciesName","speciesAuthor","infraType","infrarankAuthor","infrarankName"
"Astronium graveolens","Astronium gracile","Astronium gracile","Engl.",NA,NA,NA
"Astronium graveolens","Astronium planchonianum","Astronium planchonianum","Engl.",NA,NA,NA
"Astronium graveolens","Astronium graveolens var. planchonianum","Astronium graveolens",NA,"var.","(Engl.) Engl.","planchonianum"
"Ateleia guaraya","Ateleia ovata","Ateleia ovata","Mohlenbr.",NA,NA,NA
"Athenaea angustifolia","Aureliana angustifolia","Aureliana angustifolia","Alm.-Lafetá",NA,NA,NA
"Athenaea anonacea","Athenaea pereirae","Athenaea pereirae","Barboza & Hunz.",NA,NA,NA
"Athenaea anonacea","Bassovia anonacea","Bassovia anonacea","(Sendtn.) Miers",NA,NA,NA
"Athenaea anonacea","Withania anonacea","Withania anonacea","(Sendtn.) Dunal",NA,NA,NA
"Athenaea anonacea","Witheringia anonacea","Witheringia anonacea","(Sendtn.) Miers",NA,NA,NA
"Athenaea anonacea","Aureliana anonacea","Aureliana anonacea","(Sendtn.) I.M.C.Rodrigues & Stehmann",NA,NA,NA
"Athenaea brasiliana","Aureliana brasiliana","Aureliana brasiliana","(Hunz.) Barboza & Hunz.",NA,NA,NA
"Athenaea cuspidata","Aureliana cuspidata","Aureliana cuspidata","(Witasek)  I.M.C.Rodrigues & Stehmann",NA,NA,NA
"Athenaea fasciculata","Aureliana fasciculata","Aureliana fasciculata","(Vell.) Sendtn.",NA,NA,NA
"Athenaea martiana","Bassovia martiana","Bassovia martiana","Miers",NA,NA,NA
"Athenaea martiana","Witheringia martiana","Witheringia martiana","(Sendtn.) Miers",NA,NA,NA
"Athenaea martiana","Withania martiana","Withania martiana","(Sendtn.) Dunal",NA,NA,NA
"Athenaea martiana","Aureliana martiana","Aureliana martiana","(Sendtn.) I.M.C.Rodrigues & Stehmann",NA,NA,NA
"Athenaea martiana","Athenaea hirsuta","Athenaea hirsuta","Sendtn.",NA,NA,NA
"Athenaea pogogena","Athenaea micrantha","Athenaea micrantha","Sendtn.",NA,NA,NA
"Athenaea pogogena","Solanum pogogenum","Solanum pogogenum","Moric.",NA,NA,NA
"Athenaea pogogena","Bassovia pogogena","Bassovia pogogena","(Moric.) Miers",NA,NA,NA
"Athenaea pogogena","Witheringia pogogena","Witheringia pogogena","(Moric.) Miers",NA,NA,NA
"Athenaea pogogena","Withania pogogena","Withania pogogena","(Moric.) Dunal",NA,NA,NA
"Athenaea pogogena","Aureliana pogogena","Aureliana pogogena","(Moric.) I.M.C.Rodrigues & Stehmann",NA,NA,NA
"Athenaea pogogena","Athenaea pohliana","Athenaea pohliana","Sendtn.",NA,NA,NA
"Athenaea pogogena","Athenaea schottiana","Athenaea schottiana","Sendtn.",NA,NA,NA
"Athenaea pogogena","Withania mollis","Withania mollis","Dunal",NA,NA,NA
"Athenaea pogogena","Withania oocarpa","Withania oocarpa","Dunal",NA,NA,NA
"Athenaea pogogena","Withania novo-friburgense","Withania novo-friburgense","Dunal",NA,NA,NA
"Athenaea sellowiana","Aureliana sellowiana","Aureliana sellowiana","(Sendtn.) Barboza & Stehmann",NA,NA,NA
"Athenaea tomentosa","Aureliana tomentosa","Aureliana tomentosa","Sendtn.",NA,NA,NA
"Athenaea velutina","Aureliana velutina","Aureliana velutina","Sendtn.",NA,NA,NA
"Attalea apoda","Attalea camposportoana","Attalea camposportoana","Burret",NA,NA,NA
"Attalea burretiana","Attalea salvadorensis","Attalea salvadorensis","Glassman",NA,NA,NA
"Attalea burretiana","Attalea concentrista","Attalea concentrista","Bondar",NA,NA,NA
"Attalea dubia","Attalea concinna","Attalea concinna","(Barb.Rodr.) Burret",NA,NA,NA
"Attalea dubia","Attalea indaya","Attalea indaya","Drude",NA,NA,NA
"Attalea dubia","Orbignya dubia","Orbignya dubia","Mart.",NA,NA,NA
"Attalea dubia","Scheelea dubia","Scheelea dubia","(Mart.) Burret",NA,NA,NA
"Attalea funifera","Attalea acaulis","Attalea acaulis","Burret",NA,NA,NA
"Attalea humilis","Attalea borgesiana","Attalea borgesiana","Bondar ex Dahlgren",NA,NA,NA
"Attalea humilis","Attalea butyrosa","Attalea butyrosa","Lodd. ex H.Wendl.",NA,NA,NA
"Attalea humilis","Attalea compta var. acaulis","Attalea compta",NA,"var.","Mart.","acaulis"
"Attalea phalerata","Scheelea phalerata","Scheelea phalerata","(Mart. ex Spreng.) Burret",NA,NA,NA
"Attalea phalerata","Attalea hoehnei","Attalea hoehnei","Burret",NA,NA,NA
"Attalea phalerata","Attalea excelsa","Attalea excelsa","Mart.",NA,NA,NA
"Attalea phalerata","Attalea phalerata var. concinna","Attalea phalerata",NA,"var.","L.R.Moreno & O.I.Moreno","concinna"
"Attalea phalerata","Scheelea corumbaensis","Scheelea corumbaensis","(Barb.Rodr.) Barb.Rodr.",NA,NA,NA
"Attalea phalerata","Scheelea martiana","Scheelea martiana","Burret",NA,NA,NA
"Attalea phalerata","Scheelea microspadix","Scheelea microspadix","Burret",NA,NA,NA
"Aureliana wettsteiniana","Bassovia wettsteiniana","Bassovia wettsteiniana","Witasek",NA,NA,NA
"Austroeupatorium inulaefolium","Austroeupatorium inulifolium","Austroeupatorium inulifolium","(Kunth) R.M.King & H.Rob.",NA,NA,NA
"Austroeupatorium inulaefolium","Austroeupatorium inuliifolium","Austroeupatorium inuliifolium","(Kunth) R.M.King & H.Rob.",NA,NA,NA
"Avicennia germinans","Avicennia africana","Avicennia africana","P.Beauv.",NA,NA,NA
"Avicennia germinans","Avicennia elliptica","Avicennia elliptica","Thunb.",NA,NA,NA
"Avicennia germinans","Avicennia elliptica var. martii","Avicennia elliptica",NA,"var.","Moldenke","martii"
"Avicennia germinans","Avicennia floridana","Avicennia floridana","Raf.",NA,NA,NA
"Avicennia germinans","Avicennia germinans var. cumanensis","Avicennia germinans",NA,"var.","(Kunth) Moldenke","cumanensis"
"Avicennia germinans","Avicennia germinans var. guayaquilensis","Avicennia germinans",NA,"var.","(Kunth) Moldenke","guayaquilensis"
"Avicennia germinans","Avicennia lamarckiana","Avicennia lamarckiana","C.Presl",NA,NA,NA
"Avicennia germinans","Avicennia meyeri","Avicennia meyeri","Miq.",NA,NA,NA
"Avicennia germinans","Avicennia nitida var. trinitensis","Avicennia nitida",NA,"var.","Moldenke","trinitensis"
"Avicennia germinans","Avicennia oblongifolia","Avicennia oblongifolia","Nutt. ex Chapm.",NA,NA,NA
"Avicennia germinans","Avicennia officinalis","Avicennia officinalis","L.",NA,NA,NA
"Avicennia germinans","Avicennia officinalis var. lanceolata","Avicennia officinalis",NA,"var.","Kuntze","lanceolata"
"Avicennia germinans","Avicennia officinalis var. nitida","Avicennia officinalis",NA,"var.","Kuntze","nitida"
"Avicennia germinans","Avicennia tomentosa var. campechensis","Avicennia tomentosa",NA,"var.","Jacq.","campechensis"
"Avicennia germinans","Avicennia tomentosa var. cumanensis","Avicennia tomentosa",NA,"var.","Kunth","cumanensis"
"Avicennia germinans","Avicennia tomentosa var. guayaquilensis","Avicennia tomentosa",NA,"var.","Kunth","guayaquilensis"
"Avicennia germinans","Bontia germinans","Bontia germinans","L.",NA,NA,NA
"Avicennia germinans","Hilairanthus nitidus","Hilairanthus nitidus","(Jacq.) Tiegh.",NA,NA,NA
"Avicennia germinans","Hilairanthus tomentosus","Hilairanthus tomentosus","(Jacq.) Tiegh.",NA,NA,NA
"Avicennia germinans","Avicennia nitida","Avicennia nitida","Jacq.",NA,NA,NA
"Avicennia germinans","Avicennia tomentosa","Avicennia tomentosa","L.",NA,NA,NA
"Baccharis aliena","Heterothalamus alienus","Heterothalamus alienus","(Spreng.) Kuntze",NA,NA,NA
"Baccharis aliena","Heterothalamus brunioides","Heterothalamus brunioides","Less.",NA,NA,NA
"Baccharis calvescens","Baccharis oleifolia","Baccharis oleifolia","Gardner",NA,NA,NA
"Baccharis calvescens","Baccharis calvescens var. villosa","Baccharis calvescens",NA,"var.","Baker","villosa"
"Baccharis caprariifolia","Baccharis bairdii","Baccharis bairdii","Hook. & Arn.",NA,NA,NA
"Baccharis caprariifolia","Baccharis recurvata","Baccharis recurvata","Gardner",NA,NA,NA
"Baccharis caprariifolia","Baccharis recurvata var. integrifolia","Baccharis recurvata",NA,"var.","Chodat","integrifolia"
"Baccharis caprariifolia","Baccharis grisea","Baccharis grisea","Baker",NA,NA,NA
"Baccharis caprariifolia","Baccharis caprariifolia subsp. recurvata","Baccharis caprariifolia",NA,"subsp.","Malag.","recurvata"
"Baccharis cognata","Baccharis hoehneana","Baccharis hoehneana","Malag.",NA,NA,NA
"Baccharis cognata","Baccharis pseudotridentata","Baccharis pseudotridentata","Heering",NA,NA,NA
"Baccharis cognata","Baccharis tridentata","Baccharis tridentata","Vahl",NA,NA,NA
"Baccharis dentata","Baccharis macrodonta","Baccharis macrodonta","DC.",NA,NA,NA
"Baccharis dentata","Baccharis orgyalis","Baccharis orgyalis","DC.",NA,NA,NA
"Baccharis dentata","Baccharis fuchsiifolia","Baccharis fuchsiifolia","Gardner",NA,NA,NA
"Baccharis dentata","Baccharis orgyalis var. fuchsiifolia","Baccharis orgyalis",NA,"var.","(Gardner) Malag.","fuchsiifolia"
"Baccharis dracunculifolia","Baccharis bracteata","Baccharis bracteata","Hook. & Arn.",NA,NA,NA
"Baccharis dracunculifolia","Baccharis pulverulenta","Baccharis pulverulenta","Klatt",NA,NA,NA
"Baccharis dracunculifolia","Baccharis dracunculifolia var. integerrima","Baccharis dracunculifolia",NA,"var.","Kuntze","integerrima"
"Baccharis dracunculifolia","Baccharis tandilensis","Baccharis tandilensis","Speg.",NA,NA,NA
"Baccharis grandimucronata","Baccharis nebulae","Baccharis nebulae","Malag. & Hatschb. ex A.S.Oliveira",NA,NA,NA
"Baccharis lateralis","Baccharis schultzii","Baccharis schultzii","Baker",NA,NA,NA
"Baccharis leucocephala","Lanugothamnus leucocephalus","Lanugothamnus leucocephalus","(Dusén) Deble",NA,NA,NA
"Baccharis ligustrina","Pseudobaccharis ligustrina","Pseudobaccharis ligustrina","(DC.) Malag.",NA,NA,NA
"Baccharis ligustrina","Psila brachylaenoides var. ligustrina","Psila brachylaenoides",NA,"var.","(DC.) Aristeg.","ligustrina"
"Baccharis ligustrina","Psila ligustrina","Psila ligustrina","(DC.) Cabrera",NA,NA,NA
"Baccharis ligustrina","Baccharis brachylaenoides var. ligustrina","Baccharis brachylaenoides",NA,"var.","(DC.) Maguie Wurdack","ligustrina"
"Baccharis ligustrina","Baccharis bupleuroides","Baccharis bupleuroides","Gardner",NA,NA,NA
"Baccharis linearifolia","Baccharis leptocephala","Baccharis leptocephala","Baker",NA,NA,NA
"Baccharis linearifolia","Baccharis subspathulata","Baccharis subspathulata","Gardner",NA,NA,NA
"Baccharis linearifolia","Baccharis varians","Baccharis varians","Gardner",NA,NA,NA
"Baccharis linearifolia","Baccharis rufescens","Baccharis rufescens","Spreng.",NA,NA,NA
"Baccharis linearifolia","Baccharis rufescens var. leptocephala","Baccharis rufescens",NA,"var.","(DC.) Baker","leptocephala"
"Baccharis linearifolia","Baccharis rufescens var. tenuifolia","Baccharis rufescens",NA,"var.","(DC.) Baker","tenuifolia"
"Baccharis linearifolia","Baccharis paulopolitana","Baccharis paulopolitana","Malag. & W.Hoehne",NA,NA,NA
"Baccharis linearifolia","Baccharis leptophylla","Baccharis leptophylla","DC.",NA,NA,NA
"Baccharis linearifolia","Conyza linearifolia","Conyza linearifolia",NA,NA,NA,NA
"Baccharis linearifolia","Conyza linearifolia","Conyza linearifolia",NA,NA,NA,NA
"Baccharis linearifolia","Baccharis paucidentata","Baccharis paucidentata","DC.",NA,NA,NA
"Baccharis linearifolia","Baccharis rufescens var. leptophylla","Baccharis rufescens",NA,"var.","DC.","leptophylla"
"Baccharis linearifolia","Baccharis tenuifolia","Baccharis tenuifolia","DC.",NA,NA,NA
"Baccharis linearifolia","Baccharis pseudotenuifolia","Baccharis pseudotenuifolia","Malag.",NA,NA,NA
"Baccharis linearifolia","Baccharis tenuifolia var. leptophylla","Baccharis tenuifolia",NA,"var.","(DC.) Malme","leptophylla"
"Baccharis linearifolia","Baccharis pseudotenuifolia var. leptophylla","Baccharis pseudotenuifolia",NA,"var.","(DC.) Giuliano","leptophylla"
"Baccharis longiattenuata","Baccharis longoattenuata","Baccharis longoattenuata","A.S.Oliveira",NA,NA,NA
"Baccharis lychnophora","Baccharis tarchonanthoides var. integrifolia","Baccharis tarchonanthoides",NA,"var.","Baker","integrifolia"
"Baccharis lychnophora","Lanugothamnus lychnophorus","Lanugothamnus lychnophorus","(Gardner) Deble",NA,NA,NA
"Baccharis macrophylla","Heterothalamus macrophyllus","Heterothalamus macrophyllus","(Dusén) Heering",NA,NA,NA
"Baccharis macrophylla","Pseudobaccharis macrophylla","Pseudobaccharis macrophylla","(Dusén) Malag.",NA,NA,NA
"Baccharis macrophylla","Baccharis coriacea","Baccharis coriacea","Glaz.",NA,NA,NA
"Baccharis microdonta","Baccharis wilsoniana","Baccharis wilsoniana","Malag.",NA,NA,NA
"Baccharis microdonta","Baccharis dracunculifolia var. subdentata","Baccharis dracunculifolia",NA,"var.","Kuntze","subdentata"
"Baccharis microdonta","Baccharis meridionalis","Baccharis meridionalis","Heering & Dusén",NA,NA,NA
"Baccharis microdonta","Baccharis refracta","Baccharis refracta","Burchell ex Baker",NA,NA,NA
"Baccharis microdonta","Baccharis sebastianopolitana","Baccharis sebastianopolitana","Baker",NA,NA,NA
"Baccharis montana","Baccharis elaeagnoides","Baccharis elaeagnoides","Steud. ex Baker",NA,NA,NA
"Baccharis montana","Baccharis semiserrata var. elaeagnoides","Baccharis semiserrata",NA,"var.",NA,"elaeagnoides"
"Baccharis montana","Baccharis semiserrata var. elaeagnoides","Baccharis semiserrata",NA,"var.",NA,"elaeagnoides"
"Baccharis montana","Baccharis elaegnoides","Baccharis elaegnoides","Steud. ex Baker",NA,NA,NA
"Baccharis oblongifolia","Baccharis brachylaenoides","Baccharis brachylaenoides","DC.",NA,NA,NA
"Baccharis oblongifolia","Molina oblongifolia","Molina oblongifolia","Ruiz & Pav.",NA,NA,NA
"Baccharis oblongifolia","Pseudobaccharis polycephala","Pseudobaccharis polycephala","Malag.",NA,NA,NA
"Baccharis oblongifolia","Psila brachylaenoides","Psila brachylaenoides","(DC.) Aristeg.",NA,NA,NA
"Baccharis oblongifolia","Psila polycephala","Psila polycephala","Malag.",NA,NA,NA
"Baccharis oblongifolia","Baccharis brachylaenoides var. polycephala","Baccharis brachylaenoides",NA,"var.","G.M.Barroso","polycephala"
"Baccharis oblongifolia","Baccharis brachylaenoides var. rufidula","Baccharis brachylaenoides",NA,"var.","A.S.Oliveira & Marchiori","rufidula"
"Baccharis oblongifolia","Baccharis maguireana","Baccharis maguireana","Malag.",NA,NA,NA
"Baccharis oblongifolia","Baccharis oblanceolata","Baccharis oblanceolata","Rusby",NA,NA,NA
"Baccharis oblongifolia","Baccharis venulosa","Baccharis venulosa","DC.",NA,NA,NA
"Baccharis oblongifolia","Baccharis venulosa var. oblanceolata","Baccharis venulosa",NA,"var.","Hieron.","oblanceolata"
"Baccharis oblongifolia","Baccharis brachylaenoides var. oblanceolata","Baccharis brachylaenoides",NA,"var.","(Hieron.) Cuatrec.","oblanceolata"
"Baccharis oblongifolia","Baccharis pseudopolycephala","Baccharis pseudopolycephala","Malag.",NA,NA,NA
"Baccharis oblongifolia","Baccharis venulosoides","Baccharis venulosoides","Malag.",NA,NA,NA
"Baccharis oblongifolia","Baccharis roraimae","Baccharis roraimae","M.R.Schomb.",NA,NA,NA
"Baccharis oreophila","Baccharis oxyodonta var. fasciculata","Baccharis oxyodonta",NA,"var.","Dusén","fasciculata"
"Baccharis platypoda","Baccharis syncephala","Baccharis syncephala","Sch.Bip. ex Rusby",NA,NA,NA
"Baccharis platypoda","Baccharis condensata","Baccharis condensata","Rusby",NA,NA,NA
"Baccharis pseudomyriocephala","Baccharis myriocephala","Baccharis myriocephala","DC.",NA,NA,NA
"Baccharis pseudovaccinioides","Baccharis vaccinioides","Baccharis vaccinioides","Gardner",NA,NA,NA
"Baccharis psiadioides","Heterothalamus psiadioides","Heterothalamus psiadioides","Less.",NA,NA,NA
"Baccharis psiadioides","Baccharis czermakii","Baccharis czermakii","Hochr.",NA,NA,NA
"Baccharis psiadioides","Baccharis czermakii var. corymbosa","Baccharis czermakii",NA,"var.","Hochr.","corymbosa"
"Baccharis punctulata","Pingraea punctulata","Pingraea punctulata","(DC.) F.H.Hellw.",NA,NA,NA
"Baccharis punctulata","Baccharis amygdalina","Baccharis amygdalina","Griseb.",NA,NA,NA
"Baccharis punctulata","Baccharis melastomifolia","Baccharis melastomifolia","Hook. & Arn.",NA,NA,NA
"Baccharis punctulata","Baccharis melastomaefolia","Baccharis melastomaefolia","Hook. & Arn.",NA,NA,NA
"Baccharis punctulata","Baccharis oxyodonta var. punctulata","Baccharis oxyodonta",NA,"var.","(DC.) Baker","punctulata"
"Baccharis regnellii","Baccharis regnellii var. regnellii","Baccharis regnellii",NA,"var.","Sch.Bip. ex Baker","regnellii"
"Baccharis retusa","Baccharis halimimorpha","Baccharis halimimorpha","DC.",NA,NA,NA
"Baccharis retusa","Baccharis ramosissima","Baccharis ramosissima","Gardner",NA,NA,NA
"Baccharis retusa","Baccharis salzmannii","Baccharis salzmannii","DC.",NA,NA,NA
"Baccharis rufidula","Baccharis vernonioides","Baccharis vernonioides","DC.",NA,NA,NA
"Baccharis rufidula","Conyza rufidula","Conyza rufidula","Spreng.",NA,NA,NA
"Baccharis rufidula","Baccharis inamoena","Baccharis inamoena","Gardner",NA,NA,NA
"Baccharis salicifolia","Molina salicifolia","Molina salicifolia","Ruiz & Pav.",NA,NA,NA
"Baccharis salicifolia","Pingraea salicifolia","Pingraea salicifolia","(Ruiz & Pav.) F.H.Hellw.",NA,NA,NA
"Baccharis salicifolia","Baccharis araucana","Baccharis araucana","Phil.",NA,NA,NA
"Baccharis salicifolia","Baccharis fevillei","Baccharis fevillei","DC.",NA,NA,NA
"Baccharis salicifolia","Baccharis lanceolata","Baccharis lanceolata","Kunth",NA,NA,NA
"Baccharis salicifolia","Baccharis lanceolata var. fevillei","Baccharis lanceolata",NA,"var.","(DC.) Hieron. ex Cuatrec.","fevillei"
"Baccharis salicifolia","Baccharis linifolia","Baccharis linifolia",NA,NA,NA,NA
"Baccharis salicifolia","Baccharis linifolia","Baccharis linifolia",NA,NA,NA,NA
"Baccharis salicifolia","Baccharis longifolia","Baccharis longifolia","DC.",NA,NA,NA
"Baccharis salicifolia","Baccharis longipes","Baccharis longipes","Kunze ex DC.",NA,NA,NA
"Baccharis salicifolia","Baccharis marginalis","Baccharis marginalis","DC.",NA,NA,NA
"Baccharis salicifolia","Pingraea marginalis","Pingraea marginalis","(DC.) F.H.Hellw.",NA,NA,NA
"Baccharis salicifolia","Baccharis marginalis var. araucana","Baccharis marginalis",NA,"var.","(Phil.) Heering","araucana"
"Baccharis salicifolia","Baccharis marginalis var. caerulescens","Baccharis marginalis",NA,"var.","Heering","caerulescens"
"Baccharis salicifolia","Baccharis marginalis var. coerulescens","Baccharis marginalis",NA,"var.","(DC.) Heering","coerulescens"
"Baccharis salicifolia","Baccharis marginalis var. linifolia","Baccharis marginalis",NA,"var.","Heering","linifolia"
"Baccharis salicifolia","Baccharis marginalis subsp. longipes","Baccharis marginalis",NA,"subsp.","(Kunze ex DC.) Heering","longipes"
"Baccharis salicifolia","Baccharis marginalis var. viminea","Baccharis marginalis",NA,"var.","Heering","viminea"
"Baccharis salicifolia","Baccharis mocoafluminis","Baccharis mocoafluminis","Cuatrec.",NA,NA,NA
"Baccharis salicifolia","Baccharis pallida","Baccharis pallida","Heering",NA,NA,NA
"Baccharis salicifolia","Baccharis purpurascens","Baccharis purpurascens","Heering",NA,NA,NA
"Baccharis salicifolia","Baccharis confertifolia","Baccharis confertifolia","Colla",NA,NA,NA
"Baccharis salicifolia","Baccharis corymbosa","Baccharis corymbosa","Meyen",NA,NA,NA
"Baccharis salicifolia","Baccharis chilquilla","Baccharis chilquilla","DC.",NA,NA,NA
"Baccharis salicifolia","Baccharis cuervii","Baccharis cuervii","Phil.",NA,NA,NA
"Baccharis semiserrata","Baccharis semiserrata var. semiserrata","Baccharis semiserrata",NA,"var.","DC.","semiserrata"
"Baccharis semiserrata","Baccharis doniana","Baccharis doniana","Hook. & Arn.",NA,NA,NA
"Baccharis semiserrata","Baccharis semiserrata var. glabrata","Baccharis semiserrata",NA,"var.","DC.","glabrata"
"Baccharis serrulata","Baccharis depauperata","Baccharis depauperata","Gardner",NA,NA,NA
"Baccharis serrulata","Baccharis lundii","Baccharis lundii","DC.",NA,NA,NA
"Baccharis serrulata","Baccharis lundii var. punctigera","Baccharis lundii",NA,"var.","(DC.) Baker","punctigera"
"Baccharis serrulata","Baccharis punctigera","Baccharis punctigera","DC.",NA,NA,NA
"Baccharis singularis","Baccharis cassinifolia","Baccharis cassinifolia","DC.",NA,NA,NA
"Baccharis singularis","Baccharis cassinoides","Baccharis cassinoides","DC.",NA,NA,NA
"Baccharis singularis","Baccharis daphnoides","Baccharis daphnoides","Hook. Arn.",NA,NA,NA
"Baccharis singularis","Baccharis senicula","Baccharis senicula","Mart.",NA,NA,NA
"Baccharis tridentata","Baccharis isabelae","Baccharis isabelae","Soria & Zardini",NA,NA,NA
"Baccharis tridentata","Baccharis tridentata var. subopposita","Baccharis tridentata",NA,"var.","(DC.) Cabrera","subopposita"
"Baccharis tridentata","Baccharis tridentata var. tridentata","Baccharis tridentata",NA,"var.","Vahl","tridentata"
"Baccharis tridentata","Baccharis tridentata var. deltoidea","Baccharis tridentata",NA,"var.","(Baker) Heering","deltoidea"
"Baccharis tridentata","Baccharis affinis","Baccharis affinis","DC.",NA,NA,NA
"Baccharis tridentata","Baccharis subopposita var. affinis","Baccharis subopposita",NA,"var.","(DC.) Baker","affinis"
"Baccharis tridentata","Baccharis martiana","Baccharis martiana",NA,NA,NA,NA
"Baccharis tridentata","Baccharis tweediei","Baccharis tweediei","Hook. & Arn.",NA,NA,NA
"Baccharis uncinella","Baccharis discolor","Baccharis discolor","Baker",NA,NA,NA
"Baccharis urvilleana","Baccharis muellerii","Baccharis muellerii","Baker",NA,NA,NA
"Bactris hirta","Amylocarpus hirtus","Amylocarpus hirtus","(Mart.) Barb.Rodr.",NA,NA,NA
"Bactris setosa","Bactris setosa var. santensis","Bactris setosa",NA,"var.","Barb.Rodr.","santensis"
"Bactris simplicifrons","Amylocarpus acanthocnemis","Amylocarpus acanthocnemis","(Mart.) Barb.Rodr.",NA,NA,NA
"Bactris simplicifrons","Amylocarpus angustifolius","Amylocarpus angustifolius","Huber",NA,NA,NA
"Bactris simplicifrons","Amylocarpus arenarius","Amylocarpus arenarius","(Barb.Rodr.) Barb.Rodr.",NA,NA,NA
"Bactris simplicifrons","Amylocarpus inermis","Amylocarpus inermis","(Trail ex Barb.Rodr.) Barb.Rodr.",NA,NA,NA
"Bactris simplicifrons","Amylocarpus luetzelburgii","Amylocarpus luetzelburgii","(Burret) Burret",NA,NA,NA
"Bactris simplicifrons","Amylocarpus microspathus","Amylocarpus microspathus","(Barb.Rodr.) Barb.Rodr.",NA,NA,NA
"Bactris simplicifrons","Amylocarpus obovatus","Amylocarpus obovatus","Burret",NA,NA,NA
"Bactris simplicifrons","Amylocarpus simplicifrons","Amylocarpus simplicifrons","(Mart.) Barb.Rodr.",NA,NA,NA
"Bactris simplicifrons","Amylocarpus tenuissimus","Amylocarpus tenuissimus","(Barb.Rodr.) Barb.Rodr.",NA,NA,NA
"Bactris simplicifrons","Amylocarpus xanthocarpus","Amylocarpus xanthocarpus","(Barb.Rodr.) Barb.Rodr.",NA,NA,NA
"Bactris simplicifrons","Bactris acanthocnemis","Bactris acanthocnemis","Mart.",NA,NA,NA
"Bactris simplicifrons","Bactris amoena","Bactris amoena","Burret",NA,NA,NA
"Bactris simplicifrons","Bactris arenaria","Bactris arenaria","Barb.Rodr.",NA,NA,NA
"Bactris simplicifrons","Bactris brevifolia","Bactris brevifolia","Spruce",NA,NA,NA
"Bactris simplicifrons","Bactris carolensis","Bactris carolensis","Spruce",NA,NA,NA
"Bactris simplicifrons","Bactris inermis","Bactris inermis","Trail ex Barb.Rodr.",NA,NA,NA
"Bactris simplicifrons","Bactris inermis var. tenuissima","Bactris inermis",NA,"var.","Barb.Rodr.","tenuissima"
"Bactris simplicifrons","Bactris luetzelburgii","Bactris luetzelburgii","Burret",NA,NA,NA
"Bactris simplicifrons","Bactris microspatha","Bactris microspatha","Barb.Rodr.",NA,NA,NA
"Bactris simplicifrons","Bactris negrensis","Bactris negrensis","Spruce",NA,NA,NA
"Bactris simplicifrons","Bactris simplicifrons var. acanthocnemis","Bactris simplicifrons",NA,"var.","(Mart.) Drude","acanthocnemis"
"Bactris simplicifrons","Bactris simplicifrons var. brevifolia","Bactris simplicifrons",NA,"var.","(Spruce) Trail","brevifolia"
"Bactris simplicifrons","Bactris simplicifrons var. carolensis","Bactris simplicifrons",NA,"var.","(Spruce) Trail","carolensis"
"Bactris simplicifrons","Bactris simplicifrons var. negrensis","Bactris simplicifrons",NA,"var.","(Spruce) Trail","negrensis"
"Bactris simplicifrons","Bactris simplicifrons var. subpinnata","Bactris simplicifrons",NA,"var.","Trail","subpinnata"
"Bactris simplicifrons","Bactris tenuissima","Bactris tenuissima","(Barb.Rodr.) Barb.Rodr.",NA,NA,NA
"Bactris simplicifrons","Bactris xanthocarpa","Bactris xanthocarpa","Barb.Rodr.",NA,NA,NA
"Bactris simplicifrons","Yuyba simplicifrons","Yuyba simplicifrons","(Mart.) L.H.Bailey",NA,NA,NA
"Balfourodendron molle","Esenbeckia mollis","Esenbeckia mollis","Miq.",NA,NA,NA
"Balfourodendron molle","Helietta mollis","Helietta mollis","(Miq.) Kaastra",NA,NA,NA
"Balfourodendron riedelianum","Balfourodendron eburneum","Balfourodendron eburneum","Mello ex Oliv.",NA,NA,NA
"Balfourodendron riedelianum","Esenbeckia riedeliana","Esenbeckia riedeliana","Engl.",NA,NA,NA
"Balfourodendron riedelianum","Helietta multiflora","Helietta multiflora","Engl.",NA,NA,NA
"Banara serrata","Banara vellozii","Banara vellozii","Gardner",NA,NA,NA
"Barnadesia caryophylla","Barnadesia spinosa","Barnadesia spinosa","Less.",NA,NA,NA
"Barnadesia caryophylla","Barnadesia laxa","Barnadesia laxa","D.Don",NA,NA,NA
"Barnadesia caryophylla","Barnadesia rosea","Barnadesia rosea","Lindl.",NA,NA,NA
"Barnebydendron riedelii","Phyllocarpus septentrionalis","Phyllocarpus septentrionalis","Donn.Sm.",NA,NA,NA
"Barnebydendron riedelii","Phyllocarpus riedelii","Phyllocarpus riedelii","Tul.",NA,NA,NA
"Bastardiopsis densiflora","Sida densiflora","Sida densiflora","Hook. & Arn.",NA,NA,NA
"Bathysa australis","Bathysa meridionalis","Bathysa meridionalis","L.B.Sm. & Downs",NA,NA,NA
"Bathysa australis","Cinchona australis","Cinchona australis","(A.St.-Hil.) Brign.",NA,NA,NA
"Bathysa australis","Elaeagia glomiflora","Elaeagia glomiflora","Standl.",NA,NA,NA
"Bathysa australis","Exostema australe","Exostema australe","A.St.-Hil.",NA,NA,NA
"Bathysa australis","Voigtia australis","Voigtia australis","(A.St.-Hil.) Klotzsch",NA,NA,NA
"Bathysa stipulata","Coffea stipulata","Coffea stipulata","Vell.",NA,NA,NA
"Bathysa stipulata","Schoenleinia barbinervis","Schoenleinia barbinervis","Klotzsch",NA,NA,NA
"Bauhinia bauhinioides","Bauhinia microphylla","Bauhinia microphylla","Vogel",NA,NA,NA
"Bauhinia brevipes","Bauhinia bongardii","Bauhinia bongardii",NA,NA,NA,NA
