"validName","name","speciesName","speciesAuthor","infraType","infrarankAuthor","infrarankName"
"Acalypha communis","Acalypha variabilis var. urticoides","Acalypha variabilis",NA,"var.","Baill.","urticoides"
"Acalypha communis","Acalypha virgata","Acalypha virgata","Vell.",NA,NA,NA
"Acalypha cuneata","Acalypha prunifolia","Acalypha prunifolia","Nees & Mart.",NA,NA,NA
"Acalypha cuneata","Acalypha castaneifolia","Acalypha castaneifolia","Poepp. ex Pax & K.Hoffm.",NA,NA,NA
"Acalypha cuneata","Acalypha cuneata var. genuina","Acalypha cuneata",NA,"var.","Müll.Arg.","genuina"
"Acalypha cuneata","Acalypha cuneata var. obovata","Acalypha cuneata",NA,"var.","(Benth.) Müll.Arg.","obovata"
"Acalypha cuneata","Acalypha eggersii","Acalypha eggersii","Pax",NA,NA,NA
"Acalypha cuneata","Acalypha klotzschii","Acalypha klotzschii","Baill.",NA,NA,NA
"Acalypha cuneata","Acalypha longifolia","Acalypha longifolia","Baill.",NA,NA,NA
"Acalypha cuneata","Acalypha obovata","Acalypha obovata","Benth.",NA,NA,NA
"Acalypha cuneata","Acalypha obovata var. cuneata","Acalypha obovata",NA,"var.","(Poepp.) J.F.Macbr.","cuneata"
"Acalypha diversifolia","Acalypha betuloides","Acalypha betuloides","Pav. ex Klotzsch",NA,NA,NA
"Acalypha diversifolia","Acalypha billbergiana","Acalypha billbergiana","Klotzsch",NA,NA,NA
"Acalypha diversifolia","Acalypha callosa var. glabra","Acalypha callosa",NA,"var.","Britton ex Pax & K.Hoffm.","glabra"
"Acalypha diversifolia","Acalypha carpinifolia","Acalypha carpinifolia","Poepp. ex Seem.",NA,NA,NA
"Acalypha diversifolia","Acalypha diversifolia var. carpinifolia","Acalypha diversifolia",NA,"var.","(Poepp. ex Seem.) Müll.Arg.","carpinifolia"
"Acalypha diversifolia","Acalypha diversifolia var. caloneura","Acalypha diversifolia",NA,"var.","Pax & K.Hoffm.","caloneura"
"Acalypha diversifolia","Acalypha diversifolia var. genuina","Acalypha diversifolia",NA,"var.","Müll.Arg.","genuina"
"Acalypha diversifolia","Acalypha diversifolia var. popayanensis","Acalypha diversifolia",NA,"var.","(Kunth) Müll.Arg.","popayanensis"
"Acalypha diversifolia","Acalypha diversifolia var. squarrosa","Acalypha diversifolia",NA,"var.","Müll.Arg.","squarrosa"
"Acalypha diversifolia","Acalypha hartwegiana","Acalypha hartwegiana","Benth. ex Baill.",NA,NA,NA
"Acalypha diversifolia","Acalypha leptostachya","Acalypha leptostachya","Kunth",NA,NA,NA
"Acalypha diversifolia","Acalypha leptostachya var. carpinifolia","Acalypha leptostachya",NA,"var.","(Poepp. ex Seem.) Müll.Arg.","carpinifolia"
"Acalypha diversifolia","Acalypha leptostachya var. genuina","Acalypha leptostachya",NA,"var.","Müll.Arg.","genuina"
"Acalypha diversifolia","Acalypha leptostachya var. popayanensis","Acalypha leptostachya",NA,"var.","(Kunth) Müll.Arg.","popayanensis"
"Acalypha diversifolia","Acalypha microgyna","Acalypha microgyna","Poepp.",NA,NA,NA
"Acalypha diversifolia","Acalypha panamensis","Acalypha panamensis","Klotzsch",NA,NA,NA
"Acalypha diversifolia","Acalypha popayanensis","Acalypha popayanensis","Kunth",NA,NA,NA
"Acalypha diversifolia","Acalypha salicioides","Acalypha salicioides","Rusby",NA,NA,NA
"Acalypha diversifolia","Acalypha samydifolia","Acalypha samydifolia","Poepp.",NA,NA,NA
"Acalypha diversifolia","Acalypha tabascensis","Acalypha tabascensis","Lundell",NA,NA,NA
"Acalypha diversifolia","Acalypha ulmifolia","Acalypha ulmifolia","Benth.",NA,NA,NA
"Acalypha gracilis","Acalypha divaricata","Acalypha divaricata","Baill.",NA,NA,NA
"Acalypha gracilis","Acalypha diversifolia var. leptostachya","Acalypha diversifolia",NA,"var.","Glaz.","leptostachya"
"Acalypha gracilis","Acalypha gracilis var. divaricata","Acalypha gracilis",NA,"var.","(Baill.) Pax & K.Hoffm.","divaricata"
"Acalypha gracilis","Acalypha gracilis var. fruticulosa","Acalypha gracilis",NA,"var.","Müll.Arg.","fruticulosa"
"Acalypha gracilis","Acalypha gracilis var. genuina","Acalypha gracilis",NA,"var.","Müll.Arg.","genuina"
"Acalypha gracilis","Acalypha gracilis var. pubescens","Acalypha gracilis",NA,"var.","Müll.Arg.","pubescens"
"Acalypha gracilis","Acalypha striolata","Acalypha striolata","Lingelsh.",NA,NA,NA
"Acalypha macrostachya","Acalypha amplifolia","Acalypha amplifolia","Rusby",NA,NA,NA
"Acalypha macrostachya","Acalypha callosa","Acalypha callosa","Benth.",NA,NA,NA
"Acalypha macrostachya","Acalypha cancana","Acalypha cancana","Müll.Arg.",NA,NA,NA
"Acalypha macrostachya","Acalypha caucana","Acalypha caucana","Müll.Arg.",NA,NA,NA
"Acalypha macrostachya","Acalypha caudata","Acalypha caudata","Kunth",NA,NA,NA
"Acalypha macrostachya","Acalypha cucullata","Acalypha cucullata","Poir.",NA,NA,NA
"Acalypha macrostachya","Acalypha fertilis","Acalypha fertilis","Standl. & L.O.Williams",NA,NA,NA
"Acalypha macrostachya","Acalypha foliosa","Acalypha foliosa","Rusby",NA,NA,NA
"Acalypha macrostachya","Acalypha heterodonta","Acalypha heterodonta","Müll.Arg.",NA,NA,NA
"Acalypha macrostachya","Acalypha heterodonta var. hirsuta","Acalypha heterodonta",NA,"var.","Müll.Arg.","hirsuta"
"Acalypha macrostachya","Acalypha heterodonta var. psilocarpa","Acalypha heterodonta",NA,"var.","Müll.Arg.","psilocarpa"
"Acalypha macrostachya","Acalypha heterodonta var. psiloclada","Acalypha heterodonta",NA,"var.","Müll.Arg.","psiloclada"
"Acalypha macrostachya","Acalypha heterodonta var. trichoclada","Acalypha heterodonta",NA,"var.","Müll.Arg.","trichoclada"
"Acalypha macrostachya","Acalypha hicksii","Acalypha hicksii","L.Riley",NA,NA,NA
"Acalypha macrostachya","Acalypha hirsutissima","Acalypha hirsutissima","Willd.",NA,NA,NA
"Acalypha macrostachya","Acalypha lehmanniana","Acalypha lehmanniana","Pax",NA,NA,NA
"Acalypha macrostachya","Acalypha macrophylla","Acalypha macrophylla","Kunth",NA,NA,NA
"Acalypha macrostachya","Acalypha macrostachya var. genuina","Acalypha macrostachya",NA,"var.","Müll.Arg.","genuina"
"Acalypha macrostachya","Acalypha macrostachya var. hirsutissima","Acalypha macrostachya",NA,"var.","(Willd.) Müll.Arg.","hirsutissima"
"Acalypha macrostachya","Acalypha macrostachya var. macrophylla","Acalypha macrostachya",NA,"var.","(Kunth) Müll.Arg.","macrophylla"
"Acalypha macrostachya","Acalypha macrostachya var. puberula","Acalypha macrostachya",NA,"var.","Müll.Arg.","puberula"
"Acalypha macrostachya","Acalypha macrostachya var. sidaefolia","Acalypha macrostachya",NA,"var.","(Kunth) Müll.Arg.","sidaefolia"
"Acalypha macrostachya","Acalypha macrostachya var. tristis","Acalypha macrostachya",NA,"var.","(Poepp.) Müll.Arg.","tristis"
"Acalypha macrostachya","Acalypha neogranatensis","Acalypha neogranatensis","Müll.Arg.",NA,NA,NA
"Acalypha macrostachya","Acalypha obtusifolia","Acalypha obtusifolia","Pax & K.Hoffm.",NA,NA,NA
"Acalypha macrostachya","Acalypha piperoides","Acalypha piperoides","Klotzsch ex Pax & K.Hoffm.",NA,NA,NA
"Acalypha macrostachya","Acalypha pittieri","Acalypha pittieri","Pax & K.Hoffm.",NA,NA,NA
"Acalypha macrostachya","Acalypha seemannii","Acalypha seemannii","Klotzsch",NA,NA,NA
"Acalypha macrostachya","Acalypha sidaefolia","Acalypha sidaefolia","Kunth",NA,NA,NA
"Acalypha macrostachya","Acalypha tarapotensis","Acalypha tarapotensis","Müll.Arg.",NA,NA,NA
"Acalypha macrostachya","Acalypha tristis","Acalypha tristis","Poepp.",NA,NA,NA
