order,family,species,authorship,categoria,provincias,obs
199,Iridaceae,Cypella suffusa,Ravenna,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
200,Iridaceae,Cypella trimontina,Ravenna,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
201,Iridaceae,Cypella yatayphila,Ravenna,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
202,Fabaceae,Desmodium burkartii,L.C.P. Lima & Vanni,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
203,Poaceae,Digitaria chacoensis,(Parodi) Henrard,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
204,Bromeliaceae,Dyckia mitis,A. Cast.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
205,Bromeliaceae,Dyckia subinermis,Mez,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
206,Eriocaulaceae,Eriocaulon missionum,A. Cast.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
207,Poaceae,Eriochloa nana,Arriaga,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
208,Apiaceae,Eryngium cabrerae,Pontiroli,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
209,Asteraceae,Eupatorium mikaniifolium,B. L. Rob.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
210,Euphorbiaceae,Euphorbia burkartii,Bacigalupo,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
211,Euphorbiaceae,Euphorbia pedersenii,Subils,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
212,Apocynaceae,Forsteronia correntina,C. Ezcurra & Tressens,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
213,Malvaceae,Gaya Kelleri,Krapov.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
214,Geraniaceae,Geranium parodii,I.M. Johnst.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
215,Poaceae,Guadua variegata,Lizarazu,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
216,Cactaceae,Gymnocalycium angelae,Meregalli,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
217,Cactaceae,Gymnocalycium mesopotamicum,R. Kiesling,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
218,Amaryllidaceae,Habranthus correntinus,"Roitman, J. A. Castillo & M. R. Barrios","cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
219,Amaryllidaceae,Habranthus matacus,Ravenna,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
220,Amaryllidaceae,Habranthus salinarum,Ravenna,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
221,Amaryllidaceae,Habranthus schulzianus,Ravenna,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
222,Violaceae,Hybanthus leucopogon,Sparre,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
223,Lamiaceae,Hyptis australis,Epling,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
224,Isoëtaceae,Isoëtes ekmanii,U. Weber,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,occurs in Misiones
225,Isoëtaceae,Isoëtes pedersenii,H. P. Fuchs,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
226,Convolvulaceae,Jacquemontia laxiflora,O'Donell,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,occurs in Misiones
227,Verbenaceae,Lantana entrerriensis,Tronc.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
228,Melastomataceae,Leandra niederleinii,Cogn.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
229,Solanaceae,Lycium athium,Bernadello,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
230,Malvaceae,Malvastrum uniapiculatum,Krapov.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
231,Apocynaceae,Marsdenia tressensiae,S. A. Cáceres & Morillo,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
232,Plantaginaceae,Mecardonia kamogawae,Greppi & J.C. Hagiw.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
233,Poaceae,Mesosetum comatum,Swallen,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
234,Asteraceae,Mikania summinima,W. C. Holmes,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
235,Fabaceae,Mimosa longiracemosa,(Burkart) Barneby,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
236,Malvaceae,Modiolastrum australe,Krapov.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
237,Cactaceae,Monvillea krapovickiana,R. Kiesling,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
238,Alliaceae,Nothoscordum basalticum,Ravenna,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
239,Alliaceae,Nothoscordum correntinum,Ravenna,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
240,Alliaceae,Nothoscordum glareosum,Ravenna,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
241,Alliaceae,Nothoscordum itatiense,Ravenna,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
242,Alliaceae,Nothoscordum patricium,Ravenna,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
243,Alliaceae,Nothoscordum yatainum,Ravenna,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
244,Apocynaceae,Oxypetalum fontellae,S. A. Cáceres,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
245,Apocynaceae,Oxypetalum gracile,T. Mey.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
246,Apocynaceae,Oxypetalum ostenii,Malme,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
247,Apocynaceae,Oxypetalum teyucuarense,Farinaccio & H.A. Keller,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
248,Poaceae,Piptochaetium burkartianum,Parodi,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
249,Poaceae,Poa iridifolia,Hauman,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
250,Portulacaceae,Portulaca meyeri,D. Legrand,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
251,Orchidaceae,Pteroglossa luteola,Garay,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
252,Orchidaceae,Pteroglossa regia,(Kraenzl.) Schltr.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
253,Polygonaceae,Rumex polycarpus,Rech. f.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
254,Cyperaceae,Scleria schulzii,Barros,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
255,Malvaceae,Sida pindapoyensis,Krapov.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
256,Malvaceae,Sida rhizomatosa,Krapov.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
257,Malvaceae,Sida tressensiae,Krapov.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
258,Campanulaceae,Siphocampylus hypopogon,E. Wimm.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
259,Campanulaceae,Siphocampylus yerbalensis,E. Wimm.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
260,Iridaceae,Sisyrinchium ciliolatum,(Ravenna) Ravenna,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
261,Orchidaceae,Skeptrostachys correana,Szlach.,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
262,Solanaceae,Solanum pedersenii,Cabrera,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
263,Rubiaceae,Staelia juarezii,E. L. Cabral & Salas,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
264,Plantaginaceae,Stemodia diplohyptoides,M.M. Sosa & Dematteis,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
265,Fabaceae,Tephrosia fertilis,R.T. Queiroz & A.M.G. Azevedo,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
266,Asteraceae,Vernonia correntina,Cabrera & Cristóbal,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,occurs in Misiones
267,Asteraceae,Vernonia spicata,Cabrera,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
268,Asteraceae,Vernonia teyucuarensis,Cabrera,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
269,Asteraceae,Viguiera fabrisii,A. A. Sáenz,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
270,Asteraceae,Viguiera misionensis,A. A. Sáenz,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,endemic to Misiones
271,Podostemaceae,Wettsteiniola apipensis,Tur,"cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones escasas o sobre las que se presume que puedan actuar uno o más factores de amenaza (destrucción de hábitat, sobreexplotación, invasiones biológicas, etc.)",Chaco|Corrientes|Entre Rios|Formosa|Misiones|Santa FE,NA
