family,species,records outside the AF,records out.in transition,records in.out transition,records inside the AF,endemism level (validated taxonomy only),group of species (validated taxonomy only),endemism level (validated and probably validated taxonomy),group of species (validated and probably validated taxonomy),endemism accepted by the BF-2020
Acanthaceae,Anisacanthus trilobus,35,4,1,2,7.462687,occasional,6.329114,occasional,Not in the AF
Acanthaceae,Aphelandra longiflora,116,5,8,232,65.935919,widespread,66.572638,widespread,Not endemic
Acanthaceae,Avicennia germinans,192,2,0,13,16.666667,widespread,6.31068,occasional,Not endemic
Acanthaceae,Avicennia schaueriana,6,0,1,103,93.650794,near_endemic,94.520548,near_endemic,Not endemic
Acanthaceae,Justicia aequilabris,117,15,16,12,18.994413,widespread,13.84083,widespread,Not in the AF
Acanthaceae,Thyrsacanthus ramosissimus,18,35,35,22,54.347826,widespread,52.666667,widespread,Not in the AF
Achariaceae,Carpotroche brasiliensis,0,1,1,118,100,pure_endemic,99.579832,near_endemic,Not endemic
Achariaceae,Kuhlmanniodendron apterocarpum,0,0,0,25,100,pure_endemic,100,pure_endemic,Endemic
Achariaceae,Kuhlmanniodendron macrocarpum,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Achariaceae,Lindackeria ovata,11,6,0,1,33.333333,widespread,6.666667,occasional,Not in the AF
Achatocarpaceae,Achatocarpus hasslerianus,0,0,0,1,100,pure_endemic,100,pure_endemic,NA
Amaranthaceae,Hebanthe eriantha,34,20,11,247,85.507246,widespread,85.160202,widespread,Not endemic
Anacardiaceae,Anacardium humile,294,31,13,37,14.744802,widespread,12.322946,widespread,Not endemic
Anacardiaceae,Anacardium occidentale,521,29,8,206,28.093023,widespread,28.169014,widespread,Not endemic
Anacardiaceae,Astronium concinnum,4,8,3,37,81.081081,widespread,82.795699,widespread,Not endemic
Anacardiaceae,Astronium fraxinifolium,144,12,4,12,6.043956,occasional,8.536585,occasional,Not endemic
Anacardiaceae,Astronium glaziovii,0,0,0,10,100,pure_endemic,100,pure_endemic,Not endemic
Anacardiaceae,Astronium graveolens,173,6,2,68,24.381625,widespread,28.163265,widespread,Not endemic
Anacardiaceae,Astronium nelson-rosae,10,0,0,1,9.090909,occasional,9.090909,widespread,Not endemic
Anacardiaceae,Cyrtocarpa caatingae,24,2,6,1,17.073171,widespread,13.793103,widespread,Not in the AF
Anacardiaceae,Lithraea brasiliensis,100,81,31,436,65.972222,widespread,76.266892,widespread,Not endemic
Anacardiaceae,Lithraea molleoides,667,160,125,516,33.121019,widespread,43.643908,widespread,Not endemic
Anacardiaceae,Myracrodruon balansae,25,1,0,8,21.276596,widespread,23.880597,widespread,Not in the AF
Anacardiaceae,Myracrodruon urundeuva,273,29,26,18,12.285714,widespread,9.733124,widespread,Not endemic
Anacardiaceae,Schinopsis brasiliensis,104,20,12,6,12.931034,widespread,9.52381,widespread,Not in the AF
Anacardiaceae,Schinus engleri,7,0,1,55,87.341772,widespread,88.8,widespread,Not in the AF
Anacardiaceae,Schinus fasciculata,52,0,0,4,7.407407,occasional,7.142857,occasional,Not endemic
Anacardiaceae,Schinus ferox,2,0,0,21,90.47619,near_endemic,91.304348,near_endemic,Not endemic
Anacardiaceae,Schinus lentiscifolia,29,2,1,30,43.421053,widespread,50.413223,widespread,Not endemic
Anacardiaceae,Schinus longifolia,91,8,4,18,20.689655,widespread,17.391304,widespread,Not endemic
Anacardiaceae,Schinus molle,664,115,30,177,29.565217,widespread,21.018062,widespread,Not endemic
Anacardiaceae,Schinus polygama,73,10,3,88,35.56701,widespread,53.432836,widespread,Not endemic
Anacardiaceae,Schinus ramboi,0,0,0,4,100,pure_endemic,100,pure_endemic,Not endemic
Anacardiaceae,Schinus spinosa,0,0,0,19,100,pure_endemic,100,pure_endemic,Not endemic
Anacardiaceae,Schinus terebinthifolia,310,202,155,3184,85.693431,widespread,88.808713,widespread,Not endemic
Anacardiaceae,Schinus weinmanniifolia,39,20,2,63,50.724638,widespread,56.637168,widespread,Not endemic
Anacardiaceae,Spondias admirabilis,0,0,0,16,100,pure_endemic,100,pure_endemic,Endemic
Anacardiaceae,Spondias expeditionaria,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Anacardiaceae,Spondias macrocarpa,2,0,1,13,100,pure_endemic,87.096774,widespread,Endemic
Anacardiaceae,Spondias mombin,497,8,2,59,10.015649,occasional,10.695187,widespread,Not endemic
Anacardiaceae,Spondias tuberosa,75,17,11,20,41.573034,widespread,23.394495,widespread,Not in the AF
Anacardiaceae,Spondias venulosa,3,0,5,56,91.891892,near_endemic,95.121951,near_endemic,Endemic
Anacardiaceae,Tapirira guianensis,1398,69,57,439,21.742845,widespread,24.605263,widespread,Not endemic
Anacardiaceae,Tapirira obtusa,168,45,23,125,44.280443,widespread,41.743119,widespread,Not endemic
Anacardiaceae,Thyrsodium spruceanum,162,4,9,113,29.393939,widespread,41.740675,widespread,Not endemic
Annonaceae,Anaxagorea dolichocarpa,301,2,6,199,35.123043,widespread,40.079365,widespread,Not endemic
Annonaceae,Anaxagorea silvatica,0,0,0,24,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Annona acutiflora,0,0,0,76,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Annona bahiensis,0,0,1,36,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Annona cacans,9,5,3,104,87.709497,widespread,90.17094,widespread,Endemic
Annonaceae,Annona calophylla,0,0,0,7,100,pure_endemic,100,pure_endemic,NA
Annonaceae,Annona campestris,0,0,0,17,100,pure_endemic,100,pure_endemic,NA
Annonaceae,Annona coriacea,230,43,25,44,17.610063,widespread,18.344156,widespread,Not in the AF
Annonaceae,Annona crassiflora,120,14,3,16,7.329843,occasional,12.110727,widespread,Not in the AF
Annonaceae,Annona crotonifolia,11,0,0,5,31.25,widespread,31.25,widespread,Not in the AF
Annonaceae,Annona dioica,97,17,3,15,12.101911,widespread,13.52459,widespread,Not in the AF
Annonaceae,Annona dolabripetala,28,24,2,567,92.863595,near_endemic,93.421053,near_endemic,Endemic
Annonaceae,Annona emarginata,274,17,26,344,52.865697,widespread,55.824863,widespread,Not endemic
Annonaceae,Annona ferruginea,0,0,0,3,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Annona glabra,169,11,1,138,46.442688,widespread,44.249201,widespread,Not endemic
Annonaceae,Annona glaucophylla,4,2,0,1,20,widespread,16.666667,widespread,Not in the AF
Annonaceae,Annona leptopetala,170,38,18,8,12.927757,widespread,8.252427,occasional,Not in the AF
Annonaceae,Annona maritima,2,13,10,41,83.495146,widespread,84.40367,widespread,Endemic
Annonaceae,Annona montana,138,4,4,60,31.671554,widespread,30.693069,widespread,Not endemic
Annonaceae,Annona mucosa,347,7,2,114,23.681125,widespread,24.704619,widespread,Not endemic
Annonaceae,Annona neosalicifolia,92,59,12,215,64.06015,widespread,64.525547,widespread,Not endemic
Annonaceae,Annona neosericea,2,0,0,97,100,pure_endemic,97.979798,near_endemic,Endemic
Annonaceae,Annona nutans,69,0,0,2,6.451613,occasional,2.816901,occasional,Not in the AF
Annonaceae,Annona parviflora,1,0,0,41,97.435897,near_endemic,97.619048,near_endemic,Endemic
Annonaceae,Annona pickelii,1,5,1,35,90.789474,near_endemic,91.025641,near_endemic,Endemic
Annonaceae,Annona rugulosa,11,5,6,191,92.875989,near_endemic,93.493976,near_endemic,Endemic
Annonaceae,Annona saffordiana,0,0,3,5,100,pure_endemic,100,pure_endemic,Not in the AF
Annonaceae,Annona salzmannii,7,1,0,66,88.549618,near_endemic,89.795918,widespread,Endemic
Annonaceae,Annona sylvatica,100,94,48,380,72.689938,widespread,73.321234,widespread,Not endemic
Annonaceae,Annona tomentosa,202,5,2,10,5.309735,occasional,5.104408,occasional,Not in the AF
Annonaceae,Annona ubatubensis,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Annona vepretorum,38,3,6,1,10.126582,widespread,9.195402,widespread,Not in the AF
Annonaceae,Annona warmingiana,51,2,1,1,3.488372,occasional,2.803738,occasional,Not in the AF
Annonaceae,Annona xylopiifolia,2,0,0,43,95.121951,near_endemic,95.555556,near_endemic,Endemic
Annonaceae,Bocagea longepedunculata,0,0,0,3,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Bocagea viridis,0,0,0,3,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Cymbopetalum brasiliense,116,0,1,73,32.704403,widespread,38.78628,widespread,Not endemic
Annonaceae,Duguetia bahiensis,0,0,0,26,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Duguetia chrysocarpa,0,0,0,29,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Duguetia flagellaris,90,0,0,3,3.947368,occasional,3.225806,occasional,Not in the AF
Annonaceae,Duguetia furfuracea,533,75,57,64,12.870276,widespread,13.951735,widespread,Not endemic
Annonaceae,Duguetia gardneriana,0,0,1,29,100,pure_endemic,100,pure_endemic,Not endemic
Annonaceae,Duguetia lanceolata,27,13,6,64,67.5,widespread,66.666667,widespread,Not endemic
Annonaceae,Duguetia latifolia,81,0,0,1,1.388889,occasional,1.219512,occasional,Not in the AF
Annonaceae,Duguetia magnolioidea,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Duguetia microphylla,0,0,0,13,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Duguetia moricandiana,1,0,0,40,97.297297,near_endemic,97.560976,near_endemic,Endemic
Annonaceae,Duguetia pohliana,0,0,0,4,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Duguetia restingae,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Duguetia reticulata,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Duguetia riedeliana,5,1,0,8,59.259259,widespread,59.259259,widespread,Endemic
Annonaceae,Duguetia salicifolia,0,0,0,19,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Duguetia scottmorii,0,4,0,3,60,widespread,60,widespread,Endemic
Annonaceae,Duguetia sessilis,0,0,0,32,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Duguetia sooretamae,0,0,0,10,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Ephedranthus dimerus,0,0,0,19,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Ephedranthus parviflorus,59,1,0,1,1.801802,occasional,1.652893,occasional,Not in the AF
Annonaceae,Guatteria australis,51,31,8,1242,95.365419,near_endemic,94.933333,near_endemic,Not endemic
Annonaceae,Guatteria campestris,5,0,0,63,95.3125,near_endemic,92.647059,near_endemic,Endemic
Annonaceae,Guatteria candolleana,0,0,0,45,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Guatteria capixabae,0,0,0,15,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Guatteria citriodora,152,0,0,1,0.657895,occasional,0.653595,occasional,Not in the AF
Annonaceae,Guatteria dura,52,0,0,1,1.923077,occasional,1.886792,occasional,Not in the AF
Annonaceae,Guatteria emarginata,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Guatteria ferruginea,25,1,0,161,86.501377,widespread,86.327078,widespread,Endemic
Annonaceae,Guatteria latifolia,1,0,0,54,97.777778,near_endemic,98.181818,near_endemic,Endemic
Annonaceae,Guatteria macropus,1,0,0,51,98.039216,near_endemic,98.076923,near_endemic,Endemic
Annonaceae,Guatteria notabilis,31,0,0,2,6.666667,occasional,6.060606,occasional,Not in the AF
Annonaceae,Guatteria oligocarpa,0,0,0,134,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Guatteria pogonopus,13,1,6,263,94.255319,near_endemic,95.169946,near_endemic,Endemic
Annonaceae,Guatteria pohliana,0,1,0,44,100,pure_endemic,98.876404,near_endemic,Endemic
Annonaceae,Guatteria rupestris,15,4,2,3,19.047619,widespread,19.047619,widespread,Not in the AF
Annonaceae,Guatteria schomburgkiana,360,2,1,30,5.471956,occasional,7.790549,occasional,Not endemic
Annonaceae,Guatteria sellowiana,86,31,12,153,63.318777,widespread,61.036468,widespread,Not endemic
Annonaceae,Guatteria stenocarpa,0,0,0,5,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Guatteria tomentosa,116,0,0,14,10.15625,widespread,10.769231,widespread,Not in the AF
Annonaceae,Guatteria villosissima,13,18,1,63,77.205882,widespread,74.269006,widespread,Endemic
Annonaceae,Hornschuchia alba,0,0,1,9,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Hornschuchia bryotrophe,0,0,0,52,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Hornschuchia cauliflora,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Hornschuchia citriodora,0,0,0,10,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Hornschuchia leptandra,0,0,0,3,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Hornschuchia lianarum,0,0,1,6,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Hornschuchia myrtillus,0,0,0,21,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Hornschuchia obliqua,0,0,0,8,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Hornschuchia polyantha,0,0,0,14,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Hornschuchia santosii,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Oxandra espintana,29,0,0,35,55.555556,widespread,54.6875,widespread,Not in the AF
Annonaceae,Oxandra martiana,0,0,0,11,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Oxandra reticulata,38,4,9,5,19.512195,widespread,19.191919,widespread,Not endemic
Annonaceae,Oxandra unibracteata,0,0,0,4,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Porcelia macrocarpa,3,6,2,28,83.018868,widespread,82.857143,widespread,Endemic
Annonaceae,Pseudomalmea diclina,83,0,0,1,1.190476,occasional,1.190476,occasional,Not in the AF
Annonaceae,Pseudoxandra bahiensis,0,0,0,59,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Pseudoxandra lucida,76,0,0,1,1.408451,occasional,1.298701,occasional,Not in the AF
Annonaceae,Pseudoxandra spiritus-sancti,0,0,0,64,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Trigynaea axilliflora,0,0,0,9,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Trigynaea oblongifolia,1,0,0,10,90.909091,near_endemic,90.909091,near_endemic,Endemic
Annonaceae,Unonopsis aurantiaca,0,0,0,24,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Unonopsis bahiensis,0,0,0,59,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Unonopsis bauxitae,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Unonopsis guatterioides,626,26,4,46,5.485893,occasional,6.9869,occasional,Not endemic
Annonaceae,Unonopsis renatoi,0,0,0,5,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Unonopsis riedeliana,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Unonopsis sanctae-teresae,0,0,0,28,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Unonopsis stipitata,287,0,0,8,2.197802,occasional,2.711864,occasional,Not in the AF
Annonaceae,Xylopia aromatica,956,57,19,63,5.088757,occasional,6.859035,occasional,Not in the AF
Annonaceae,Xylopia atlantica,0,0,0,10,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Xylopia brasiliensis,11,1,1,105,93.491124,near_endemic,90.17094,widespread,Endemic
Annonaceae,Xylopia decorticans,0,0,0,23,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Xylopia emarginata,116,20,7,5,5.769231,occasional,6.319703,occasional,Not endemic
Annonaceae,Xylopia frutescens,190,6,1,106,36.069114,widespread,35.559265,widespread,Not endemic
Annonaceae,Xylopia involucrata,0,0,0,24,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Xylopia laevigata,33,8,8,205,84.494382,widespread,84.95935,widespread,Not endemic
Annonaceae,Xylopia langsdorffiana,0,0,0,75,100,pure_endemic,100,pure_endemic,Endemic
Annonaceae,Xylopia ochrantha,64,0,0,58,44.347826,widespread,47.540984,widespread,Endemic
Annonaceae,Xylopia sericea,165,17,2,130,43.426295,widespread,43.021346,widespread,Not endemic
Apocynaceae,Allamanda blanchetii,122,11,8,20,17.333333,widespread,15.841584,widespread,Not in the AF
Apocynaceae,Aspidosperma australe,63,19,10,111,61.516035,widespread,61.538462,widespread,Not endemic
Apocynaceae,Aspidosperma compactinervium,4,2,0,13,73.333333,widespread,72.222222,widespread,Endemic
Apocynaceae,Aspidosperma cuspa,135,10,2,5,4.724409,occasional,4.109589,occasional,Not endemic
Apocynaceae,Aspidosperma cylindrocarpon,111,18,10,67,37.971014,widespread,37.5,widespread,Not endemic
Apocynaceae,Aspidosperma desmanthum,215,0,0,8,3.827751,occasional,3.587444,occasional,Not in the AF
Apocynaceae,Aspidosperma discolor,53,16,7,22,19.594595,widespread,29.479769,widespread,Not in the AF
Apocynaceae,Aspidosperma dispermum,34,2,1,7,11.111111,widespread,17.647059,widespread,Not in the AF
Apocynaceae,Aspidosperma gomezianum,0,0,0,47,100,pure_endemic,100,pure_endemic,Not endemic
Apocynaceae,Aspidosperma illustre,2,2,0,18,85,widespread,85.714286,widespread,Endemic
Apocynaceae,Aspidosperma macrocarpon,245,6,5,1,1.670644,occasional,1.39165,occasional,Not in the AF
Apocynaceae,Aspidosperma melanocalyx,12,3,1,13,48.076923,widespread,50,widespread,Not endemic
Apocynaceae,Aspidosperma multiflorum,105,2,3,2,2.347418,occasional,3.196347,occasional,Not in the AF
Apocynaceae,Aspidosperma olivaceum,6,8,0,245,95.80574,near_endemic,96.078431,near_endemic,Endemic
Apocynaceae,Aspidosperma parvifolium,77,5,4,122,60.277778,widespread,60.933661,widespread,Endemic
Apocynaceae,Aspidosperma polyneuron,64,9,8,101,64.73029,widespread,60.518732,widespread,Not endemic
Apocynaceae,Aspidosperma pyricollum,11,0,2,176,93.939394,near_endemic,94.148936,near_endemic,Endemic
Apocynaceae,Aspidosperma pyrifolium,376,32,17,19,6.858054,occasional,6.555423,occasional,Not in the AF
Apocynaceae,Aspidosperma ramiflorum,7,14,2,68,83.969466,widespread,83.13253,widespread,Not endemic
Apocynaceae,Aspidosperma riedelii,38,5,1,14,28.15534,widespread,26.363636,widespread,Not endemic
Apocynaceae,Aspidosperma spruceanum,227,7,5,31,12.284483,widespread,12.689394,widespread,Not in the AF
Apocynaceae,Aspidosperma subincanum,234,10,3,18,7.093822,occasional,7.54352,occasional,Not endemic
Apocynaceae,Aspidosperma thomasii,0,0,0,8,100,pure_endemic,100,pure_endemic,Endemic
Apocynaceae,Couma macrocarpa,176,0,0,1,0.724638,occasional,0.564972,occasional,Not endemic
Apocynaceae,Couma rigida,10,0,5,29,70.967742,widespread,75.903614,widespread,Not in the AF
Apocynaceae,Couma utilis,125,0,0,1,1.052632,occasional,0.793651,occasional,Not in the AF
Apocynaceae,Geissospermum laeve,24,0,0,33,46.341463,widespread,57.894737,widespread,Not endemic
Apocynaceae,Hancornia speciosa,932,97,34,329,26.631854,widespread,26.083679,widespread,Not endemic
Apocynaceae,Himatanthus bracteatus,41,9,11,303,88.70229,near_endemic,87.146893,widespread,Endemic
Apocynaceae,Himatanthus drasticus,262,41,23,26,12.020033,widespread,11.71875,widespread,Not in the AF
Apocynaceae,Himatanthus obovatus,273,29,10,37,14.684015,widespread,12.746586,widespread,Not in the AF
Apocynaceae,Himatanthus phagedaenicus,52,0,4,66,36.708861,widespread,56.666667,widespread,Not in the AF
Apocynaceae,Lacmellea bahiensis,0,0,0,23,100,pure_endemic,100,pure_endemic,Endemic
Apocynaceae,Lacmellea pauciflora,0,0,0,17,100,pure_endemic,100,pure_endemic,Endemic
Apocynaceae,Macoubea guianensis,104,0,0,23,11.494253,widespread,18.110236,widespread,Not endemic
Apocynaceae,Malouetia cestroides,5,1,0,90,94.117647,near_endemic,94.240838,near_endemic,Not endemic
Apocynaceae,Malouetia lata,35,0,0,1,2.857143,occasional,2.777778,occasional,Not in the AF
Apocynaceae,Odontadenia lutea,363,29,14,32,10.238429,widespread,9.363745,widespread,Not endemic
Apocynaceae,Rauvolfia atlantica,0,0,0,25,100,pure_endemic,100,pure_endemic,Endemic
Apocynaceae,Rauvolfia bahiensis,0,0,0,48,100,pure_endemic,100,pure_endemic,Endemic
Apocynaceae,Rauvolfia capixabae,0,0,0,36,100,pure_endemic,100,pure_endemic,Endemic
Apocynaceae,Rauvolfia grandiflora,10,0,5,119,91.341991,near_endemic,92.395437,near_endemic,Endemic
Apocynaceae,Rauvolfia ligustrina,170,4,7,19,9.88024,occasional,11.568123,widespread,Not endemic
Apocynaceae,Rauvolfia mattfeldiana,4,0,1,6,57.894737,widespread,61.904762,widespread,Not endemic
Apocynaceae,Rauvolfia moricandii,0,0,1,18,100,pure_endemic,100,pure_endemic,Endemic
Apocynaceae,Rauvolfia paucifolia,29,4,2,4,11.428571,widespread,13.888889,widespread,Not endemic
Apocynaceae,Rauvolfia pruinosifolia,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Apocynaceae,Rauvolfia sellowii,3,4,6,142,96.759259,near_endemic,96.666667,near_endemic,Endemic
Apocynaceae,Rauvolfia weddelliana,76,0,1,3,4.516129,occasional,4.402516,occasional,Not in the AF
Apocynaceae,Tabernaemontana catharinensis,285,68,18,531,58.509861,widespread,62.863795,widespread,Not endemic
Apocynaceae,Tabernaemontana coriacea,120,0,0,1,0.934579,occasional,0.826446,occasional,Not in the AF
Apocynaceae,Tabernaemontana flavicans,152,0,2,126,45.418327,widespread,45.519713,widespread,Not endemic
Apocynaceae,Tabernaemontana hystrix,13,15,3,121,90.212766,near_endemic,85.664336,widespread,Not endemic
Apocynaceae,Tabernaemontana laeta,14,9,2,195,91.369048,near_endemic,91.375291,near_endemic,Not endemic
Apocynaceae,Tabernaemontana linkii,68,0,0,3,2.898551,occasional,4.225352,occasional,Not in the AF
Apocynaceae,Tabernaemontana salzmannii,1,0,0,131,100,pure_endemic,99.242424,near_endemic,Not endemic
Apocynaceae,Tabernaemontana solanifolia,34,6,17,16,42.857143,widespread,39.837398,widespread,Not endemic
Apocynaceae,Thevetia peruviana,168,8,1,31,9.811321,occasional,15.479115,widespread,Not in the AF
Aquifoliaceae,Ilex affinis,155,32,24,36,22.38806,widespread,21.917808,widespread,Not endemic
Aquifoliaceae,Ilex asperula,0,2,0,4,80,widespread,80,widespread,Not in the AF
Aquifoliaceae,Ilex blanchetii,0,0,0,9,100,pure_endemic,100,pure_endemic,Endemic
Aquifoliaceae,Ilex brasiliensis,51,15,7,60,45.859873,widespread,52.04918,widespread,Not endemic
Aquifoliaceae,Ilex brevicuspis,3,2,4,128,95.652174,near_endemic,97.014925,near_endemic,Endemic
Aquifoliaceae,Ilex buxifolia,0,0,0,12,100,pure_endemic,100,pure_endemic,Endemic
Aquifoliaceae,Ilex cerasifolia,8,1,3,17,66.666667,widespread,68.518519,widespread,Not endemic
Aquifoliaceae,Ilex chamaedryfolia,0,7,1,60,91.111111,near_endemic,94.53125,near_endemic,Endemic
Aquifoliaceae,Ilex congonhinha,0,0,0,2,100,pure_endemic,100,pure_endemic,Endemic
Aquifoliaceae,Ilex conocarpa,50,20,4,16,24.074074,widespread,23.076923,widespread,Not endemic
Aquifoliaceae,Ilex diospyroides,3,0,0,4,80,widespread,57.142857,widespread,Not in the AF
Aquifoliaceae,Ilex dumosa,24,36,22,409,90.213523,near_endemic,90.909091,near_endemic,Not endemic
Aquifoliaceae,Ilex floribunda,1,1,2,26,96,near_endemic,94.736842,near_endemic,Endemic
Aquifoliaceae,Ilex integerrima,0,1,1,161,99.632353,near_endemic,99.691358,near_endemic,Endemic
Aquifoliaceae,Ilex longipetiolata,0,0,0,5,100,pure_endemic,100,pure_endemic,Endemic
Aquifoliaceae,Ilex loranthoides,0,0,0,17,100,pure_endemic,100,pure_endemic,Not endemic
Aquifoliaceae,Ilex lundii,26,5,5,1,10.9375,widespread,10.9375,widespread,Not in the AF
Aquifoliaceae,Ilex microdonta,2,0,0,123,96.551724,near_endemic,98.4,near_endemic,Endemic
Aquifoliaceae,Ilex organensis,1,0,0,1,100,pure_endemic,50,widespread,Endemic
Aquifoliaceae,Ilex paraguariensis,23,24,9,287,88.191882,widespread,89.280245,widespread,Not endemic
Aquifoliaceae,Ilex psammophila,2,2,2,51,93.258427,near_endemic,94.545455,near_endemic,Endemic
Aquifoliaceae,Ilex pseudobuxus,7,2,7,74,91.111111,near_endemic,90.643275,near_endemic,Not endemic
Aquifoliaceae,Ilex pseudovaccinium,2,0,5,2,81.818182,widespread,69.230769,widespread,Not in the AF
Aquifoliaceae,Ilex schwackeana,1,0,0,3,100,pure_endemic,75,widespread,Endemic
Aquifoliaceae,Ilex taubertiana,0,3,0,54,98.181818,near_endemic,97.297297,near_endemic,Endemic
Aquifoliaceae,Ilex theezans,12,12,15,365,94.736842,near_endemic,95.390525,near_endemic,Not endemic
Aquifoliaceae,Ilex trichothyrsa,4,1,1,3,43.75,widespread,43.75,widespread,Not in the AF
Aquifoliaceae,Ilex velutina,2,24,22,3,50,widespread,50,widespread,Not in the AF
Araceae,Philodendron brasiliense,10,1,0,11,51.428571,widespread,51.162791,widespread,Not endemic
Araliaceae,Aralia warmingiana,19,4,3,11,35,widespread,37.313433,widespread,Not endemic
Araliaceae,Dendropanax amorimii,0,0,1,17,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Dendropanax australis,0,0,0,111,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Dendropanax bahiensis,0,0,1,14,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Dendropanax brasiliensis,2,0,1,21,91.489362,near_endemic,91.489362,near_endemic,Endemic
Araliaceae,Dendropanax caudatus,0,0,0,6,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Dendropanax cuneatus,164,66,45,236,52.848101,widespread,56.750823,widespread,Not endemic
Araliaceae,Dendropanax denticulatus,0,0,0,4,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Dendropanax geniculatus,0,0,0,7,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Dendropanax heterophyllus,0,0,0,5,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Dendropanax langsdorfii,0,0,0,29,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Dendropanax monogynus,0,0,0,86,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Dendropanax nebulosus,0,0,0,15,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Dendropanax trilobus,0,0,0,17,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Oreopanax capitatus,340,0,1,122,43.814433,widespread,26.486486,widespread,Not endemic
Araliaceae,Oreopanax fulvus,3,0,0,44,75,widespread,93.617021,near_endemic,Endemic
Araliaceae,Schefflera angustissima,0,0,0,213,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Schefflera aurata,0,0,0,5,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Schefflera calva,62,19,6,164,68.778281,widespread,70.020964,widespread,Not endemic
Araliaceae,Schefflera capixaba,0,0,0,5,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Schefflera grandigemma,0,0,0,9,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Schefflera kollmannii,0,0,0,15,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Schefflera longipetiolata,0,0,0,35,100,pure_endemic,100,pure_endemic,Endemic
Araliaceae,Schefflera macrocarpa,271,50,30,65,21.732283,widespread,21.276596,widespread,Not endemic
