family,species,records outside the AF,records out.in transition,records in.out transition,records inside the AF,endemism level (validated taxonomy only),group of species (validated taxonomy only),endemism level (validated and probably validated taxonomy),group of species (validated and probably validated taxonomy),endemism accepted by the BF-2020
Myrtaceae,Myrceugenia brevipedicellata,0,0,0,9,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrceugenia campestris,1,0,0,160,99.350649,near_endemic,99.378882,near_endemic,Endemic
Myrtaceae,Myrceugenia cucullata,0,0,0,62,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrceugenia decussata,0,0,0,1,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrceugenia euosma,4,2,2,232,97.487437,near_endemic,97.89916,near_endemic,Endemic
Myrtaceae,Myrceugenia foveolata,0,0,1,20,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrceugenia franciscensis,4,1,0,6,63.157895,widespread,57.142857,widespread,Endemic
Myrtaceae,Myrceugenia gertii,0,0,0,15,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrceugenia glaucescens,16,0,1,142,89.644013,near_endemic,89.905363,widespread,Endemic
Myrtaceae,Myrceugenia hamoniana,0,0,0,5,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrceugenia hatschbachii,0,1,0,7,92.307692,near_endemic,93.333333,near_endemic,Endemic
Myrtaceae,Myrceugenia hoehnei,0,0,0,15,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrceugenia kleinii,0,0,0,16,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrceugenia mesomischa,0,0,0,16,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrceugenia miersiana,1,1,2,288,99.408284,near_endemic,99.483649,near_endemic,Endemic
Myrtaceae,Myrceugenia myrcioides,2,1,1,544,99.495968,near_endemic,99.542962,near_endemic,Endemic
Myrtaceae,Myrceugenia myrtoides,25,6,5,5,20,widespread,21.126761,widespread,Not endemic
Myrtaceae,Myrceugenia ovalifolia,0,0,0,47,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrceugenia ovata,4,3,1,164,96.496815,near_endemic,96.764706,near_endemic,NA
Myrtaceae,Myrceugenia oxysepala,0,0,0,59,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrceugenia pilotantha,0,2,0,76,98.684211,near_endemic,98.701299,near_endemic,Not endemic
Myrtaceae,Myrceugenia regnelliana,1,2,0,93,97.333333,near_endemic,97.894737,near_endemic,Endemic
Myrtaceae,Myrceugenia reitzii,0,0,0,54,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrceugenia rufescens,5,0,0,54,90.196078,near_endemic,91.525424,near_endemic,Endemic
Myrtaceae,Myrceugenia scutellata,0,0,0,24,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrceugenia seriatoramosa,0,0,0,35,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrceugenia venosa,0,0,0,27,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia aethusa,6,2,0,183,96.132597,near_endemic,96.315789,near_endemic,Endemic
Myrtaceae,Myrcia albotomentosa,47,8,0,2,4.444444,occasional,3.773585,occasional,Not in the AF
Myrtaceae,Myrcia amazonica,320,54,54,299,50.874404,widespread,48.439822,widespread,Not endemic
Myrtaceae,Myrcia amplexicaulis,0,0,0,31,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia anacardiifolia,2,0,0,149,98.412698,near_endemic,98.675497,near_endemic,Endemic
Myrtaceae,Myrcia anceps,1,2,0,55,96.363636,near_endemic,96.491228,near_endemic,Endemic
Myrtaceae,Myrcia anomala,21,9,2,27,50.485437,widespread,52.336449,widespread,Not endemic
Myrtaceae,Myrcia antonia,0,0,1,23,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia aurea,0,0,0,22,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia basicordata,0,0,0,10,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Myrcia bella,339,7,11,27,9.587021,occasional,8.666667,occasional,Not in the AF
Myrtaceae,Myrcia bergiana,0,5,1,194,98.915989,near_endemic,98.730964,near_endemic,Not endemic
Myrtaceae,Myrcia bicarinata,5,0,1,17,77.777778,widespread,77.777778,widespread,Not endemic
Myrtaceae,Myrcia bicolor,0,1,0,61,99.173554,near_endemic,99.186992,near_endemic,Endemic
Myrtaceae,Myrcia blanchetiana,5,52,42,34,63.953488,widespread,63.953488,widespread,Not endemic
Myrtaceae,Myrcia bracteata,262,0,0,3,1.244813,occasional,1.132075,occasional,Not in the AF
Myrtaceae,Myrcia brasiliensis,0,1,4,318,100,pure_endemic,99.843994,near_endemic,Endemic
Myrtaceae,Myrcia brunea,0,1,0,4,88.888889,near_endemic,88.888889,widespread,Endemic
