family,scientific.name,life.form,status,taxa of low taxonomic complexity (TBC),commonly cultivated/ornamental,number of records,vouchers
Fabaceae,Bauhinia acuruana Moric.,shrub,new to AF,NA,NA,302,"Baker, R., 5811 (K 56811); Blanchet J.S., 2825 (BR 6411367); Blanchet, J.S., 2825 (BM 798995); Blanchet, J.S., 2825 (G 388820, G 388821, G 388822, HUEFS 75911, HUEFS 75922, HUEFS 75923, K 56804, K 56805, K 56806); Blanchet, J.S., 2825 (NY 3441); Blanchet, J.S., 2825 (SP 8478); Blanchet, J.S., s.n. (G 278375/1); Blanchet, J.S., s.n. (G 278375/2); Blanchet, J.S., s.n. (G 278375/3); Bonadeu, F., 375 (MG 201633); Dantas, T.V.P., 36 (ASE 11675); Fonseca, M.L., 4213 (RB 390060); Fonseca, M.L., 6126 (HUEFS 170246, IBGE 70001); Gardner, 4536 (K 264703); Gardner, G., 2152 (K 56807, K 56808, K 56809, K 56810); Gardner, G., 4536 (K 807137); Lima, J.E.G., 33 (HUTO 1151); Lins-e-Silva, A.C.B., 248 (K 807133); Lyra-Lemos, R.P., 5639 (ALCB 83437, HUEFS 134223, MAC 14378); Mendonca, R.C., 5257 (IBGE 56125, RB 435552); Miranda, A.M., 5964 (FUEL 46288, HST 16560, HUEFS 149982, TEPB 27605, UFRN 9612); Miranda, C.A., 105 (HRB 2609); Miranda, C.A., 40 (HRB 2704); Miranda, C.A., 52 (HRB 23778); Silva, R.A, 2753 (HUEFS 198062, HVASF 20256); Souza-Alves, J.P., 421 (JPB 52514); Souza, V.C., 18435 (CGMS 28832, ESA 48737, SORO 6770, UEC 113434); Souza, V.C., 18492 (CGMS 28833, ESA 48736, UEC 113433); Ule, L., 7380 (K 56814); Zardini, E.M., 48047 (MO 1265191)"
Fabaceae,Bauhinia affinis Vogel,tree,confirmed,NA,NA,45,"Barbosa, E., 1131 (MBM 319553, RB 434784, RB 495793); Hatschbach, G., 61505 (CEPEC 83763, MBM 172636, MBML 12984, RB 327311); Kuhlmann, J.G., 34 (RB 181211); Pereira, E., 7758 (MBM 31296, NY 583661, RB 121550); Vervloet, R.R., 2386 (MBML 20658)"
Fabaceae,Bauhinia albicans Vogel,shrub,confirmed,NA,NA,11,"Barros, A.A.M., 1721 (RB 496197); Carauta, J.P.P., 7507 (RB 414883); Farag, P.RC., 297 (RB 136018, RB 325237); Frazao, A., 22 (RB 7504); Lima, H.C., 4685 (RB 433303, SPF 200067); Lima, H.C., 5324 (RB 432773, SPF 200065); Lima, H.C., 6232 (K 1051592, NY 1842930, R 214944, RB 406715); Machado, D.N.S., 170 (RB 579891); Machado, D.N.S., 865 (RB 683363); Ribeiro, R.D., 1122 (NY 1019445, RB 481033); Tamashiro, J.Y., 1248 (RB 328251)"
Fabaceae,Bauhinia bauhinioides (Mart.) J.F.Macbr.,shrub,new to AF,NA,NA,95,"Andreata, R.H.P., 196 (RB 137672); Arbocz, G.F., 938 (UEC 79373); Martius, C.F.P., s.n. (MSB 174069/ 637889 / 294464); Martius, C.F.P., s.n. (MSB 174070/ 637890 / 294465); Sellow, F., 950 (B 1596); Sellow, F., 950 (F 57373); Sellow, F., s.n. (P 798631); Sellow, F., s.n. (P 798632); Sellow, s.n. (K 264664)"
Fabaceae,Bauhinia brevipes Vogel,shrub,new to AF,NA,NA,313,"Lutz, A., 429 (R 121192); Sellow, F., 1899 (B 1568)"
Fabaceae,Bauhinia catingae Harms,shrub,new to AF,NA,NA,116,"Andrade-Lima, 6785 (IPA 28886); Boom, B.M., 14434 (K 56999); Cordeiro, L.M., 45 (HUEFS 52723, UFP 30447); Fonseca, M.L., 2391 (CEN 41207, IBGE 49069, RB 562666); Harley, R., 6024 (K 807647); Lima, A., 582913 (K 56995, K 56996); Lombardi, J.A., 1443 (SP 316319, SPF 130304); Macedo, G.E.L., 1879 (PEUFR 48929, RB 345437); Miranda, A.M., 1233 (HST 6606, HUEFS 38014); Pinheiro, R.S., 1350 (K 56992); Ule, E., 7277 (G 74101, HBG 520326, HUEFS 76038, K 57001); Ule, E.H.G., 7277 (B 1571); Ule, E.H.G., s.n. (G 108511/1)"
Fabaceae,Bauhinia cheilantha (Bong.) Steud.,tree,new to AF,NA,NA,365,"Amaral, I.L., 1145 (INPA 112536, MO 3231140, NY 1161177); Bonifacio Mostacedo C., 2654 (MO 979588); Bonifacio Mostacedo C., 2701 (MO 1340231); Cordula, E., 104 (ASE 17408, HUEFS 164221, UFP 50097); Cordula, E., 252 (NY 1019310, UFP 47413); Ducke, A., 2337 (EAC 967, MG 024481); Ducke, A., s.n. (MG 24481); Ducke, A., s.n. (P 798587); Figueiredo, M.A., 30 (EAC 18123); Figueiredo, M.A., 64 (MOSS 2912, TEPB 6388); Irwin, H.S., 24290 (MO 3228748); Irwin, H.S., 6411 (MBM 72651, NY 935516, US 3006696); Laurenio, A., 1210 (PEUFR 28654, UFRN 1709); Lima, H.C., 3878 (CEPEC 48321, K 56910, K 56911); Lins-E-Silva, A., 823 (K 807290); Lyra-Lemos, R.P., 5687 (HUEFS 127980, HUEFS 130443, MAC 14426); Mendes, M.R.A., 338 (RB 136298, TEPB 11517); Mendonca, R.C., 3800 (IBGE 46021); Moraes, M.A., 16175 (K 807287); Occhioni, P., 7405 (RFA 16391); Pott, A., 9391 (CGMS 53748); Sant´ Ana, Anonymous, 7527 (K 807289); Santos, C.S., 165 (ASE 11810); Silva, M.L., 6 (MOSS 8824, UFRN 22215); Silva, R.R., 920 (UEC 140994, UEC 140997); Siqueira Filho, J.A., 1604 (HVASF 119, RB 419440)"
Fabaceae,Bauhinia corniculata Benth.,shrub?,new to AF,NA,NA,32,"Conceicao, T.S., 10 (COR 4786, MBM 265009); Ducke, A., 1506 (MG 017985, R 55058, US 1907244); Ducke, A., 15727 (RB 136277); F. Ayala, J. Torres, 3034 (MO 73113, USF 196751); Marquete, R., 4306 (RB 767148); Neves, D.M., 1616 (RB 842942); Pott, V.J., 4666 (CGMS 50050); Ramos, J.F., 23304 (K 807256); Solomon, J.C., 7868 (MO 89561); Solomon, J.C., 7868 (NY 573389); Spichiger, R., 1130 (MBM 80736, MO 3229179); Spruce, R. (no. ), s.n. (MSB 217257/ 638203 / 294798); Spruce, R., 497 (NY 3454); Spruce, R., s.n. (B 1573); Spruce, R., s.n. (BM 799040); Spruce, R., s.n. (G 277922/1); Spruce, R., s.n. (G 388751); Spruce, R., s.n. (P 798579); Spruce, R., s.n. (P 798580); Ule, E., 5066 (K 807255); Vieira, C.M., 1469 (RB 591654)"
Fabaceae,Bauhinia cupulata Benth.,tree,new to AF,NA,NA,178,"Brooks, R.R., s.n. (NY 749035); Burchell, 8971 (K 807167); Fernandes, A., s.n. (EAC 10603); Fernandes, A., s.n. (EAC 10734); Fernandes, A., s.n. (EAC 28349); Fernandes, A., s.n. (EAC 9041); Fernandes, A., s.n. (MAC 13535); Fernandes, A., s.n. (MBM 255177); Gardner, G., 2529 (B 1577); Gardner, G., 2529 (E 414211); Gardner, G., 2529 (G 388748, G 388749, G 388750, HUEFS 75892, HUEFS 75895, HUEFS 75897); Gardner, G., 2529 (IPA 39744); Gardner, G., 2529 (IPA 39745); Gardner, G., 2529 (K 56834); Gardner, G., 2529 (K 56835); Gardner, G., 2529 (K 56836); Gardner, G., 2529 (NY 3461); Gardner, G., 3529 (BM 535632); Gardner, G., s.n. (G 277920/1); Gardner, G., s.n. (G 277920/2); Gardner, G., s.n. (G 277920/3); Gardner, G., s.n. (P 798582); Goncalves, V.F., s.n. (ESA 124503); Honda, S., s.n. (SPF 61360); Irwin, H.S., s.n. (NY 935080); Pohl, J.B.E., s.n. (W 0030145); Rossi, L., s.n. (SPF 61085); Anonymous, 1576 (K 807158); Santos, E., s.n. (UEC 101369); Unclear, s.n. (W 0030146)"
Fabaceae,Bauhinia forficata Link,tree,confirmed,NA,cultivated,924,"Blanchet J.S., 3293 (BR 6411022); Blanchet, J.S., 329 (B 1570); Blanchet, J.S., 3293 (BM 799015); Blanchet, J.S., 3293 (F 363033); Blanchet, J.S., 3293 (G 74102, G 74103, G 74104); Blanchet, J.S., 3293 (SP 8473); Blanchet, J.S., s.n. (G 108512/1); Blanchet, J.S., s.n. (G 108512/2); Blanchet, J.S., s.n. (G 108512/3); Borges, E., s.n. (DVPR 451); Fernandes, A., s.n. (EAC 20457); Fernandes, A., s.n. (EAC 2335); Fernandes, A., s.n. (EAC 2818); Figueiredo, M.A., s.n. (EAC 15781); Figueiredo, M.A., s.n. (EAC 19816); Francisco-Uel, E.M., s.n. (CEN 69632); Furtado, L.A., s.n. (CGMS 22479); Gadner, G., 1937 (HUEFS 75851, HUEFS 75852); Gardner, G., 1937 (IPA 39740); Hassler, E., 8918 (BM 545080); Nunes, E., s.n. (EAC 17856); Pavao, O.C., s.n. (CGMS 41220); Pearson, H.P.N., 1937 (K 56915); Pearson, H.P.N., 1937 (K 56916); Reitz, s.n. (CRI 2716); Ribas, O.S., s.n. (BHCB 44673); Sellow, F., 2460 (B 1607); Anonymous, s.n. (EFC 5439); Wied M., s.n. (BR 6411381); Wied M., s.n. (BR 6411398)"
Fabaceae,Bauhinia fusconervis (Bong.) Steud.,tree,confirmed,NA,NA,34,"Claussen, P., 17 (K 807145); Glaziou, A., 2979 (K 807148); J.G.K., 81 (RB 136937); Marquete, R., 3549 (K 807155, NY 1096406); Mello Barreto, H.L., 1609 (MBM 69228, R 32681, RB 136943, UFG 11064); Peixoto, A.L., 872 (K 807156, RB 137544); Robert, A., 823 (K 807146); Tozzi, A.M.G.A., 98134 (SPF 225858)"
Fabaceae,Bauhinia glaziovii Taub.,shrub,confirmed,NA,NA,15,"Glaziou A., 12625 (BR 13506315); Glaziou, A., 1262 (RB 539387); Glaziou, A., s.n. (P 798645); Glaziou, A., s.n. (P 798646); Glaziou, A., s.n. (P 798647); Glaziou, A., s.n. (UM 23934); Glaziou, A.F.M., 12625 (B 1581); Glaziou, A.F.M., 12625 (G 388735); Glaziou, A.F.M., 12625 (K 264716); Glaziou, A.F.M., 12625 (MO 3228538); Glaziou, A.F.M., 13738 (BR 13506322); Glaziou, A.F.M., s.n. (G 277876/1); Glaziou, A.F.M., s.n. (G 277878/2); Glaziou, A.F.M., s.n. (NY 3468); Grosser, W.H.C., 3617 (MO 3228791)"
Fabaceae,Bauhinia holophylla (Bong.) Steud.,tree,new to AF,NA,NA,223,"Barreto, M., 10408 (R 33735, UB 126757); Becker Filho, R.M., 23 (HRB 11031); Cesar, R., 573 (RB 137183, UFG 19213); Ferreira, H.D., 2433 (UB 30897, UFG 13749); Freitas, J.G., 563 (HUEFS 160262); Gizawa, Y.Y., 8072 (UEC 6222, US 2883602); Hatschbach, G., 5348 (MBM 31285, US 2279977); Hatschbach, G.G., 34155 (MBM 29263, MO 3230805); Irwin, H.S., 10579 (MBM 72556); Irwin, H.S., 16733 (MO 3230358, UB 20372, US 2988016); Irwin, H.S., 26400 (MBM 72675, NY 958099); Irwin, H.S., 7816 (MO 3229690); Marquete, R., 4244 (IBGE 70448, RB 547427, RFA 34779); Melo, E., 8259 (HUEFS 163787); Sciamarelli, A., 1289 (CGMS 25064, UEC 127697); Simonis, J.E., 75 (SPF 41986); Vaz, A.M.S.F., 381 (HRB 23416)"
Fabaceae,Bauhinia integerrima Mart. ex Benth.,shrub,confirmed,NA,NA,32,"A.M.Carvalho, W.W.Thomas, T.S.Santos, S.C.Sant'Ana, 4407 (NY 595103, US 3596841); Blanchet, J.S.(Moricand, M.E.), 2387 (HUEFS 76056, K 56895); Blanchet, J.S., 2387 (BM 799022); Blanchet, J.S., s.n. (G 278373/1); Blanchet, J.S., s.n. (G 278373/2); Blanchet, s.n. (P 798618); Blanchet, s.n. (P 798619); Carvalho, A.M., 3212 (K 56902, MBM 206916, RB 138382, UESC 1182); Folli, D.A., 3498 (CVRD 6337, ESA 82736); Martius, C.F.P(no. Obs. ), s.n. (MSB 217237/ 638183 / 294778); Martius, C.F.P(no. Obs. ), s.n. (MSB 217524/ 638467 / 295074); Martius, C.F.P., 2182 (K 56898, K 56899); Pennington, R.T., 195 (K 56897); Raimundo, S.P., 1180 (K 56901)"
Fabaceae,Bauhinia longicuspis Benth.,tree,new to AF,NA,NA,261,"Belem, R.P., 2358 (NY 583616, NY 595054); Jardim, J.G., 2741 (HUEFS 73110); Martius, C.F.P., s.n. (MSB 120824/ 637764 / 294329); Monteiro da Costa, R.C., 238 (G 388869, RB 539416); Monteiro da Costa, R.C., s.n. (G 278514/1); Spruce, R. (no. ), s.n. (MSB 217231/ 638177 / 294772); Spruce, R., 1978 (BM 799006); Spruce, R., s.n. (P 798627)"
Fabaceae,Bauhinia longifolia (Bong.) Steud.,tree,confirmed,NA,NA,643,"Amorim, A.M., 7355 (MBML 34482); Bovini, M.G., 1458 (RB 679489, VIC 22463); Carvalho, A.M.V., 530 (UEC 70224, US 1593293); Chaves, E.M.F., 329 (HUEFS 76833, TEPB 18794); Dawson, E.Y., 14387 (NY 3488, R 102700, US 2249333); Delprete, P.G., 9891 (RB 568401, UFG 41290); Gomes, M., 101 (RB 679204, RB 679488); Hatschbach, G., 44529 (MBM 73860, RB 137794); Hatschbach, G., 74934 (MBM 279897, RB 137512); Heringer, E.P., 14619 (RB 141597, RFA 17735, US 2775395); Irwin, H.S., 17113 (UB 20396); Irwin, H.S., 17390 (UB 20397); Juchum, F., 64 (RB 137231, RB 138820); Melo, P.H.A., 6214 (HUEFS 244214); Melo, P.H.A., 6266 (HUEFS 244202); Miranda, A.M., 5002 (HST 12818, HUEFS 97072, HUTO 4992); Monteiro, J.R.B., 21 (UEC 33966, UEC 50023); Ramalho, R.S., 3371 (RB 138579); Rene Guillen V., 1332 (MO 941535); Ribeiro, M., 197 (RB 745465, SAMES 2251); Riedel, 875 (BM 799014); Riedel, L., s.n. (G 278511/1); Riedel, L., s.n. (G 388867); Rossi, L., 503 (RB 161699); Anonymous, s.n. (BA 66020); Silva, M.G., 6461 (RB 137697); Vauthier, M., s.n. (P 798628)"
Fabaceae,Bauhinia membranacea Benth.,tree,new to AF,NA,NA,28,"Aparecida Da Silva, M., 4322 (IBGE 47853, RB 137617); Coradin, L., 5854 (RB 137646); Ducke, W.A., 107 (R 76821, SP 57960); Eiten, G., 5521 (SP 82256, US 2729355); Fagg, C.W., 1253 (IBGE 56224, RB 161723); Fagg, C.W., 1260 (IBGE 56226, RB 161737, UB 30909); Fonseca, M.L., 2270 (IBGE 48061); Fonseca, M.L., 2412 (IBGE 51321, RB 137667); Fotius, G., 3763 (HTSA 375, HUEFS 164034); Gardner, 3695 (K 264381, K 264382); Gottsberg, G., 11-28167 (RB 137564); Harley, R.M., 17911 (IPA 24865, NY 583703, US 2859307); Harley, R.M., 21609 (CEPEC 27890); Harley, R.M., 21707 (CEPEC 27952); Harley, R.M., 21707 (NY 583702); Hatschbach, G., 70845 (MBM 247374, RB 137628); Irwin, H.S., 21696 (MBM 72642, NY 958672); Lima, L.C.L., 7 (HUEFS 46740); Lombardi, J.A., 1816 (RB 137548); Mendonca, R.C., 4204 (IBGE 51625, RB 137656); Miranda, E.B., 716 (HUEFS 94434); Pereira-Silva, G., 4899 (CEN 42093, HUEFS 100140); Queiroz, L.P, 12717 (HUEFS 118214); Rizzo, J.A., 7462 (UFG 10613); Rizzo, J.A., 7752 (UFG 7656); Souza, A., FAB64 (HUEFS 45799); Souza, V.C., 14330 (ESA 42395); Vaz, A.M.S.F., 1133 (IBGE 78703)"
Fabaceae,Bauhinia mollis (Bong.) D.Dietr.,tree,new to AF,NA,NA,159,"Fernandes, A., s.n. (EAC 5247); Fiebrig, K.A.G., 5043 (BM 545089); Hassler, E., 5426 (BM 545088); Hassler, E., 5806 (NY 3483); Hassler, E., 5941 (BM 952228); Hassler, E., 5941 (K 264657); Hassler, E., 5941 (NY 3485); Hassler, E., 7908 (NY 3484); Hassler, E., 9867 (BM 545074); Hassler, E., 9867 (K 264720); Hassler, E., 9867 (NY 3446); Hassler, E., s.n. (G 296639/7); Hassler, E., s.n. (G 296639/8); Hassler, E., s.n. (G 296651/1); Hassler, E., s.n. (G 296651/2); Hassler, E., s.n. (G 296651/3); Hassler, E., s.n. (G 51909/1); Hassler, E., s.n. (G 51909/2); Hassler, E., s.n. (G 51909/3); Hassler, E., s.n. (P 798616); Hassler, E., s.n. (P 798617); Hassler, E., s.n. (UM 23928); Hassler, E., s.n. (UM 23929); Hieronymus, G., s.n. (GOET 9559/ 760536 / 403937); Lorentz, P.G. (no. ), s.n. (GOET 9558/ 760537 / 403938); Lorentz, P.G., 30 (B 1599); Moore, S., 1039 (BM 799042); Moore, S.L.M., 1039 (NY 3455); Rojas, T., s.n. (P 798586); Rojas, T., s.n. (UM 26996)"
Fabaceae,Bauhinia ovata (Bong.) Vogel,tree,confirmed,NA,NA,51,"Belem, R.P., 3289 (NY 583649, UB 126808); Fernandes, H.Q.B., 2062 (MBML 630); Lima, H.C., 8290 (HUENF 9939, RB 1153310); Marcondes-Ferreira, W., 1289 (FUEL 23402, RB 452266, SPSF 21082, UEC 86248); P.H.Labiak E., 4701 (MBML 33867, NY 1801113, RB 521761); Ribeiro, R.D., 6880 (K 807254); Sampaio, A.J., 997 (R 66192); Sant´ana, Anonymous, 791 (RB 709130)"
Fabaceae,Bauhinia pentandra (Bong.) D.Dietr.,tree,new to AF,NA,NA,335,"Gardner, G., 1565 (BM 798982); Gardner, G., 1565 (HUEFS 75884, HUEFS 75891, K 56879, K 56880); Gardner, G., 1565 (IPA 39754); Gardner, G., 2156 (B 1586); Gardner, G., 2156 (G 74099); Gardner, G., 2156 (HUEFS 75840, HUEFS 75846, HUEFS 75848, HUEFS 75850, HUEFS 75857, K 56878, K 56881, K 56882, K 56883, K 56884); Gardner, G., 2156 (IPA 39755); Gardner, G., s.n. (G 108509/1); Grecco, M.D.N., 104 (SP 308926, UEC 84840); Martius, C.F.P(no. Obs. ), s.n. (MSB 174076/ 637896 / 294472); Martius, C.F.P(no. Obs. ), s.n. (MSB 174077/ 637897 / 294474); Vaz, A., 1033 (RB 138166)"
Fabaceae,Bauhinia pinheiroi Wunderlin,shrub,confirmed,NA,NA,6,"Carvalho, A.M.V., 2036 (CEPEC 33680, K 57039, NY 590226, US 3017751); Demuner, V., 1933 (HUEFS 198339, MBML 26432); Martinelli, G., 14822 (RB 138138); Mattos-Silva, L.A., 529 (CEPEC 16726, HUEFS 2954, K 57040, MBM 91641, RB 539409); Pinheiro, R.S., 2081 (CEPEC 9178, HUEFS 76037, K 57037, K 57038); Thomas, W.W., 8662 (CEPEC 53902, NY 590225)"
Fabaceae,Bauhinia pulchella Benth.,tree,new to AF,NA,NA,442,"Blanchet, 2897 (IPA 39760); Blanchet, J.S., 2897 (BM 535628); Blanchet, J.S., 2897 (G 388853, G 388854); Blanchet, J.S., s.n. (G 278430/1); Blanchet, J.S., s.n. (G 278430/2); Castro, A.J., s.n. (EAC 6424); Claussen, P., s.n. (G 278429/1); Claussen, P., s.n. (G 278429/2); Claussen, P., s.n. (G 388851); Claussen, P., s.n. (G 388852); Fernandes, A., s.n. (EAC 2444); Fernandes, A., s.n. (EAC 3147); Fernandes, A., s.n. (EAC 3864); Fernandes, A., s.n. (EAC 5592); Fernandes, A., s.n. (EAC 6075); Fernandes, A., s.n. (EAC 6793); G., 2150 (BM 535629); Gardner, G., 2150 (G 388849, G 388850); Gardner, G., 2150 (IPA 39759); Gardner, G., s.n. (G 278427/1); Gardner, G., s.n. (G 278427/2); Gardner, G., s.n. (P 798601); Gardner, G., s.n. (P 798602); Gardner, G., s.n. (P 798603); Lewis, G.P., s.n. (CEPEC 40626); Martins, P., s.n. (EAC 7518); Martius, C.F.P., s.n. (G 278426/1); Martius, C.F.P., s.n. (G 388848); Nunes, E., s.n. (EAC 5818); Nunes, E., s.n. (EAC 5917)"
Fabaceae,Bauhinia rufa (Bong.) Steud.,tree,new to AF,NA,NA,808,"Belem, R.P., 1551 (NY 595068); Fontella, J., 717 (RB 138162); Hassler, E., 5941 (BM 545087); Hassler, E., 9839 (BM 545095); Pirani, J.R., 2795 (K 807115, MO 3231093, NY 583618); Riedel, L., s.n. (G 108510/1); Riedel, L., s.n. (G 74100); Riedel, s.n. (BM 799057); Sellow, F., s.n. (B 1608); Sellow, F., s.n. (E 48056); Sellow, F., s.n. (E 48057); Sellow, F., s.n. (E 48058); Zardini, E.M., 48044 (MO 1265188)"
Fabaceae,Bauhinia subclavata Benth.,tree,new to AF,NA,NA,109,"Alcoforado Filho, F.G., 339 (IPA 57377, K 56829, TEPB 9433); Alencar, M.E., 1089 (K 56832); Araujo, F.S., 179 (EAC 19305, IPA 53472, PEUFR 13790); Baker, R., 5812 (K 56826); Baker, R., 5854 (K 56825); Cardoso, D., 723 (HUEFS 97889, UFG 47035); Carvalho, J.H., 473 (K 56833); Carvalho, P.D., 155 (HUEFS 98173); Eiten, G., 4603 (SP 85610, US 3676396); Fagg, C.W., 1867 (IBGE 77977, RB 1018774); Filho, F.G.A., 369 (K 56831); Gardner, G., 2154 (B 1623); Gardner, G., 2154 (HUEFS 75809, HUEFS 75810, HUEFS 75811, HUEFS 75821, K 56820, K 56821, K 56822, K 56823); Gardner, G., 2154 (IPA 39764); Gardner, G., 2154 (IPA 39765); Gardner, G., 2154 (IPA 39766); Gardner, G., 2154 (NY 3497); Gardner, G., s.n. (P 756093); Gardner, G., s.n. (P 756094); Jardim, J.G., 6086 (NY 02694353); Lyra-Lemos, R.P., 5061 (HUEFS 130444, MAC 13284); Maciel, J.R., 1287 (HUEFS 173559, HVASF 4783); Nascimento, M.S.B., 215 (K 56828); Sant´Ana, S., 9598 (K 807144); Silva, R.A., 1692 (UFP 32225); Ule, L., 7162 (K 56824)"
Fabaceae,Bauhinia ungulata L.,tree,confirmed,NA,NA,1298,"Allem, A.C., s.n. (CEN 9785); Anonymous, s.n. (BM 952221); Clifford, G., s.n. (BM 558715); Couto, P.A., s.n. (BHZB 7219); Ducke, A., s.n. (EAC 993); Ducke, A., s.n. (MG 017236); Ducke, A., s.n. (MG 17236); Fabiano, s.n. (CGMS 8670); Fernandes, A., s.n. (EAC 1666); Fernandes, A., s.n. (EAC 1731); Fernandes, A., s.n. (EAC 1732); Fernandes, A., s.n. (EAC 1787); Goeldi, E.A., s.n. (MG 007295); Goeldi, E.A., s.n. (MG 7295); Hassler, E., 5953 (BM 617160); Nascimento, M.C., s.n. (CGMS 409); Oliveira, A., s.n. (CGMS 426); Rodrigues, R.S., s.n. (MG 008272); Rodrigues, R.S., s.n. (MG 008763); Rodrigues, R.S., s.n. (MG 8272); Rodrigues, R.S., s.n. (MG 8763); Schomburgk, R.H., 71 (US 702502); Schomburgk, R.H., s.n. (B 1594); Schomburgk, R.H., s.n. (G 278548/1); Schomburgk, R.H., s.n. (G 278548/2); Schomburgk, R.H., s.n. (P 798611); Schomburgk, R.H., s.n. (P 798612); Schomburgk, R.M., 71 (BM 952217); Anonymous, s.n. (CGMS 4668); Zamboni, A., s.n. (CGMS 6124)"
Fabaceae,Bauhinia uruguayensis Benth.,tree,confirmed,NA,NA,37,"Fortunato, R.H., 751 (MO 2429885); Hatschbach, G., 4436 (MBM 31288, US 2279962); Lindman, C.A.M., A-3617 (US 1124400); Schinini, A., 23801 (MBM 104371); Schwarz, G.J., 4117 (MO 2337663); Smith, L.B., 12617 (FLOR 6687, NY 595091, NY 634079, R 161517, US 2743063); Souza, H.M., - (US 2619103); Souza, H.M., s.n. (IAC 21322); Souza, H.M., s.n. (SP 80242); Souza, H.M., s.n. (SP 80242A); SouzaH.M., s.n. (HAS 87508); Toledo, C.B., 442 (RB 328275, SP 267882); Tozzi, A.M.G.A., 200385 (UEC 131237); Tweedie, s.n. (K 264823)"
Fabaceae,Blanchetiodendron blanchetii (Benth.) Barneby & J.W.Grimes,tree,confirmed,NA,NA,56,"Arouck Ferreira, J.D.C., 64 (HRB 5318, K 91516, NY 777560); Baker, R., 6054 (K 91518); Blanchet J.S., 2776 (BR 5118397); Blanchet, J., 2776 (US 1265989); Blanchet, J.S., 2776 (B 1182); Blanchet, J.S., 2776 (F 58708); Blanchet, J.S., 2776 (G 388877, G 388878, G 388879, HUEFS 76096, HUEFS 76097); Blanchet, J.S., 2776 (MO 2888776); Blanchet, J.S., 2776 (NY 2030); Blanchet, J.S., 3779 (SP 8537); Duarte, A.P., 8566 (NY 917687, SPF 185637); Irwin, H.S., 31218 (K 91511, MBM 84817, MO 2888854, NY 777328, US 3010370); Queiroz, L.P, 7670 (HUEFS 70725, HURB 3355); Santos, T.S., 12247 (K 91512)"
Fabaceae,Bowdichia virgilioides Kunth,tree,confirmed,NA,NA,833,"Bonpland, A.J.A., s.n. (P 679276); Castro, A.J., s.n. (EAC 6233); Costa, A.L., s.n. (ALCB 19615); Ducke, A., s.n. (EAC 850); Fahel, J., s.n. (ALCB 01608); Fernandes, A., s.n. (EAC 3485); Fernandes, A., s.n. (EAC 3700); Fernandes, A., s.n. (EAC 3936); Fernandes, A., s.n. (EAC 4032); Fernandes, A., s.n. (EAC 5012); Fernandes, A., s.n. (EAC 5019); Kuhlmann, J.G., 2028 (RB 1186); Kuhlmann, J.G., CLTE2028 (SP 7562); Lacias, R., s.n. (CGMS 4664); Leocadia, s.n. (CGMS 544); Lhotsky, J., 64 (MO 1486543); Martius, C., s.n. (MO 100414124); Martius, C.F.P(no. Obs. ), s.n. (MSB 218823/ 644297 / 302479); Martius, C.F.P., s.n. (MSB 218822/ 644296 / 302478); Martius, C.F.P., s.n. (MSB 218824/ 644298 / 302480); Martius, C.F.P., s.n. (MSB 218825/ 644299 / 302481); Martius, C.F.P., s.n. (MSB 218826/ 644300 / 302482); Martius, K.F.P, s.n. (HUEFS 99818); Nunes, E., s.n. (EAC 6278); Oliveira, A., s.n. (CGMS 3750); Pimenta, I.A., s.n. (BHZB 1956); Pinto, G.C.P., s.n. (ALCB 01598); Pohl, J.B.E., 1662 (F 58964); Pohl, J.B.E., s.n. (NY 6241); Santana, W., s.n. (ALCB 01601)"
Fabaceae,Brodriguesia santosii R.S.Cowan,tree,confirmed,NA,NA,47,"Mori, S.A., 11458 (CEPEC 15791, NY 595122, US 2854344); Santos, T.S, 2168 (CEPEC 8117, HUEFS 75863, K 57164, US 2854346); Santos, T.S., 2658 (CEPEC 9377, US 2858600); Santos, T.S., 453 (CEPEC 16650, K 57173, K 57174); Silva, G.P., 3656 (HUEFS 48274, NY 595123, TEPB 17379, UFG 24953)"
