family,scientific.name,life.form,status,taxa of low taxonomic complexity (TBC),commonly cultivated/ornamental,number of records,vouchers
Achatocarpaceae,Achatocarpus hasslerianus Heimerl,tree,not in the BF.2020,NA,NA,1,"Hassler, E., 8878a (BM 92513)"
Amaranthaceae,Hebanthe eriantha (Poir.) Pedersen,shrub,confirmed,NA,NA,358,"Bilsland, E., s.n. (ESA 7182); Commerson, P., s.n. (P 675409); Hassler, E. (no. ), s.n. (MSB 241558/ 736158 / 382189); Hassler, E., 11280 (K 196257); Hassler, E., s.n. (G 103525/1); Hassler, E., s.n. (G 103525/2); Hassler, E., s.n. (G 103525/3); Hassler, E., s.n. (G 103525/4); Hassler, E., s.n. (G 103526/1); Hassler, E., s.n. (G 103526/2); Hassler, E., s.n. (G 103526/3); Hassler, E., s.n. (G 103526/4); Hassler, E., s.n. (UM 16068); Londres, M., s.n. (ESA 72123); Martius, C.F., s.n. (P 2441680); Martius, C.F.P., s.n. (MSB 241548/ 736148 / 382179); Martius, C.F.P., s.n. (MSB 241568/ 736168 / 382199); Martius, C.F.P., s.n. (MSB 241569/ 736169 / 382200); Martius, C.F.P., s.n. (MSB 241570/ 736170 / 382201); Pinto, G.C.P., s.n. (ALCB 1101); Pinto, G.C.P., s.n. (CEPEC 60591); Regnell A., I452 (BR 6950545); Regnell A., I452 (BR 6950873); Regnell A., I452 (BR 6951191); Regnell, A.F. (no. I ), s.n. (MSB 241567/ 736167 / 382198); Sakuragui, C.M., s.n. (ESA 33719); Santoro, J., s.n. (ESA 43); Scala, A.C. (no. ), s.n. (MSB 241557/ 736157 / 382188); Silveira, E., s.n. (EAC 39586); Spruce, R., s.n. (K 202211)"
Anacardiaceae,Anacardium humile A.St.-Hil.,tree,confirmed,NA,NA,469,"Carter, G.F., 2 (BM 526560); Flores, A.S., 657 (UEC 126366, UEC 126372); Gardner, G., 3089 (NY 50728); Glaziou, A.F.M., 14610 (K 1066771); Regnell, A.F., 394 (US 1381119); Saint-Hilaire, A., s.n. (P 2274469); Saint-Hilaire, A., s.n. (P 2274470); Saint-Hilaire, A., s.n. (P 2274471)"
Anacardiaceae,Anacardium occidentale L.,tree,confirmed,NA,cultivated,1026,"Balick, M.J., s.n. (BOTU 19186); Ducke, A., s.n. (MG 016516); Ducke, A., s.n. (RB 11387); Ducke, A., s.n. (RB 13594); Duraes, N., s.n. (CEN 6121); Goeldi, E.A., s.n. (MG 002577); Goeldi, E.A., s.n. (MG 2577); Guedes, M., s.n. (RB 13595); Heringer, E.P., 14020 (IBGE 7744, NY 1030574); Leal-Rb, C.G., s.n. (CEN 6113); Leal-Rb, C.G., s.n. (CEN 6117); Leal-Rb, C.G., s.n. (CEN 6118); Machado, A., s.n. (CEN 6123); Machado, O., 203 (F 47639); Machado, O., 205 (HUEFS 152434, INPA 230761, K 537405, K 974402, MG 195580, RB 76220, SPF 193448, UFMT 11115); Machado, O., 205 (UFMT 11115); Machado, O.X.B., 205 (CEN 6186); Machado, O.X.B., 207 (CEN 6187); Machado, O.X.B., 207 (CEN 6187, HUEFS 152431, INPA 230766, K 974403, RB 57499, SPF 193208); Machado, O.X.B., 221 (CEN 71902, RB 57500); Machado, O.X.B., s.n. (CEN 6116); Machado, O.X.B., s.n. (CEN 6122); Machado, O.X.B., s.n. (NY 1546536); Machado, O.X.B., s.n. (NY 1546537); Machado, O.X.B., s.n. (NY 1546538); Rizzini, C.T., s.n. (CEN 6135); Rizzini, C.T., s.n. (RB 140118); Rizzini, C.T., s.n. (UFMT 11116); Saint-Hilaire, A., 854 (F 47640)"
Anacardiaceae,Astronium concinnum Schott,tree,confirmed,NA,NA,55,"Costa, I.G., 554 (RB 636903); Costa, M.B., 34 (SAMES 98, VIES 29827); Duarte, A.P., 4191 (RB 90032); Glaziou, A.F.M., 15903 (R 8445); Kuhlmann, J.G., 329 (RB 61070, RB 61071); Viana, G., 150 (IPA 48110)"
Anacardiaceae,Astronium fraxinifolium Schott,tree,confirmed,NA,NA,229,"Blanchet, J.S., 2765 (G 237046); Blanchet, J.S., s.n. (G 189972/1); Triana, J.J., s.n. (BM 884856); Xavier, L.P., 1328 (RB 61537)"
Anacardiaceae,Astronium glaziovii Mattick,tree,confirmed,NA,NA,10,"Andreata, R.H., 359 (RB 231182); Andreata, R.H., 361 (SPF 216452); Andreata, R.H.P., 359 (RB 535313); Khulmann, J.G., s.n. (RB 39435); Kuhlmann, J.G., s.n. (RB 41411); Oliveira, N.E., 322 (CEPEC 150276); Santin, D.A., s.n. (RB 300474); Santin, D.A., s.n. (RB 300475); Silva-Luz, C.L., 303 (NY 2423626); Siqueira, J.C., 2074 (FCAB 3688)"
Anacardiaceae,Astronium graveolens Jacq.,tree,confirmed,NA,NA,279,"Bernacci, L.C., s.n. (UEC 49576); Anonymous, s.n. (FUEL 13121); Dias, M.C., s.n. (FUEL 18035); Dias, M.C., s.n. (FUEL 22604); Dias, M.C., s.n. (FUEL 23253); Dias, M.C., s.n. (MBM 224124); Dias, M.C., s.n. (UEC 103636); Florestal, P.H., s.n. (RB 61075); Francisco, E.M., s.n. (FUEL 41280); Francisco, E.M., s.n. (FURB 5392); Goudot, J., s.n. (UM 21090); Hassler, E., 6224 (BM 87240, MO 1876317); Hassler, E., s.n. (G 35452/1); Hassler, E., s.n. (G 35452/2); Hassler, E., s.n. (G 35452/3); Hassler, E., s.n. (UM 21087); Hassler, E., s.n. (UM 21088); Lorenzi, H., s.n. (SP 262234); Pacheco, C., s.n. (IAC 18050); Purpus, C.A., 8761 (F 47644, F 76225F, MO 2082202, MO 2082547, NY 50735, NY 50736, US 1206799, US 1206800); Ramos, E., s.n. (UEC 143113); Ramos, E., s.n. (UEC 148113); Reko, B.P., 3051 (US 764090); Santin, D.A., s.n. (TEPB 25822); Anonymous, s.n. (RB 729434); Smith, Herbert H., 910 (MT 117401); Triana, J.J., s.n. (US 1480902); Triana, s.n. (UM 21089)"
Anacardiaceae,Astronium nelson-rosae Santin,tree,confirmed,NA,NA,11,"Brina, A.E., 32713 (NY 1030645); Fonseca, M.L., 426 (IBGE 36945, NY 1030638, RB 653651, TEPB 22954, UEC 82244); Heringer, E.P., 5198 (IBGE 6300, MG 083246, MG 083247, UEC 26451, US 3064142); Heringer, E.P., 7316 (IBGE 7751, K 847580, MG 093422, UEC 42109, US 3064140); Heringer, E.P., s.n. (MG 75635); Maguire, B., 56991 (MO 2876829, NY 1030648); Pereira, B.A.S., 1115 (RB 255456, US 3109094); Santos, R.S., 24145 (MBM 19954, NY 1030646, NY 1030647); Silva-Luz, C.L., 301 (NY 2423615, RB 629152, SPF 216454); Silva, M.A., 777 (IBGE 23545, NY 1030643, UEC 51940); Souza, V.C., 365 (CVRD 3930, NY 1030642)"
Anacardiaceae,Cyrtocarpa caatingae J.D.Mitch. & Daly,tree,new to AF,NA,NA,38,"Blanchet, J.S., 3418 (NY 1030685); Cardoso, D., 525 (HUEFS 95612, NY 1144601); Fonseca, M.L., 2940 (IBGE 53452, NY 1030690, SPF 152687); Fonseca, M.L., 2956 (NY 1030691); Hatschbach, G., 65725 (MBM 209561, SPF 130476); Mori, S.A., 11248 (CEPEC 15371); Mori, S.A., 11248 (CEPEC 15371, HUEFS 89582, HUEFS 89666, K 484077, NY 50767, RB 305615); Ule, E., 7256 (K 484076)"
Anacardiaceae,Lithraea brasiliensis Marchand,tree,confirmed,TBC,NA,776,"Barboza, E., 2293 (MBM 355777); Barraca, S.A., 3 (ESA 20699, SP 280014); Bonifacino, M., 2781 (UTEP 72944); Farney, C., 4663 (RB 451016, SPF 200598); Gaudichaud, C., s.n. (P 731630); Gaudichaud, C., s.n. (P 731631); Gaudichaud, C., s.n. (P 731632); Gaudichaud, C., s.n. (P 731633); Gaudichaud, C., s.n. (P 731635); Gaudichaud, C., s.n. (P 731636); Gaudichaud, C., s.n. (P 731637); Hering-Rinnert, C., 705 (JOI 1375); Herter, W.G.F., 95207 (US 1934797); Krieger, P.L., 7165 (HUFU 25290, VIC 25463); Mattos, J., 11883 (SP 119039, SPF 145092, UEC 100368, UEC 30528); Pedersen, T.M., 13613 (MBM 96168, MO 2869566); Pereira Noronha, M.R., 1328 (SP 308973); Pirani, J.R., 649 (SP 185434, SPF 32558, UEC 100369); Rambo, B., 29302 (MO 2869756); Resende, U.M., 1062 (CGMS 5687); Rosengurtt, B., 5744 (MO 2868921); Santos, M.F., 669 (RB 729046, SPF 223784); Sellow, F., 4333 (NY 1030775); Silva-Luz, C.L., 218 (SPF 212408); Simonis, J.E., 18 (SPF 41965); Wasum, R., 4868 (B 100420761, MO 2868730, NY 437888); Wetmore, A., 859 (US 1066008)"
Anacardiaceae,Lithraea molleoides (Vell.) Engl.,tree,confirmed,TBC,NA,1726,"Lorentz, P.G. (no. ), s.n. (GOET 6661/ 757392 / 400800); Anonymous, s.n. (BA 27571)"
