status,original.search,search.str,notes,family,taxon.status
replace,Conchocarpus gaudichaudianus,Dryades gaudichaudiana,replaced synonym,Rutaceae,accepted
replace,Conchocarpus insignis,Dryades insignis,replaced synonym,Rutaceae,accepted
replace,Toulicia laevigata,Toulicia stans,replaced synonym,Sapindaceae,accepted
replace,Micropholis compta,Micropholis gardneriana,replaced synonym,Sapotaceae,accepted
replace,Pouteria albiflora,Pouteria cuspidata,replaced synonym,Sapotaceae,synonym
replace,Pouteria solimoesensis,Pouteria guianensis,replaced synonym,Sapotaceae,synonym
replace,Aureliana wettsteiniana,Athenaea wettesteiniana,replaced synonym,Solanaceae,accepted
replace,Acnistus arborescens,Iochroma arborescens,replaced synonym,Solanaceae,accepted
replace,Metternichia princeps,Metternichia principis,was misspelled,Solanaceae,accepted
replace,Turnera calyptrocarpa,Oxossia calyptrocarpa,replaced synonym,Turneraceae,accepted
replace,Turnera hatschbachii,Oxossia hatschbachii,replaced synonym,Turneraceae,accepted
CHECK,Margaritopsis astrellantha,Margaritopsis astrellantha,check no accepted name,Rubiaceae,synonym
CHECK,Margaritopsis podocephala,Margaritopsis podocephala,check no accepted name,Rubiaceae,synonym
invert,Annona acutiflora,Annona acutifolia,bad misspelling detection,Annonaceae,accepted
invert,Cordia rufescens,Cordia rubescens,bad misspelling detection,Boraginaceae,accepted
invert,Nectandra nitidula,Nectandra nitida,bad misspelling detection,Lauraceae,accepted
invert,Miconia multinervia,Miconia multiplinervia,bad misspelling detection,Melastomataceae,accepted
invert,Miconia ruficalyx,Miconia rupticalyx,bad misspelling detection,Melastomataceae,accepted
replace,Buchenavia tomentosa,Terminalia corrugata,replaced synonym,Combretaceae,
replace,Calyptranthes fasciculata,Myrcia fasciculata,replaced synonym,Myrtaceae,
replace,Eugenia diplocampta,Eugenia moschata,replaced synonym,Myrtaceae,
replace,Ilex cognata,Ilex paraguariensis,replaced synonym,Aquifoliaceae,
replace,Licania egleri,Moquilea egleri,replaced synonym,Chrysobalanaceae,
replace,Licania parvifolia,Leptobalanus parvifolius,replaced synonym,Chrysobalanaceae,
replace,Licania reticulata,Hymenopus reticulatus,replaced synonym,Chrysobalanaceae,
replace,Lonchocarpus praecox,Dahlstedtia araripensis,replaced synonym,Fabaceae,
replace,Myrcia aulomyrcioides,Myrcia florifera,replaced synonym,Myrtaceae,
replace,Psychotria poeppigiana,Palicourea tomentosa,replaced synonym,Rubiaceae,
replace,Quararibea cordata,Matisia cordata,replaced synonym,Malvaceae,
replace,Tibouchina bergiana,Pleroma bergianum,replaced synonym,Melastomataceae,
