"taxon_id","language","name"
"sp144","Portuguese","Fruta-Do-Faraó"
"sp144","Portuguese","Murici-Brava"
"sp144","Portuguese","Perta-Cu"
"sp144","Portuguese","Timbó-Mirim"
"sp148","Portuguese","Alma-Da-Serra"
"sp148","Portuguese","Quina-De-São-Paulo"
"sp148","Portuguese","Tarumã"
"sp150","Portuguese","Canela-De-Veado"
"sp150","Portuguese","Cravo-Do-Mato"
"sp150","Portuguese","Escorrega-Macaco"
"sp150","Portuguese","Goiabeira-Braba"
"sp150","Portuguese","Pau-Mole"
"sp150","Portuguese","Pelada"
"sp150","Portuguese","Rim-De-Veado"
"sp151","Portuguese","Goiabinha"
"sp160","Portuguese","Apuruizinho Do Mato"
"sp160","Portuguese","Canela De Veado"
"sp160","Portuguese","Cedro Bravo"
"sp161","Portuguese","Carvoeiro, Pau-Carvão, Cinzeiro"
"sp161","Portuguese","Marmelada-Brava, Canela-De-Veado"
"sp161","Portuguese","Pimentão, Guapeva-Forte"
"sp163","Portuguese","Coco-Anta"
"sp163","Portuguese","Jitaí-Amarelo"
"sp163","Portuguese","Carrapatinho"
"sp163","Portuguese","Sapupeminha"
"sp164","Portuguese","Cerejeira"
"sp164","Portuguese","Cumaru De Cheiro"
"sp165","Portuguese","Mentira"
"sp167","Portuguese","Caju-Do-Cerrado"
"sp167","Portuguese","Cajuzinho-Do-Cerrado"
"sp167","Portuguese","Caju-Anao"
"sp167","Portuguese","Caju-Do-Campo"
"sp167","Portuguese","Cajuí"
"sp167","Portuguese","Cajuhy"
"sp167","Portuguese","Caju-Mirim"
"sp167","Portuguese","Caju-Rasteiro"
"sp167","Portuguese","Cajuzinho"
"sp167","Portuguese","Cajuzinho-Do-Campo"
"sp168","Portuguese","Acajaiba"
"sp168","Portuguese","Caju"
"sp168","Portuguese","Caju-Anão"
"sp168","Portuguese","Cajueiro"
"sp171","Portuguese","Aratiaeum Brabo"
"sp171","Portuguese","Paixinho"
"sp172","Portuguese","Pindahyba"
"sp185","Portuguese","Perema, Tapacirica, Tapaciriba, Mulher Pobre, Cabelo De Negro"
"sp187","Portuguese","Alecrim-Do-Campo"
"sp187","Portuguese","Catuaba"
"sp187","Portuguese","Catuaba-Verdadeira"
"sp187","Portuguese","Catuabinha"
"sp188","Portuguese","Gramirim-Cafe"
"sp189","Portuguese","Canelao"
"sp189","Portuguese","Louro - Inamuí"
"sp195","Portuguese","Canela De Mono"
"sp196","Portuguese","Colherzinha"
"sp196","Portuguese","Sarandi-De-Tatu"
"sp198","Portuguese","Guiné"
"sp198","Portuguese","Guiné Caboclo"
"sp199","Portuguese","Pinha Do Mato"
"sp202","Portuguese","Araticum"
"sp202","Portuguese","Marolinho"
"sp203","South American Indian (Other)","Acanga"
"sp203","Portuguese","Araticum"
"sp203","Portuguese","Araticum Do Mata"
"sp203","South American Indian (Other)","Tapanahuacanga"
"sp205","Portuguese","Ata Rasteira"
"sp205","Portuguese","Marolo"
"sp206","Portuguese","Araticum"
"sp206","Portuguese","Ata"
"sp206","Portuguese","Araticú"
"sp206","Portuguese","Biribá Do Mato"
"sp206","Portuguese","Pinha Do Mato"
"sp211","Portuguese","Araticum"
"sp211","Portuguese","Ata Brava"
"sp211","Portuguese","Banana De Macaco"
"sp211","Portuguese","Bananinha"
"sp211","Portuguese","Bananinha De Macaco"
"sp211","Portuguese","Bananinha De Quemquem"
"sp211","Portuguese","Fruta De Macaco"
"sp211","Portuguese","Pereiro"
"sp213","South American Indian (Other)","Araxiku'y"
"sp213","Portuguese","Jaca De Pobre"
"sp214","Portuguese","Araticum"
"sp214","Portuguese","Biribá"
"sp214","Portuguese","Condessa"
