"scientificName","UTEndUse.UTEndUseSubfield.UTEndUseName","UTEndUse.UTEndUseSubfield.UTEndUseLookup","UTEndUse.UTEndUseSubfield.international","UTEndUse.UTEndUseSubfield.national","UTEndUse.UTEndUseSubfield.other","UTEndUse.UTEndUseSubfield.subsistence","internal_taxon_id","source.info"
"Astronium urundeuva","Medicine - human & veterinary","3","false","true","","true","sp270","TreeCo_database_v.4.1"
"Ateleia glazioveana","Construction or structural materials","9","false","true","","false","sp271","TreeCo_database_v.4.1"
"Attalea funifera","Fibre","8","true","true","","true","sp289","TreeCo_database_v.4.1"
"Attalea funifera","Other household goods","11","","","","true","sp289","IUCN_Red_List_v.2022-2"
"Attalea funifera","Food - animal","2","","","","true","sp289","IUCN_Red_List_v.2022-2"
"Attalea funifera","Handicrafts, jewellery, etc.","12","","","","true","sp289","IUCN_Red_List_v.2022-2"
"Avicennia germinans","Fuels","7","","","","true","sp299","IUCN_Red_List_v.2022-2"
"Avicennia germinans","Medicine - human & veterinary","3","","","","true","sp299","IUCN_Red_List_v.2022-2"
"Avicennia germinans","Food - animal","2","","","","true","sp299","IUCN_Red_List_v.2022-2"
"Avicennia germinans","Construction or structural materials","9","","","","true","sp299","IUCN_Red_List_v.2022-2"
"Avicennia schaueriana","Fuels","7","","","","true","sp300","IUCN_Red_List_v.2022-2"
"Avicennia schaueriana","Construction or structural materials","9","","","","true","sp300","IUCN_Red_List_v.2022-2"
"Baccharis dracunculifolia","Medicine - human & veterinary","3","false","true","","true","sp308","TreeCo_database_v.4.1"
"Balfourodendron riedelianum","Construction or structural materials","9","true","false","","false","sp349","TreeCo_database_v.4.1"
"Balfourodendron riedelianum","Construction or structural materials","9","false","true","","false","sp349","TreeCo_database_v.4.1"
"Balfourodendron riedelianum","Construction or structural materials","9","false","true","","false","sp349","TreeCo_database_v.4.1"
"Balfourodendron riedelianum","Construction or structural materials","9","false","true","","false","sp349","TreeCo_database_v.4.1"
"Bastardiopsis densiflora","Construction or structural materials","9","true","false","","false","sp361","TreeCo_database_v.4.1"
"Bauhinia cheilantha","Construction or structural materials","9","false","true","","false","sp375","TreeCo_database_v.4.1"
"Bauhinia cheilantha","Food - animal","2","false","true","","true","sp375","TreeCo_database_v.4.1"
"Bauhinia forficata","Pets/display animals, horticulture","13","false","true","","true","sp378","TreeCo_database_v.4.1"
"Bauhinia forficata","Medicine - human & veterinary","3","false","true","","true","sp378","TreeCo_database_v.4.1"
"Bauhinia forficata","Establishing ex-situ production *","16","","","","","sp378","IUCN_Red_List_v.2022-2"
"Bauhinia membranacea","Research","14","false","false","","false","sp385","IUCN_Red_List_v.2022-2"
"Bauhinia ovata","Medicine - human & veterinary","3","","","","","sp387","IUCN_Red_List_v.2022-2"
"Bauhinia ovata","Other (free text)","17","","","religious rites","","sp387","IUCN_Red_List_v.2022-2"
"Beilschmiedia emarginata","Construction or structural materials","9","false","false","","false","sp396","IUCN_Red_List_v.2022-2"
"Bixa arborea","Construction or structural materials","9","false","true","","true","sp409","TreeCo_database_v.4.1"
"Bixa arborea","Construction or structural materials","9","false","true","","true","sp409","TreeCo_database_v.4.1"
"Bixa arborea","Construction or structural materials","9","true","true","","true","sp409","TreeCo_database_v.4.1"
"Bixa arborea","Medicine - human & veterinary","3","false","true","","true","sp409","IUCN_Red_List_v.2022-2"
"Bixa arborea","Food - human","1","false","true","","true","sp409","IUCN_Red_List_v.2022-2"
"Bixa arborea","Other household goods","11","false","true","","true","sp409","IUCN_Red_List_v.2022-2"
"Bixa arborea","Handicrafts, jewellery, etc.","12","false","true","","true","sp409","IUCN_Red_List_v.2022-2"
"Bixa orellana","Poisons","4","true","false","","false","sp410","TreeCo_database_v.4.1"
"Bixa orellana","Construction or structural materials","9","true","false","","false","sp410","TreeCo_database_v.4.1"
"Bixa orellana","Construction or structural materials","9","true","false","","false","sp410","TreeCo_database_v.4.1"
"Bixa orellana","Food - animal","2","true","false","","true","sp410","TreeCo_database_v.4.1"
