"internal_taxon_id","language","name","primary","source.info"
"sp104","Portuguese","Urucurana","false","Brazilian_Flora_Online_v.393.285"
"sp104","Portuguese","Tapiá-Guatu","false","Brazilian_Flora_Online_v.393.285"
"sp104","Portuguese","Tapiá","false","Brazilian_Flora_Online_v.393.285"
"sp105","Portuguese","Tapiá, Tapiá-Guaçu","false","Brazilian_Flora_Online_v.393.285"
"sp105","Portuguese","Tinteiro","false","Brazilian_Flora_Online_v.393.285"
"sp105","Portuguese","Tapiá, Tapiá-Mirim, Tapiá-Guaçu","false","Brazilian_Flora_Online_v.393.285"
"sp105","Portuguese","Boleiro, Caixeta, Tapiá, Tapiá-Guaçu, Tapiá-Mirim","false","Brazilian_Flora_Online_v.393.285"
"sp105","Portuguese","Tapiá, Guaçatunga, Amorão","false","Brazilian_Flora_Online_v.393.285"
"sp105","Portuguese","Tamanqueiro, Pau-De-Tamanco, Pau-De-Tanho","false","Brazilian_Flora_Online_v.393.285"
"sp105","Portuguese","Tapiá, Tanheiro","false","Brazilian_Flora_Online_v.393.285"
"sp107","Portuguese","Maçarandubinha","false","IUCN_Red_List_v.2022-2"
"sp111","Portuguese","Pau De Leite","false","Brazilian_Flora_Online_v.393.285"
"sp111","Portuguese","Sabiá","false","Brazilian_Flora_Online_v.393.285"
"sp112","Portuguese","Cega-bobo","false","IUCN_Red_List_v.2022-2"
"sp119","Portuguese","Apuruí","false","Brazilian_Flora_Online_v.393.285"
"sp119","Portuguese","Arapuruí","false","Brazilian_Flora_Online_v.393.285"
"sp120","Portuguese","Licuri Rasteiro Do Campo","false","Brazilian_Flora_Online_v.393.285"
"sp120","Portuguese","Licurizinho","false","Brazilian_Flora_Online_v.393.285"
"sp121","Portuguese","Palha-Branca","false","Brazilian_Flora_Online_v.393.285"
"sp121","Portuguese","Buri","false","Brazilian_Flora_Online_v.393.285"
"sp124","Portuguese","Fruta De Paraó","false","Brazilian_Flora_Online_v.393.285"
"sp124","Portuguese","Vacum","false","Brazilian_Flora_Online_v.393.285"
"sp124","Portuguese","Baga-De-Morcego","false","Brazilian_Flora_Online_v.393.285"
"sp124","Portuguese","Três-Folhas-Do-Mato","false","Brazilian_Flora_Online_v.393.285"
"sp124","Portuguese","Murta-Vermelha","false","Brazilian_Flora_Online_v.393.285"
"sp124","Portuguese","Murici-Brava","false","Brazilian_Flora_Online_v.393.285"
"sp124","Portuguese","Chal-Chal","false","Brazilian_Flora_Online_v.393.285"
"sp124","Portuguese","Perta-Cu","false","Brazilian_Flora_Online_v.393.285"
"sp124","Portuguese","Fruto-Do-Rei","false","Brazilian_Flora_Online_v.393.285"
"sp124","Portuguese","Vacunzinho","false","Brazilian_Flora_Online_v.393.285"
"sp124","Portuguese","Fruto-De-Pombo","false","Brazilian_Flora_Online_v.393.285"
"sp124","Portuguese","Canhou","false","Brazilian_Flora_Online_v.393.285"
"sp126","Portuguese","Vacum Mirim","false","Brazilian_Flora_Online_v.393.285"
"sp126","Portuguese","Chal-Chal","false","Brazilian_Flora_Online_v.393.285"
"sp126","Portuguese","Guamerim","false","Brazilian_Flora_Online_v.393.285"
"sp126","Portuguese","Vacum","false","Brazilian_Flora_Online_v.393.285"
"sp126","Portuguese","Vacunzinho","false","Brazilian_Flora_Online_v.393.285"
"sp129","Portuguese","Cucum","false","Brazilian_Flora_Online_v.393.285"
"sp129","Portuguese","Fruto-De-Paraó","false","Brazilian_Flora_Online_v.393.285"
"sp129","Portuguese","Pé-De-Galinha","false","Brazilian_Flora_Online_v.393.285"
"sp129","Portuguese","Fruta-De-Pombo","false","Brazilian_Flora_Online_v.393.285"
"sp129","Portuguese","Três-Folhas-Do-Mato","false","Brazilian_Flora_Online_v.393.285"
"sp129","Portuguese","Fruta-de-paraó","false","IUCN_Red_List_v.2022-2"
"sp129","Portuguese","Fruta-do-pombo","false","IUCN_Red_List_v.2022-2"
"sp131","Spanish; Castilian","Coco","false","Brazilian_Flora_Online_v.393.285"
"sp133","Portuguese","Fruta-De-Paraó","false","Brazilian_Flora_Online_v.393.285"
"sp133","Portuguese","Três-Folhas-Do-Mato","false","Brazilian_Flora_Online_v.393.285"
"sp133","Portuguese","Baga-De-Morcego","false","Brazilian_Flora_Online_v.393.285"
"sp133","Portuguese","Timbó-Mirim","false","Brazilian_Flora_Online_v.393.285"
"sp133","Portuguese","Trevo-Da-Serra","false","Brazilian_Flora_Online_v.393.285"
"sp133","Portuguese","Vacum","false","Brazilian_Flora_Online_v.393.285"
"sp134","Portuguese","Cumixá","false","Brazilian_Flora_Online_v.393.285"
"sp134","Portuguese","Capiú-De-Três-Folhas","false","Brazilian_Flora_Online_v.393.285"
"sp134","Portuguese","Arbusto-Do-Pico-Alto","false","Brazilian_Flora_Online_v.393.285"
"sp134","Portuguese","Frei-Jorge","false","Brazilian_Flora_Online_v.393.285"
"sp134","Portuguese","Sombrinha","false","Brazilian_Flora_Online_v.393.285"
"sp134","Portuguese","Estraladeira","false","Brazilian_Flora_Online_v.393.285"
"sp134","Portuguese","Fruto-De-Jacú","false","Brazilian_Flora_Online_v.393.285"
"sp134","Portuguese","Quixaba-Vermelha","false","Brazilian_Flora_Online_v.393.285"
"sp134","Portuguese","Cumixá-Branco","false","Brazilian_Flora_Online_v.393.285"
"sp134","Portuguese","Fruta-De-Café","false","Brazilian_Flora_Online_v.393.285"
"sp134","Portuguese","Fruta-De-Saíra","false","Brazilian_Flora_Online_v.393.285"
"sp135","Portuguese","Estraladão","false","Brazilian_Flora_Online_v.393.285"
"sp135","Portuguese","Goiaba-Brava","false","Brazilian_Flora_Online_v.393.285"
"sp135","Portuguese","Murici-Brava","false","Brazilian_Flora_Online_v.393.285"
"sp135","Portuguese","Pau-Amarelo","false","Brazilian_Flora_Online_v.393.285"
"sp135","Portuguese","Pau-De-Vaqueiro","false","Brazilian_Flora_Online_v.393.285"
"sp135","Portuguese","Perta-Cu","false","Brazilian_Flora_Online_v.393.285"
"sp136","Portuguese","Casca-Solta-Mirim","false","Brazilian_Flora_Online_v.393.285"
"sp136","Portuguese","Farinha-Seca","false","Brazilian_Flora_Online_v.393.285"
"sp136","Portuguese","Guariba","false","Brazilian_Flora_Online_v.393.285"
"sp136","Portuguese","Mama-De-Cachorro","false","Brazilian_Flora_Online_v.393.285"
"sp136","Portuguese","Veadinho","false","Brazilian_Flora_Online_v.393.285"
"sp138","Portuguese","Baga-De-Morcego","false","Brazilian_Flora_Online_v.393.285"
"sp138","Portuguese","Chal-Chal","false","Brazilian_Flora_Online_v.393.285"
"sp138","Portuguese","Fruta-Do-Faraó","false","Brazilian_Flora_Online_v.393.285"
"sp138","Portuguese","Murici-Brava","false","Brazilian_Flora_Online_v.393.285"
"sp138","Portuguese","Perta-Cu","false","Brazilian_Flora_Online_v.393.285"
"sp138","Portuguese","Timbó-Mirim","false","Brazilian_Flora_Online_v.393.285"
"sp142","Portuguese","Alma-Da-Serra","false","Brazilian_Flora_Online_v.393.285"
"sp142","Portuguese","Quina-De-São-Paulo","false","Brazilian_Flora_Online_v.393.285"
"sp142","Portuguese","Tarumã","false","Brazilian_Flora_Online_v.393.285"
"sp144","Portuguese","Canela-De-Veado","false","Brazilian_Flora_Online_v.393.285"
"sp144","Portuguese","Cravo-Do-Mato","false","Brazilian_Flora_Online_v.393.285"
"sp144","Portuguese","Escorrega-Macaco","false","Brazilian_Flora_Online_v.393.285"
"sp144","Portuguese","Goiabeira-Braba","false","Brazilian_Flora_Online_v.393.285"
"sp144","Portuguese","Pau-Mole","false","Brazilian_Flora_Online_v.393.285"
"sp144","Portuguese","Pelada","false","Brazilian_Flora_Online_v.393.285"
"sp144","Portuguese","Rim-De-Veado","false","Brazilian_Flora_Online_v.393.285"
"sp145","Portuguese","Goiabinha","false","Brazilian_Flora_Online_v.393.285"
"sp151","Portuguese","Apuruizinho Do Mato","false","Brazilian_Flora_Online_v.393.285"
"sp151","Portuguese","Canela De Veado","false","Brazilian_Flora_Online_v.393.285"
"sp151","Portuguese","Cedro Bravo","false","Brazilian_Flora_Online_v.393.285"
"sp152","Portuguese","Carvoeiro, Pau-Carvão, Cinzeiro","false","Brazilian_Flora_Online_v.393.285"
"sp152","Portuguese","Marmelada-Brava, Canela-De-Veado","false","Brazilian_Flora_Online_v.393.285"
"sp152","Portuguese","Pimentão, Guapeva-Forte","false","Brazilian_Flora_Online_v.393.285"
"sp154","Portuguese","Côco-Anta","false","Brazilian_Flora_Online_v.393.285"
"sp154","Portuguese","Jitaí-Amarelo","false","Brazilian_Flora_Online_v.393.285"
"sp154","Portuguese","Carrapatinho","false","Brazilian_Flora_Online_v.393.285"
"sp154","Portuguese","Sapupeminha","false","Brazilian_Flora_Online_v.393.285"
