"infraType","infrarankAuthor","infrarankName","internal_taxon_id","name","speciesAuthor","speciesName"
"","","","sp3110","Myrcia smithii D.Legrand & Kausel","D.Legrand & Kausel","Myrcia smithii"
"","","","sp3110","Myrtus selloi Spreng.","Spreng.","Myrtus selloi"
"","","","sp3115","Gomidesia spectabilis (DC.) O.Berg","(DC.) O.Berg","Gomidesia spectabilis"
"","","","sp3115","Gomidesia browniana (Gardner) O.Berg","(Gardner) O.Berg","Gomidesia browniana"
"","","","sp3115","Gomidesia poeppigiana O.Berg","O.Berg","Gomidesia poeppigiana"
"","","","sp3115","Myrcia browniana Gardner","Gardner","Myrcia browniana"
"","","","sp3116","Myrcia sporadosticta Kiaersk.","Kiaersk.","Myrcia sporadosticta"
"","","","sp3116","Myrcia acutata O.Berg","O.Berg","Myrcia acutata"
"","","","sp3116","Myrcia acutiloba O.Berg","O.Berg","Myrcia acutiloba"
"","","","sp3116","Myrcia alagoensis O.Berg","O.Berg","Myrcia alagoensis"
"","","","sp3116","Myrcia ciarensis O.Berg","O.Berg","Myrcia ciarensis"
"","","","sp3116","Myrcia fallax (Rich.) DC.","(Rich.) DC.","Myrcia fallax"
"","","","sp3116","Myrcia gardneriana O.Berg","O.Berg","Myrcia gardneriana"
"","","","sp3116","Myrcia rostrata DC.","DC.","Myrcia rostrata"
"","","","sp3116","Myrcia sepiaria DC.","DC.","Myrcia sepiaria"
"","","","sp3116","Myrcia magnoliifolia DC.","DC.","Myrcia magnoliifolia"
"","","","sp3116","Myrcia oocarpa Cambess.","Cambess.","Myrcia oocarpa"
"","","","sp3116","Myrcia pohliana O.Berg","O.Berg","Myrcia pohliana"
"","","","sp3116","Myrcia schaueriana O.Berg","O.Berg","Myrcia schaueriana"
"","","","sp3116","Myrcia sellowiana O.Berg","O.Berg","Myrcia sellowiana"
"","","","sp3116","Myrcia augustana Kiaersk.","Kiaersk.","Myrcia augustana"
"","","","sp3116","Myrcia chapadensis S.Moore","S.Moore","Myrcia chapadensis"
"","","","sp3116","Myrcia corcovadensis O.Berg","O.Berg","Myrcia corcovadensis"
"","","","sp3116","Myrcia formosiana DC.","DC.","Myrcia formosiana"
"","","","sp3116","Myrcia hayneana O.Berg","O.Berg","Myrcia hayneana"
"","","","sp3116","Myrcia laevigata O.Berg","O.Berg","Myrcia laevigata"
"","","","sp3116","Myrcia nitens O.Berg","O.Berg","Myrcia nitens"
"","","","sp3116","Myrcia riparia O.Berg","O.Berg","Myrcia riparia"
"","","","sp3116","Myrcia rufula Miq.","Miq.","Myrcia rufula"
"","","","sp3116","Myrcia superba O.Berg","O.Berg","Myrcia superba"
"","","","sp3116","Myrcia atramentifera Barb.Rodr.","Barb.Rodr.","Myrcia atramentifera"
"","","","sp3116","Myrcia cancellata O.Berg","O.Berg","Myrcia cancellata"
"","","","sp3116","Myrcia cujabensis O.Berg","O.Berg","Myrcia cujabensis"
"","","","sp3116","Myrcia doniana O.Berg","O.Berg","Myrcia doniana"
"","","","sp3116","Myrcia govinha S.Moore","S.Moore","Myrcia govinha"
"","","","sp3116","Myrcia hilariana O.Berg","O.Berg","Myrcia hilariana"
"","","","sp3116","Myrcia imperatoris-maximiliani Wawra","Wawra","Myrcia imperatoris-maximiliani"
"","","","sp3116","Myrcia pertusa DC.","DC.","Myrcia pertusa"
"","","","sp3116","Myrcia regnelliana O.Berg","O.Berg","Myrcia regnelliana"
"","","","sp3116","Myrcia sericea G.Don","G.Don","Myrcia sericea"
"","","","sp3116","Myrcia velloziana O.Berg","O.Berg","Myrcia velloziana"
"","","","sp3116","Aulomyrcia costata (DC.) O.Berg","(DC.) O.Berg","Aulomyrcia costata"
"","","","sp3116","Aulomyrcia doniana O.Berg","O.Berg","Aulomyrcia doniana"
"","","","sp3116","Aulomyrcia wullschlaegeliana O.Berg","O.Berg","Aulomyrcia wullschlaegeliana"
"","","","sp3116","Cumetea divaricata (Lam.) Raf.","(Lam.) Raf.","Cumetea divaricata"
"","","","sp3116","Eugenia divaricata Lam.","Lam.","Eugenia divaricata"
"","","","sp3116","Eugenia fallax Rich.","Rich.","Eugenia fallax"
"","","","sp3116","Eugenia laxiflora Poir.","Poir.","Eugenia laxiflora"
"","","","sp3116","Eugenia mollis Willd. ex O.Berg","Willd. ex O.Berg","Eugenia mollis"
"","","","sp3116","Eugenia paniculiflora Steud.","Steud.","Eugenia paniculiflora"
"","","","sp3116","Eugenia periplocifolia Jacq.","Jacq.","Eugenia periplocifolia"
"","","","sp3116","Myrcia acuminata (Kunth) DC.","(Kunth) DC.","Myrcia acuminata"
"","","","sp3116","Myrcia aguitensis Gleason","Gleason","Myrcia aguitensis"
"","","","sp3116","Myrcia ayresiana O.Berg","O.Berg","Myrcia ayresiana"
"","","","sp3116","Myrcia barrensis O.Berg","O.Berg","Myrcia barrensis"
"","","","sp3116","Myrcia belizensis Lundell","Lundell","Myrcia belizensis"
"","","","sp3116","Myrcia berberis Schauer","Schauer","Myrcia berberis"
"","","","sp3116","Myrcia brachylopadia Diels","Diels","Myrcia brachylopadia"
"","","","sp3116","Myrcia bracteolaris (Poir.) DC.","(Poir.) DC.","Myrcia bracteolaris"
"","","","sp3116","Myrcia brandamii O.Berg","O.Berg","Myrcia brandamii"
"","","","sp3116","Myrcia catharinae O.Berg","O.Berg","Myrcia catharinae"
"","","","sp3116","Myrcia chilensis O.Berg","O.Berg","Myrcia chilensis"
"","","","sp3116","Myrcia communis O.Berg","O.Berg","Myrcia communis"
"","","","sp3116","Myrcia complicata (Kunth) DC.","(Kunth) DC.","Myrcia complicata"
"","","","sp3116","Myrcia compressa Gleason","Gleason","Myrcia compressa"
"","","","sp3116","Myrcia coroicensis Rusby","Rusby","Myrcia coroicensis"
"","","","sp3116","Myrcia costa-ricensis O.Berg","O.Berg","Myrcia costa-ricensis"
"","","","sp3116","Myrcia costata DC.","DC.","Myrcia costata"
"","","","sp3116","Myrcia coumetoides O.Berg","O.Berg","Myrcia coumetoides"
"","","","sp3116","Myrcia cucullata O.Berg","O.Berg","Myrcia cucullata"
"","","","sp3116","Myrcia dictyoneura Diels","Diels","Myrcia dictyoneura"
"","","","sp3116","Myrcia discolor O.Berg","O.Berg","Myrcia discolor"
"","","","sp3116","Myrcia divaricata (Lam.) DC.","(Lam.) DC.","Myrcia divaricata"
"","","","sp3116","Myrcia elongata O.Berg","O.Berg","Myrcia elongata"
"","","","sp3116","Myrcia erythroxylon O.Berg","O.Berg","Myrcia erythroxylon"
"","","","sp3116","Myrcia friburgensis O.Berg","O.Berg","Myrcia friburgensis"
"","","","sp3116","Myrcia gracilis O.Berg","O.Berg","Myrcia gracilis"
"","","","sp3116","Myrcia guajavifolia O.Berg","O.Berg","Myrcia guajavifolia"
"","","","sp3116","Myrcia humboldtiana DC.","DC.","Myrcia humboldtiana"
"","","","sp3116","Myrcia impressa O.Berg","O.Berg","Myrcia impressa"
"","","","sp3116","Myrcia kegeliana O.Berg","O.Berg","Myrcia kegeliana"
"","","","sp3116","Myrcia klotzschiana O.Berg","O.Berg","Myrcia klotzschiana"
"","","","sp3116","Myrcia lamprosericea Diels","Diels","Myrcia lamprosericea"
"","","","sp3116","Myrcia langsdorffii O.Berg","O.Berg","Myrcia langsdorffii"
"","","","sp3116","Myrcia latifolia O.Berg","O.Berg","Myrcia latifolia"
"","","","sp3116","Myrcia lindeniana O.Berg","O.Berg","Myrcia lindeniana"
"","","","sp3116","Myrcia linkiana DC.","DC.","Myrcia linkiana"
"","","","sp3116","Myrcia longicaudata Lundell","Lundell","Myrcia longicaudata"
"","","","sp3116","Myrcia luetzelburgii Burret ex Luetzelb.","Burret ex Luetzelb.","Myrcia luetzelburgii"
"","","","sp3116","Myrcia macrophylla DC.","DC.","Myrcia macrophylla"
"","","","sp3116","Myrcia martiana O.Berg","O.Berg","Myrcia martiana"
"","","","sp3116","Myrcia martinicensis Krug & Urb.","Krug & Urb.","Myrcia martinicensis"
"","","","sp3116","Myrcia melanoclada O.Berg","O.Berg","Myrcia melanoclada"
"","","","sp3116","Myrcia melanosticta Kiaersk.","Kiaersk.","Myrcia melanosticta"
"","","","sp3116","Myrcia micrantha O.Berg","O.Berg","Myrcia micrantha"
"","","","sp3116","Myrcia mikaniana (DC.) O.Berg","(DC.) O.Berg","Myrcia mikaniana"
"","","","sp3116","Myrcia negrensis O.Berg","O.Berg","Myrcia negrensis"
"","","","sp3116","Myrcia opaca O.Berg","O.Berg","Myrcia opaca"
"","","","sp3116","Myrcia oxyoentophylla Kiaersk.","Kiaersk.","Myrcia oxyoentophylla"
"","","","sp3116","Myrcia pellucida O.Berg","O.Berg","Myrcia pellucida"
"","","","sp3116","Myrcia pseudomini DC.","DC.","Myrcia pseudomini"
"","","","sp3116","Myrcia riedeliana O.Berg","O.Berg","Myrcia riedeliana"
"","","","sp3116","Myrcia rufidula Schltdl.","Schltdl.","Myrcia rufidula"
"","","","sp3116","Myrcia sartoriana O.Berg","O.Berg","Myrcia sartoriana"
"","","","sp3116","Myrcia saxicola O.Berg","O.Berg","Myrcia saxicola"
"","","","sp3116","Myrcia schuechiana O.Berg","O.Berg","Myrcia schuechiana"
"","","","sp3116","Myrcia sericiflora O.Berg","O.Berg","Myrcia sericiflora"
"","","","sp3116","Myrcia sororia DC.","DC.","Myrcia sororia"
"","","","sp3116","Myrcia spruceana O.Berg","O.Berg","Myrcia spruceana"
"","","","sp3116","Myrcia tingens O.Berg","O.Berg","Myrcia tingens"
"","","","sp3116","Myrcia velutina O.Berg","O.Berg","Myrcia velutina"
"","","","sp3116","Myrcia venezuelensis O.Berg","O.Berg","Myrcia venezuelensis"
"","","","sp3116","Myrcia ypanemensis O.Berg","O.Berg","Myrcia ypanemensis"
"","","","sp3116","Myrtus acuminata Kunth","Kunth","Myrtus acuminata"
"","","","sp3116","Myrtus bracteolaris Poir.","Poir.","Myrtus bracteolaris"
"","","","sp3116","Myrtus complicata Kunth","Kunth","Myrtus complicata"
"","","","sp3116","Myrtus dioica Spreng.","Spreng.","Myrtus dioica"
"","","","sp3116","Myrtus fulva Spreng.","Spreng.","Myrtus fulva"
"","","","sp3116","Myrtus polyantha Kunth","Kunth","Myrtus polyantha"
"","","","sp3116","Myrtus splendens Sw.","Sw.","Myrtus splendens"
"","","","sp3116","Myrtus stoupii Spreng.","Spreng.","Myrtus stoupii"
"","","","sp3116","Myrcia sororopanensis Steyerm.","Steyerm.","Myrcia sororopanensis"
"","","","sp3116","Myrcia neodoniana Mattos","Mattos","Myrcia neodoniana"
"","","","sp3116","Myrcia kunthiana NA","","Myrcia kunthiana"
"","","","sp3117","Gomidesia springiana O.Berg","O.Berg","Gomidesia springiana"
"","","","sp3118","Gomidesia squamata Mattos & D.Legrand","Mattos & D.Legrand","Gomidesia squamata"
"","","","sp3119","Aulomyrcia stictophylla O.Berg","O.Berg","Aulomyrcia stictophylla"
"","","","sp3121","Marlierea strigipes (Mart.) O.Berg","(Mart.) O.Berg","Marlierea strigipes"
"","","","sp3121","Marlierea tomentosa Cambess.","Cambess.","Marlierea tomentosa"
"","","","sp3121","Marlierea spathulata O.Berg","O.Berg","Marlierea spathulata"
"","","","sp3121","Myrcia neotomentosa E. Lucas & C. E. Wilson","E. Lucas & C. E. Wilson","Myrcia neotomentosa"
"","","","sp3124","Marlierea subacuminata Kiaersk.","Kiaersk.","Marlierea subacuminata"
"","","","sp3125","Myrcia subverticillaris (O.Berg) Kiaersk.","(O.Berg) Kiaersk.","Myrcia subverticillaris"
"","","","sp3125","Aulomyrcia bicudoensis O.Berg","O.Berg","Aulomyrcia bicudoensis"
"","","","sp3125","Aulomyrcia corymbiflora O.Berg","O.Berg","Aulomyrcia corymbiflora"
"","","","sp3125","Aulomyrcia subalpestris (DC.) O.Berg","(DC.) O.Berg","Aulomyrcia subalpestris"
"","","","sp3125","Aulomyrcia subverticillaris O.Berg","O.Berg","Aulomyrcia subverticillaris"
"","","","sp3125","Myrcia bicudoensis (O.Berg) Mattos","(O.Berg) Mattos","Myrcia bicudoensis"
"","","","sp3126","Myrcia lapensis N.Silveira","N.Silveira","Myrcia lapensis"
"","","","sp3126","Aulomyrcia ferruginea O.Berg","O.Berg","Aulomyrcia ferruginea"
"","","","sp3126","Aulomyrcia subavenia O.Berg","O.Berg","Aulomyrcia subavenia"
"","","","sp3127","Calyptranthes cordata O.Berg","O.Berg","Calyptranthes cordata"
"","","","sp3127","Myrcia pulchra (O.Berg) Kiaersk.","(O.Berg) Kiaersk.","Myrcia pulchra"
"","","","sp3127","Myrcia breviramis (O.Berg) Legrand","(O.Berg) Legrand","Myrcia breviramis"
"","","","sp3127","Myrcia jaguariaivensis Mattos & D.Legrand","Mattos & D.Legrand","Myrcia jaguariaivensis"
"","","","sp3127","Aulomyrcia breviramis O.Berg","O.Berg","Aulomyrcia breviramis"
"","","","sp3127","Aulomyrcia pulchra O.Berg","O.Berg","Aulomyrcia pulchra"
"","","","sp3127","Aulomyrcia subcordata (DC.) O.Berg","(DC.) O.Berg","Aulomyrcia subcordata"
"","","","sp3127","Aulomyrcia widgreniana O.Berg","O.Berg","Aulomyrcia widgreniana"
"","","","sp3127","Chytraculia cordata (O.Berg) Kuntze","(O.Berg) Kuntze","Chytraculia cordata"
"","","","sp3127","Myrcia pilotantha Kiaersk.","Kiaersk.","Myrcia pilotantha"
"","","","sp3127","Myrcia widgreniana (O.Berg) Mattos","(O.Berg) Mattos","Myrcia widgreniana"
"","","","sp3128","Gomidesia nitida (Vell.) Nied.","(Vell.) Nied.","Gomidesia nitida"
"","","","sp3128","Gomidesia chamissoeana O.Berg","O.Berg","Gomidesia chamissoeana"
"","","","sp3128","Myrtus nitida Vell.","Vell.","Myrtus nitida"
"","","","sp3128","Myrcia neonitida Mattos","Mattos","Myrcia neonitida"
"","","","sp3130","Marlierea sucrei G.M.Barroso & Peixoto","G.M.Barroso & Peixoto","Marlierea sucrei"
"","","","sp3131","Myrcia ambigua DC.","DC.","Myrcia ambigua"
"","","","sp3131","Myrtus lucida L.","L.","Myrtus lucida"
"","","","sp3131","Myrtus sylvatica G.Mey.","G.Mey.","Myrtus sylvatica"
"","","","sp3133","Aulomyrcia tenuifolia O.Berg","O.Berg","Aulomyrcia tenuifolia"
"","","","sp3134","Marlierea acuminatissima (O.Berg) D.Legrand","(O.Berg) D.Legrand","Marlierea acuminatissima"
"","","","sp3139","Marlierea teuscheriana (O.Berg) D.Legrand","(O.Berg) D.Legrand","Marlierea teuscheriana"
"","","","sp3142","Gomidesia tijucensis (Kiaersk.) D.Legrand","(Kiaersk.) D.Legrand","Gomidesia tijucensis"
"","","","sp3143","Myrcia lancea (O.Berg) Mattos","(O.Berg) Mattos","Myrcia lancea"
"","","","sp3143","Myrcia rhodeosepala Kiaersk.","Kiaersk.","Myrcia rhodeosepala"
"","","","sp3143","Myrcia floribunda Miq.","Miq.","Myrcia floribunda"
"","","","sp3143","Myrcia longipes (O.Berg) Kiaersk.","(O.Berg) Kiaersk.","Myrcia longipes"
"","","","sp3143","Myrcia pilosa DC.","DC.","Myrcia pilosa"
"","","","sp3143","Myrcia prunifolia DC.","DC.","Myrcia prunifolia"
"","","","sp3143","Myrcia verruculata S.Moore","S.Moore","Myrcia verruculata"
"","","","sp3143","Aguava tomentosa (Aubl.) Raf.","(Aubl.) Raf.","Aguava tomentosa"
"","","","sp3143","Aulomyrcia alloiota O.Berg","O.Berg","Aulomyrcia alloiota"
"","","","sp3143","Aulomyrcia aureolanata O.Berg","O.Berg","Aulomyrcia aureolanata"
"","","","sp3143","Aulomyrcia capivarhyensis (Cambess.) O.Berg","(Cambess.) O.Berg","Aulomyrcia capivarhyensis"
"","","","sp3143","Aulomyrcia confusa O.Berg","O.Berg","Aulomyrcia confusa"
"","","","sp3143","Aulomyrcia curatellifolia (DC.) O.Berg","(DC.) O.Berg","Aulomyrcia curatellifolia"
"","","","sp3143","Aulomyrcia hirtiflora (DC.) O.Berg","(DC.) O.Berg","Aulomyrcia hirtiflora"
"","","","sp3143","Aulomyrcia lancea O.Berg","O.Berg","Aulomyrcia lancea"
"","","","sp3143","Aulomyrcia lanuginosa O.Berg","O.Berg","Aulomyrcia lanuginosa"
"","","","sp3143","Aulomyrcia leucantha O.Berg","O.Berg","Aulomyrcia leucantha"
"","","","sp3143","Aulomyrcia longipes O.Berg","O.Berg","Aulomyrcia longipes"
"","","","sp3143","Aulomyrcia micrantha O.Berg","O.Berg","Aulomyrcia micrantha"
"","","","sp3143","Aulomyrcia ottonis O.Berg","O.Berg","Aulomyrcia ottonis"
"","","","sp3143","Aulomyrcia piauhiensis O.Berg","O.Berg","Aulomyrcia piauhiensis"
"","","","sp3143","Aulomyrcia prunifolia (DC.) O.Berg","(DC.) O.Berg","Aulomyrcia prunifolia"
"","","","sp3143","Aulomyrcia puberula (Cambess.) O.Berg","(Cambess.) O.Berg","Aulomyrcia puberula"
"","","","sp3143","Aulomyrcia rosulans O.Berg","O.Berg","Aulomyrcia rosulans"
"","","","sp3143","Aulomyrcia spathulata O.Berg","O.Berg","Aulomyrcia spathulata"
"","","","sp3143","Aulomyrcia tomentosa (Aubl.) Amshoff","(Aubl.) Amshoff","Aulomyrcia tomentosa"
"","","","sp3143","Calyptromyrcia puberula (Cambess.) O.Berg","(Cambess.) O.Berg","Calyptromyrcia puberula"
"","","","sp3143","Calyptromyrcia venosa O.Berg","O.Berg","Calyptromyrcia venosa"
"","","","sp3143","Cumetea tomentosa (Aubl.) Raf.","(Aubl.) Raf.","Cumetea tomentosa"
"","","","sp3143","Eugenia tomentosa NA","","Eugenia tomentosa"
"","","","sp3143","Myrcia alloiota (O.Berg) Kiaersk.","(O.Berg) Kiaersk.","Myrcia alloiota"
"","","","sp3143","Myrcia capivarhyensis Cambess.","Cambess.","Myrcia capivarhyensis"
