"CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup","CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName","CountryOccurrence.CountryOccurrenceSubfield.formerlyBred","CountryOccurrence.CountryOccurrenceSubfield.origin","CountryOccurrence.CountryOccurrenceSubfield.presence","CountryOccurrence.CountryOccurrenceSubfield.seasonality","internal_taxon_id"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp9"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp10"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp10"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp11"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp11"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp12"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp12"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp12"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp13"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp13"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp13"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp13"
"BZS-PR","Brazil",NA,"Native","Extant","Resident","sp13"
"BZS-RS","Brazil",NA,"Native","Extant","Resident","sp14"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp14"
"AGE-FO","Argentina",NA,"Native","Extant","Resident","sp14"
"BZS-SC","Brazil",NA,"Native","Extant","Resident","sp14"
"AGW-SA","Argentina",NA,"Native","Extant","Resident","sp14"
"AGE-CO","Argentina",NA,"Native","Extant","Resident","sp14"
"AGW-SL","Argentina",NA,"Native","Extant","Resident","sp14"
"AGE-BA","Argentina",NA,"Native","Extant","Resident","sp14"
"AGE-CN","Argentina",NA,"Native","Extant","Resident","sp14"
"AGE-ER","Argentina",NA,"Native","Extant","Resident","sp14"
"AGW-JU","Argentina",NA,"Native","Extant","Resident","sp14"
"BO","Bolivia",NA,"Native","Extant","Resident","sp14"
"AGW-SJ","Argentina",NA,"Native","Extant","Resident","sp14"
"AGW-TU","Argentina",NA,"Native","Extant","Resident","sp14"
"AGE-MI","Argentina",NA,"Native","Extant","Resident","sp14"
"AGE-CH","Argentina",NA,"Native","Extant","Resident","sp14"
"PY","Paraguay",NA,"Native","Extant","Resident","sp14"
"AGE-LP","Argentina",NA,"Native","Extant","Resident","sp14"
"ZA","South Africa",NA,"Native","Extant","Resident","sp14"
"ES","Spain",NA,"Native","Extant","Resident","sp14"
"NZ","New Zealand",NA,"Native","Extant","Resident","sp14"
"US","United States",NA,"Native","Extant","Resident","sp14"
"BZS-PR","Brazil",NA,"Native","Extant","Resident","sp14"
"BZC-MS","Brazil",NA,"Native","Extant","Resident","sp14"
"UY","Uruguay",NA,"Native","Extant","Resident","sp14"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp14"
"PF","French Polynesia",NA,"Native","Extant","Resident","sp14"
"PT","Portugal",NA,"Native","Extant","Resident","sp14"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp14"
"AGE-SF","Argentina",NA,"Native","Extant","Resident","sp14"
"PE","Peru",NA,"Native","Extant","Resident","sp14"
"AR","Argentina",NA,"Native","Extant","Resident","sp14"
"CLN-AN","Chile",NA,"Native","Extant","Resident","sp14"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp15"
"BZC-MS","Brazil",NA,"Native","Extant","Resident","sp15"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp15"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp15"
"BZS-PR","Brazil",NA,"Native","Extant","Resident","sp15"
"AGE-MI","Argentina",NA,"Native","Extant","Resident","sp15"
"BZC-DF","Brazil",NA,"Native","Extant","Resident","sp15"
"PY","Paraguay",NA,"Native","Extant","Resident","sp15"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp15"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp15"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp15"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp15"
"BZE-MA","Brazil",NA,"Native","Extant","Resident","sp15"
"BO","Bolivia",NA,"Native","Extant","Resident","sp15"
"PE","Peru",NA,"Native","Extant","Resident","sp15"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp15"
