"CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup","CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName","CountryOccurrence.CountryOccurrenceSubfield.formerlyBred","CountryOccurrence.CountryOccurrenceSubfield.origin","CountryOccurrence.CountryOccurrenceSubfield.presence","CountryOccurrence.CountryOccurrenceSubfield.seasonality","internal_taxon_id"
"GT","Guatemala",NA,"Native","Extant","Resident","sp814"
"VE","Venezuela",NA,"Native","Extant","Resident","sp814"
"NI","Nicaragua",NA,"Native","Extant","Resident","sp814"
"BZ","Belize",NA,"Native","Extant","Resident","sp814"
"SR","Suriname",NA,"Native","Extant","Resident","sp814"
"GY","Guyana",NA,"Native","Extant","Resident","sp814"
"BZN-AP","Brazil",NA,"Native","Extant","Resident","sp814"
"SV","El Salvador",NA,"Native","Extant","Resident","sp814"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp814"
"BZN-RO","Brazil",NA,"Native","Extant","Resident","sp814"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp814"
"BZE-MA","Brazil",NA,"Native","Extant","Resident","sp814"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp815"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp815"
"BZS-PR","Brazil",NA,"Native","Extant","Resident","sp815"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp815"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp815"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp815"
"BZS-SC","Brazil",NA,"Native","Extant","Resident","sp815"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp815"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp815"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp815"
"BZS-RS","Brazil",NA,"Native","Extant","Resident","sp815"
"BZN-RO","Brazil",NA,"Native","Extant","Resident","sp815"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp815"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp815"
"BZE-MA","Brazil",NA,"Native","Extant","Resident","sp815"
"BZN-RM","Brazil",NA,"Native","Extant","Resident","sp815"
"BZN-AC","Brazil",NA,"Native","Extant","Resident","sp815"
"AGE-MI","Argentina",NA,"Native","Extant","Resident","sp815"
"PY","Paraguay",NA,"Native","Extant","Resident","sp815"
"MXC-PU","Mexico",NA,"Native","Extant","Resident","sp815"
"MXS-GR","Mexico",NA,"Native","Extant","Resident","sp815"
"MXT-CI","Mexico",NA,"Native","Extant","Resident","sp815"
"CR","Costa Rica",NA,"Native","Extant","Resident","sp815"
"CO","Colombia",NA,"Native","Extant","Resident","sp815"
"EC","Ecuador",NA,"Native","Extant","Resident","sp815"
"AI","Anguilla",NA,"Native","Extant","Resident","sp815"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp815"
"BZN-AP","Brazil",NA,"Native","Extant","Resident","sp815"
"MXG-VC","Mexico",NA,"Native","Extant","Resident","sp815"
"GY","Guyana",NA,"Native","Extant","Resident","sp815"
"PR","Puerto Rico",NA,"Native","Extant","Resident","sp815"
"BZE-PI","Brazil",NA,"Native","Extant","Resident","sp815"
"VE","Venezuela",NA,"Native","Extant","Resident","sp815"
"DO","Dominican Republic",NA,"Native","Extant","Resident","sp815"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp815"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp815"
"BZC-MS","Brazil",NA,"Native","Extant","Resident","sp815"
"PE","Peru",NA,"Native","Extant","Resident","sp815"
"BZN-TO","Brazil",NA,"Native","Extant","Resident","sp815"
"BZC-DF","Brazil",NA,"Native","Extant","Resident","sp815"
"BZE-PB","Brazil",NA,"Native","Extant","Resident","sp815"
"BR","Brazil",NA,"Native","Extant","Resident","sp815"
"BZE-RN","Brazil",NA,"Native","Extant","Resident","sp815"
"BO","Bolivia",NA,"Native","Extant","Resident","sp815"
"GF","French Guiana",NA,"Native","Extant","Resident","sp815"
"MU","Mauritius",NA,"Native","Extant","Resident","sp815"
"HN","Honduras",NA,"Native","Extant","Resident","sp815"
"PA","Panama",NA,"Native","Extant","Resident","sp815"
"JM","Jamaica",NA,"Native","Extant","Resident","sp815"
"MG","Madagascar",NA,"Native","Extant","Resident","sp815"
"HT","Haiti",NA,"Native","Extant","Resident","sp815"
"BZ","Belize",NA,"Native","Extant","Resident","sp815"
"PW","Palau",NA,"Native","Extant","Resident","sp815"
"SR","Suriname",NA,"Native","Extant","Resident","sp815"
"AR","Argentina",NA,"Native","Extant","Resident","sp815"
"DM","Dominica",NA,"Native","Extant","Resident","sp815"
"CU","Cuba",NA,"Native","Extant","Resident","sp815"
"VG","British Virgin Islands",NA,"Native","Extant","Resident","sp815"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp816"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp816"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp816"
"BZN-AC","Brazil",NA,"Native","Extant","Resident","sp816"
"MXT-TB","Mexico",NA,"Native","Extant","Resident","sp816"
"CO","Colombia",NA,"Native","Extant","Resident","sp816"
"PA","Panama",NA,"Native","Extant","Resident","sp816"
"MXT-CI","Mexico",NA,"Native","Extant","Resident","sp816"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp816"
"BZN-AP","Brazil",NA,"Native","Extant","Resident","sp816"
"BZC-DF","Brazil",NA,"Native","Extant","Resident","sp816"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp816"
"PE","Peru",NA,"Native","Extant","Resident","sp816"
"BZN-RO","Brazil",NA,"Native","Extant","Resident","sp816"
"BZN-RM","Brazil",NA,"Native","Extant","Resident","sp816"
"MXG-VC","Mexico",NA,"Native","Extant","Resident","sp816"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp816"
"VE","Venezuela",NA,"Native","Extant","Resident","sp816"
"BZE-PB","Brazil",NA,"Native","Extant","Resident","sp816"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp816"
"CR","Costa Rica",NA,"Native","Extant","Resident","sp816"
"GT","Guatemala",NA,"Native","Extant","Resident","sp816"
"BO","Bolivia",NA,"Native","Extant","Resident","sp816"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp816"
"BZ","Belize",NA,"Native","Extant","Resident","sp816"
"MXS-OA","Mexico",NA,"Native","Extant","Resident","sp816"
"GY","Guyana",NA,"Native","Extant","Resident","sp816"
"GF","French Guiana",NA,"Native","Extant","Resident","sp816"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp816"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp816"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp817"
"CR","Costa Rica",NA,"Native","Extant","Resident","sp817"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp817"
"CO","Colombia",NA,"Native","Extant","Resident","sp817"
"SV","El Salvador",NA,"Native","Extant","Resident","sp817"
"MXT-CI","Mexico",NA,"Native","Extant","Resident","sp817"
"MXS-GR","Mexico",NA,"Native","Extant","Resident","sp817"
"PA","Panama",NA,"Native","Extant","Resident","sp817"
"MXT-TB","Mexico",NA,"Native","Extant","Resident","sp817"
"BZN-AP","Brazil",NA,"Native","Extant","Resident","sp817"
"MXG-VC","Mexico",NA,"Native","Extant","Resident","sp817"
"GF","French Guiana",NA,"Native","Extant","Resident","sp817"
"VE","Venezuela",NA,"Native","Extant","Resident","sp817"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp817"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp817"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp817"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp817"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp817"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp817"
"BZN-RM","Brazil",NA,"Native","Extant","Resident","sp817"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp817"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp817"
"BZ","Belize",NA,"Native","Extant","Resident","sp817"
"PE","Peru",NA,"Native","Extant","Resident","sp817"
"NI","Nicaragua",NA,"Native","Extant","Resident","sp817"
"HN","Honduras",NA,"Native","Extant","Resident","sp817"
"EC","Ecuador",NA,"Native","Extant","Resident","sp817"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp817"
"GY","Guyana",NA,"Native","Extant","Resident","sp817"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp817"
"BZN-TO","Brazil",NA,"Native","Extant","Resident","sp817"
"BO","Bolivia",NA,"Native","Extant","Resident","sp817"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp818"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp818"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp818"
"EC","Ecuador",NA,"Native","Extant","Resident","sp818"
"BZN-AC","Brazil",NA,"Native","Extant","Resident","sp818"
"BZN-RO","Brazil",NA,"Native","Extant","Resident","sp818"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp818"
"BZN-RM","Brazil",NA,"Native","Extant","Resident","sp818"
"PE","Peru",NA,"Native","Extant","Resident","sp818"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp818"
"BR","Brazil",NA,"Native","Extant","Resident","sp818"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp818"
"BZE-MA","Brazil",NA,"Native","Extant","Resident","sp818"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp819"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp819"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp819"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp820"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp820"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp821"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp822"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp822"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp822"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp822"
"BZS-SC","Brazil",NA,"Native","Extant","Resident","sp822"
"BZS-PR","Brazil",NA,"Native","Extant","Resident","sp822"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp822"
"BZS-RS","Brazil",NA,"Native","Extant","Resident","sp822"
"BZC-DF","Brazil",NA,"Native","Extant","Resident","sp822"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp822"
"BR","Brazil",NA,"Native","Extant","Resident","sp822"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp822"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp822"
"BZC-MS","Brazil",NA,"Native","Extant","Resident","sp822"
"BZE-PI","Brazil",NA,"Native","Extant","Resident","sp822"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp823"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp823"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp823"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp823"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp823"
"BZE-PB","Brazil",NA,"Native","Extant","Resident","sp823"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp824"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp824"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp825"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp825"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp825"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp825"
"BZS-SC","Brazil",NA,"Native","Extant","Resident","sp825"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp825"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp825"
"BZC-DF","Brazil",NA,"Native","Extant","Resident","sp825"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp826"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp826"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp826"
"BZN-AP","Brazil",NA,"Native","Extant","Resident","sp827"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp827"
"BZE-MA","Brazil",NA,"Native","Extant","Resident","sp827"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp827"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp827"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp827"
"BZN-RO","Brazil",NA,"Native","Extant","Resident","sp827"
"CO","Colombia",NA,"Native","Extant","Resident","sp827"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp827"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp827"
"BZN-RM","Brazil",NA,"Native","Extant","Resident","sp827"
"BR","Brazil",NA,"Native","Extant","Resident","sp827"
"VE","Venezuela",NA,"Native","Extant","Resident","sp827"
"PE","Peru",NA,"Native","Extant","Resident","sp827"
"SR","Suriname",NA,"Native","Extant","Resident","sp827"
"GY","Guyana",NA,"Native","Extant","Resident","sp827"
"BZC-MS","Brazil",NA,"Native","Extant","Resident","sp827"
"GF","French Guiana",NA,"Native","Extant","Resident","sp827"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp827"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp828"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp828"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp828"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp828"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp828"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp828"
"BZC-DF","Brazil",NA,"Native","Extant","Resident","sp828"
"BZE-RN","Brazil",NA,"Native","Extant","Resident","sp828"
"BZE-PB","Brazil",NA,"Native","Extant","Resident","sp828"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp828"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp829"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp829"
"SR","Suriname",NA,"Native","Extant","Resident","sp829"
"MXT-CI","Mexico",NA,"Native","Extant","Resident","sp829"
"MXT-YU","Mexico",NA,"Native","Extant","Resident","sp829"
"MXT-QR","Mexico",NA,"Native","Extant","Resident","sp829"
"MXT-TB","Mexico",NA,"Native","Extant","Resident","sp829"
"CO","Colombia",NA,"Native","Extant","Resident","sp829"
"CR","Costa Rica",NA,"Native","Extant","Resident","sp829"
"MXT-CA","Mexico",NA,"Native","Extant","Resident","sp829"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp829"
"BZN-RM","Brazil",NA,"Native","Extant","Resident","sp829"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp829"
"BZS-PR","Brazil",NA,"Native","Extant","Resident","sp829"
"PE","Peru",NA,"Native","Extant","Resident","sp829"
"VE","Venezuela",NA,"Native","Extant","Resident","sp829"
"EC","Ecuador",NA,"Native","Extant","Resident","sp829"
"GY","Guyana",NA,"Native","Extant","Resident","sp829"
"BZN-AP","Brazil",NA,"Native","Extant","Resident","sp829"
"BR","Brazil",NA,"Native","Extant","Resident","sp829"
"BZE-MA","Brazil",NA,"Native","Extant","Resident","sp829"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp830"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp831"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp831"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp831"
"BZS-PR","Brazil",NA,"Native","Extant","Resident","sp831"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp831"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp832"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp832"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp832"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp832"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp832"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp832"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp832"
"VE","Venezuela",NA,"Native","Extant","Resident","sp832"
"BZN-RM","Brazil",NA,"Native","Extant","Resident","sp832"
"CO","Colombia",NA,"Native","Extant","Resident","sp832"
"SR","Suriname",NA,"Native","Extant","Resident","sp832"
"GY","Guyana",NA,"Native","Extant","Resident","sp832"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp833"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp833"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp833"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp833"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp833"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp834"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp834"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp834"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp834"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp834"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp834"
"BZC-DF","Brazil",NA,"Native","Extant","Resident","sp834"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp834"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp834"
"VE","Venezuela",NA,"Native","Extant","Resident","sp834"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp834"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp834"
"BZE-PB","Brazil",NA,"Native","Extant","Resident","sp834"
"GY","Guyana",NA,"Native","Extant","Resident","sp834"
"GF","French Guiana",NA,"Native","Extant","Resident","sp834"
"BZN-TO","Brazil",NA,"Native","Extant","Resident","sp834"
"BZN-RM","Brazil",NA,"Native","Extant","Resident","sp834"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp834"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp834"
"BZE-PI","Brazil",NA,"Native","Extant","Resident","sp834"
"BZN-AP","Brazil",NA,"Native","Extant","Resident","sp834"
"CO","Colombia",NA,"Native","Extant","Resident","sp834"
"SR","Suriname",NA,"Native","Extant","Resident","sp834"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp834"
"BZN-AC","Brazil",NA,"Native","Extant","Resident","sp834"
"BZE-RN","Brazil",NA,"Native","Extant","Resident","sp834"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp835"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp835"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp835"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp836"
"VE","Venezuela",NA,"Native","Extant","Resident","sp836"
"CO","Colombia",NA,"Native","Extant","Resident","sp836"
"BZN-AP","Brazil",NA,"Native","Extant","Resident","sp836"
"BZN-RM","Brazil",NA,"Native","Extant","Resident","sp836"
"GF","French Guiana",NA,"Native","Extant","Resident","sp836"
"SR","Suriname",NA,"Native","Extant","Resident","sp836"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp836"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp837"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp837"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp837"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp837"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp838"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp838"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp838"
"BZN-AP","Brazil",NA,"Native","Extant","Resident","sp838"
"GY","Guyana",NA,"Native","Extant","Resident","sp838"
"GF","French Guiana",NA,"Native","Extant","Resident","sp838"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp838"
"BZE-PI","Brazil",NA,"Native","Extant","Resident","sp838"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp838"
"CO","Colombia",NA,"Native","Extant","Resident","sp838"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp838"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp838"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp838"
"SR","Suriname",NA,"Native","Extant","Resident","sp838"
"BZE-RN","Brazil",NA,"Native","Extant","Resident","sp838"
"BZN-RM","Brazil",NA,"Native","Extant","Resident","sp838"
"PE","Peru",NA,"Native","Extant","Resident","sp838"
"VE","Venezuela",NA,"Native","Extant","Resident","sp838"
"BZE-MA","Brazil",NA,"Native","Extant","Resident","sp838"
"BZN-RO","Brazil",NA,"Native","Extant","Resident","sp838"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp839"
"BZE-PB","Brazil",NA,"Native","Extant","Resident","sp839"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp839"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp839"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp839"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp839"
"BZE-RN","Brazil",NA,"Native","Extant","Resident","sp839"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp839"
"BR","Brazil",NA,"Native","Extant","Resident","sp839"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp840"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp840"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp841"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp842"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp842"
"BZN-AP","Brazil",NA,"Native","Extant","Resident","sp842"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp842"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp842"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp842"
"SR","Suriname",NA,"Native","Extant","Resident","sp842"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp843"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp843"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp843"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp843"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp844"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp845"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp845"
"BZN-AP","Brazil",NA,"Native","Extant","Resident","sp845"
"BZN-RO","Brazil",NA,"Native","Extant","Resident","sp845"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp845"
"BZN-PA","Brazil",NA,"Native","Extant","Resident","sp845"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp845"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp845"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp845"
"BZN-AC","Brazil",NA,"Native","Extant","Resident","sp845"
"BR","Brazil",NA,"Native","Extant","Resident","sp845"
"BZE-MA","Brazil",NA,"Native","Extant","Resident","sp845"
"BZN-TO","Brazil",NA,"Native","Extant","Resident","sp845"
"BZC-DF","Brazil",NA,"Native","Extant","Resident","sp845"
"BZE-PI","Brazil",NA,"Native","Extant","Resident","sp846"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp846"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp846"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp846"
"BZE-PB","Brazil",NA,"Native","Extant","Resident","sp846"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp846"
"BZE-RN","Brazil",NA,"Native","Extant","Resident","sp846"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp846"
"BR","Brazil",NA,"Native","Extant","Resident","sp846"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp846"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp847"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp847"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp847"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp848"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp849"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp849"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp849"
"BZE-MA","Brazil",NA,"Native","Extant","Resident","sp849"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp849"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp849"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp849"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp849"
"BR","Brazil",NA,"Native","Extant","Resident","sp849"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp850"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp850"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp850"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp850"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp850"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp850"
"BZE-RN","Brazil",NA,"Native","Extant","Resident","sp850"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp851"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp851"
"BZE-RN","Brazil",NA,"Native","Extant","Resident","sp851"
"BZE-PI","Brazil",NA,"Native","Extant","Resident","sp851"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp851"
"BZE-PB","Brazil",NA,"Native","Extant","Resident","sp851"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp851"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp851"
"BR","Brazil",NA,"Native","Extant","Resident","sp851"
"BZC-MS","Brazil",NA,"Native","Extant","Resident","sp851"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp851"
"BZC-MT","Brazil",NA,"Native","Extant","Resident","sp851"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp851"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp851"
"BZE-BA","Brazil",NA,"Native","Extant","Resident","sp852"
"BZE-SE","Brazil",NA,"Native","Extant","Resident","sp852"
"BZL-MG","Brazil",NA,"Native","Extant","Resident","sp852"
"BZN-TO","Brazil",NA,"Native","Extant","Resident","sp852"
"BZE-CE","Brazil",NA,"Native","Extant","Resident","sp852"
"BZL-RJ","Brazil",NA,"Native","Extant","Resident","sp852"
"BZE-PE","Brazil",NA,"Native","Extant","Resident","sp852"
"BZE-AL","Brazil",NA,"Native","Extant","Resident","sp852"
"BZE-MA","Brazil",NA,"Native","Extant","Resident","sp852"
"BZE-RN","Brazil",NA,"Native","Extant","Resident","sp852"
"BZL-SP","Brazil",NA,"Native","Extant","Resident","sp852"
"BZE-PI","Brazil",NA,"Native","Extant","Resident","sp852"
"BZE-PB","Brazil",NA,"Native","Extant","Resident","sp852"
"BZC-GO","Brazil",NA,"Native","Extant","Resident","sp852"
"BZN-AZ","Brazil",NA,"Native","Extant","Resident","sp852"
"PY","Paraguay",NA,"Native","Extant","Resident","sp852"
"AGE-MI","Argentina",NA,"Native","Extant","Resident","sp852"
"BZL-ES","Brazil",NA,"Native","Extant","Resident","sp852"
"AI","Anguilla",NA,"Native","Extant","Resident","sp852"
"MXS-GR","Mexico",NA,"Native","Extant","Resident","sp852"
"CO","Colombia",NA,"Native","Extant","Resident","sp852"
"CR","Costa Rica",NA,"Native","Extant","Resident","sp852"
"MXE-TA","Mexico",NA,"Native","Extant","Resident","sp852"
"MXC-MO","Mexico",NA,"Native","Extant","Resident","sp852"
"MX","Mexico",NA,"Native","Extant","Resident","sp852"
"MXC-PU","Mexico",NA,"Native","Extant","Resident","sp852"
"MXT-CI","Mexico",NA,"Native","Extant","Resident","sp852"
