"PlantGrowthForms.PlantGrowthFormsSubfield.PlantGrowthFormsLookup","PlantGrowthForms.PlantGrowthFormsSubfield.PlantGrowthFormsName","internal_taxon_id"
"TS","Tree - small","sp2880"
"TS","Tree - small","sp2881"
"SL","Shrub - large","sp2882"
"TL","Tree - large","sp2883"
"TL","Tree - large","sp2884"
"TS","Tree - small","sp2885"
"TL","Tree - large","sp2886"
"TS","Tree - small","sp2887"
"SL","Shrub - large","sp2888"
"TS","Tree - small","sp2889"
"TS","Tree - small","sp2890"
"TL","Tree - large","sp2891"
"TL","Tree - large","sp2892"
"TS","Tree - small","sp2893"
"TS","Tree - small","sp2894"
"TL","Tree - large","sp2895"
"TS","Tree - small","sp2896"
"TS","Tree - small","sp2897"
"TS","Tree - small","sp2898"
"SL","Shrub - large","sp2899"
"TS","Tree - small","sp2900"
"TS","Tree - small","sp2901"
"SL","Shrub - large","sp2902"
"TS","Tree - small","sp2903"
"TL","Tree - large","sp2904"
"SL","Shrub - large","sp2905"
"TS","Tree - small","sp2906"
"SL","Shrub - large","sp2907"
"TS","Tree - small","sp2908"
"TS","Tree - small","sp2909"
"SL","Shrub - large","sp2910"
"TS","Tree - small","sp2911"
"SL","Shrub - large","sp2912"
"T","Tree - size unknown","sp2913"
"TS","Tree - small","sp2914"
"TS","Tree - small","sp2915"
"TS","Tree - small","sp2916"
"T","Tree - size unknown","sp2917"
"TS","Tree - small","sp2918"
"TL","Tree - large","sp2919"
"TS","Tree - small","sp2920"
"TS","Tree - small","sp2921"
"TS","Tree - small","sp2922"
"SL","Shrub - large","sp2923"
"TL","Tree - large","sp2924"
"TS","Tree - small","sp2925"
"TL","Tree - large","sp2926"
"TS","Tree - small","sp2927"
"SL","Shrub - large","sp2928"
"TS","Tree - small","sp2929"
"TS","Tree - small","sp2930"
"TL","Tree - large","sp2931"
"TS","Tree - small","sp2932"
"TS","Tree - small","sp2933"
"TL","Tree - large","sp2934"
"TL","Tree - large","sp2935"
"SL","Shrub - large","sp2936"
"TL","Tree - large","sp2937"
"TL","Tree - large","sp2938"
"TS","Tree - small","sp2939"
"TS","Tree - small","sp2940"
"SL","Shrub - large","sp2941"
"TS","Tree - small","sp2942"
"TS","Tree - small","sp2943"
"SL","Shrub - large","sp2944"
"TS","Tree - small","sp2945"
"TS","Tree - small","sp2946"
"TS","Tree - small","sp2947"
"TS","Tree - small","sp2948"
"TS","Tree - small","sp2949"
"TL","Tree - large","sp2950"
"SL","Shrub - large","sp2951"
"TS","Tree - small","sp2952"
"TS","Tree - small","sp2953"
"TS","Tree - small","sp2954"
"T","Tree - size unknown","sp2955"
"TS","Tree - small","sp2956"
"SL","Shrub - large","sp2957"
"TS","Tree - small","sp2958"
"TS","Tree - small","sp2959"
"TS","Tree - small","sp2960"
"SL","Shrub - large","sp2961"
"TS","Tree - small","sp2962"
"TL","Tree - large","sp2963"
"SL","Shrub - large","sp2964"
"T","Tree - size unknown","sp2965"
"SL","Shrub - large","sp2966"
"TS","Tree - small","sp2967"
"TS","Tree - small","sp2968"
"TL","Tree - large","sp2969"
"TS","Tree - small","sp2970"
"TS","Tree - small","sp2971"
"SL","Shrub - large","sp2972"
"SL","Shrub - large","sp2973"
"TS","Tree - small","sp2974"
"SL","Shrub - large","sp2975"
"TS","Tree - small","sp2976"
"TL","Tree - large","sp2977"
"SL","Shrub - large","sp2978"
"TS","Tree - small","sp2979"
"SL","Shrub - large","sp2980"
"TS","Tree - small","sp2981"
"T","Tree - size unknown","sp2982"
"TS","Tree - small","sp2983"
"TS","Tree - small","sp2984"
"TS","Tree - small","sp2985"
"TL","Tree - large","sp2986"
"TS","Tree - small","sp2987"
"TS","Tree - small","sp2988"
"TS","Tree - small","sp2989"
"TL","Tree - large","sp2990"
"TL","Tree - large","sp2991"
"TS","Tree - small","sp2992"
"TS","Tree - small","sp2993"
"SL","Shrub - large","sp2994"
"TS","Tree - small","sp2995"
"TS","Tree - small","sp2996"
"TL","Tree - large","sp2997"
"TS","Tree - small","sp2998"
"TS","Tree - small","sp2999"
"SL","Shrub - large","sp3000"
"TL","Tree - large","sp3001"
"TS","Tree - small","sp3002"
"TS","Tree - small","sp3003"
"TL","Tree - large","sp3004"
"TS","Tree - small","sp3005"
"TS","Tree - small","sp3006"
"TL","Tree - large","sp3007"
"TS","Tree - small","sp3008"
"SL","Shrub - large","sp3009"
"TS","Tree - small","sp3010"
"SL","Shrub - large","sp3011"
"TS","Tree - small","sp3012"
"TS","Tree - small","sp3013"
"SL","Shrub - large","sp3014"
"TS","Tree - small","sp3015"
"TS","Tree - small","sp3016"
"TL","Tree - large","sp3017"
"SL","Shrub - large","sp3018"
"TL","Tree - large","sp3019"
"TS","Tree - small","sp3020"
"SL","Shrub - large","sp3021"
"TL","Tree - large","sp3022"
"TL","Tree - large","sp3023"
"TS","Tree - small","sp3024"
"SL","Shrub - large","sp3025"
"SL","Shrub - large","sp3026"
"TS","Tree - small","sp3027"
"T","Tree - size unknown","sp3028"
"TL","Tree - large","sp3029"
"TS","Tree - small","sp3030"
"TL","Tree - large","sp3031"
"TS","Tree - small","sp3032"
"TS","Tree - small","sp3033"
"TS","Tree - small","sp3034"
"SL","Shrub - large","sp3035"
"TS","Tree - small","sp3036"
"TS","Tree - small","sp3037"
"TS","Tree - small","sp3038"
"TS","Tree - small","sp3039"
"TS","Tree - small","sp3040"
"SL","Shrub - large","sp3041"
"TS","Tree - small","sp3042"
"TS","Tree - small","sp3043"
"TL","Tree - large","sp3044"
"TS","Tree - small","sp3045"
"TL","Tree - large","sp3046"
"SL","Shrub - large","sp3047"
"TS","Tree - small","sp3048"
"TL","Tree - large","sp3049"
"TS","Tree - small","sp3050"
"TS","Tree - small","sp3051"
"TL","Tree - large","sp3052"
"TS","Tree - small","sp3053"
"TS","Tree - small","sp3054"
"TS","Tree - small","sp3055"
"TS","Tree - small","sp3056"
"TS","Tree - small","sp3057"
"TL","Tree - large","sp3058"
"TL","Tree - large","sp3059"
"TL","Tree - large","sp3060"
"TL","Tree - large","sp3061"
"TS","Tree - small","sp3062"
"TL","Tree - large","sp3063"
"TS","Tree - small","sp3064"
"TS","Tree - small","sp3065"
"TS","Tree - small","sp3066"
"TS","Tree - small","sp3067"
"TS","Tree - small","sp3068"
"TL","Tree - large","sp3069"
"TL","Tree - large","sp3070"
"TS","Tree - small","sp3071"
"TS","Tree - small","sp3072"
"TL","Tree - large","sp3073"
"TL","Tree - large","sp3074"
"TS","Tree - small","sp3075"
"TL","Tree - large","sp3076"
"TS","Tree - small","sp3077"
"TS","Tree - small","sp3078"
"TS","Tree - small","sp3079"
"TL","Tree - large","sp3080"
"TL","Tree - large","sp3081"
"TS","Tree - small","sp3082"
"TS","Tree - small","sp3083"
"TS","Tree - small","sp3084"
"TS","Tree - small","sp3085"
"TS","Tree - small","sp3086"
"TS","Tree - small","sp3087"
"T","Tree - size unknown","sp3088"
"TS","Tree - small","sp3089"
"TL","Tree - large","sp3090"
"SL","Shrub - large","sp3091"
"SL","Shrub - large","sp3092"
"TL","Tree - large","sp3093"
"SL","Shrub - large","sp3094"
"SL","Shrub - large","sp3095"
"SL","Shrub - large","sp3096"
"TL","Tree - large","sp3097"
"TS","Tree - small","sp3098"
"TS","Tree - small","sp3099"
"TS","Tree - small","sp3100"
"TS","Tree - small","sp3101"
"TS","Tree - small","sp3102"
"TL","Tree - large","sp3103"
"T","Tree - size unknown","sp3104"
"TS","Tree - small","sp3105"
"T","Tree - size unknown","sp3106"
"SL","Shrub - large","sp3107"
"TL","Tree - large","sp3108"
"TS","Tree - small","sp3109"
"SL","Shrub - large","sp3110"
"T","Tree - size unknown","sp3111"
"TS","Tree - small","sp3112"
"TS","Tree - small","sp3113"
"TS","Tree - small","sp3114"
"TS","Tree - small","sp3115"
"TS","Tree - small","sp3116"
"TL","Tree - large","sp3117"
"SL","Shrub - large","sp3118"
"TL","Tree - large","sp3119"
"TS","Tree - small","sp3120"
"TL","Tree - large","sp3121"
"TL","Tree - large","sp3122"
"SL","Shrub - large","sp3123"
"TL","Tree - large","sp3124"
"SL","Shrub - large","sp3125"
"SL","Shrub - large","sp3126"
"SL","Shrub - large","sp3127"
"TS","Tree - small","sp3128"
"T","Tree - size unknown","sp3129"
"TS","Tree - small","sp3130"
"TS","Tree - small","sp3131"
"TS","Tree - small","sp3132"
"TS","Tree - small","sp3133"
"TS","Tree - small","sp3134"
"SL","Shrub - large","sp3135"
"T","Tree - size unknown","sp3136"
"TS","Tree - small","sp3137"
"TS","Tree - small","sp3138"
"TS","Tree - small","sp3139"
"TS","Tree - small","sp3140"
"TS","Tree - small","sp3141"
"TS","Tree - small","sp3142"
"TS","Tree - small","sp3143"
"TS","Tree - small","sp3144"
"SL","Shrub - large","sp3145"
"TS","Tree - small","sp3146"
"SL","Shrub - large","sp3147"
"TS","Tree - small","sp3148"
"TL","Tree - large","sp3149"
"TS","Tree - small","sp3150"
"TS","Tree - small","sp3151"
"TS","Tree - small","sp3152"
"TL","Tree - large","sp3153"
"TS","Tree - small","sp3154"
"TL","Tree - large","sp3155"
"SL","Shrub - large","sp3156"
"TS","Tree - small","sp3157"
"TS","Tree - small","sp3158"
"TS","Tree - small","sp3159"
"TS","Tree - small","sp3160"
"TL","Tree - large","sp3161"
"TL","Tree - large","sp3162"
"TS","Tree - small","sp3163"
"TS","Tree - small","sp3164"
"TS","Tree - small","sp3165"
"TS","Tree - small","sp3166"
"TS","Tree - small","sp3167"
"TL","Tree - large","sp3168"
"TL","Tree - large","sp3169"
"TS","Tree - small","sp3170"
"TS","Tree - small","sp3171"
"TS","Tree - small","sp3172"
"TS","Tree - small","sp3173"
"TS","Tree - small","sp3174"
"TS","Tree - small","sp3175"
"TS","Tree - small","sp3176"
"TS","Tree - small","sp3177"
"TS","Tree - small","sp3178"
"TS","Tree - small","sp3179"
"SL","Shrub - large","sp3180"
"TS","Tree - small","sp3181"
"SL","Shrub - large","sp3182"
"TL","Tree - large","sp3183"
"TL","Tree - large","sp3184"
"TL","Tree - large","sp3185"
"TL","Tree - large","sp3186"
"TL","Tree - large","sp3187"
"TL","Tree - large","sp3188"
"SL","Shrub - large","sp3189"
"TL","Tree - large","sp3190"
"TS","Tree - small","sp3191"
"SL","Shrub - large","sp3192"
"TL","Tree - large","sp3193"
"TL","Tree - large","sp3194"
"TL","Tree - large","sp3195"
"TS","Tree - small","sp3196"
"TS","Tree - small","sp3197"
"TS","Tree - small","sp3198"
"TS","Tree - small","sp3199"
"TS","Tree - small","sp3200"
"TS","Tree - small","sp3201"
"SL","Shrub - large","sp3202"
"TS","Tree - small","sp3203"
"SL","Shrub - large","sp3204"
"TS","Tree - small","sp3205"
"SL","Shrub - large","sp3206"
"TL","Tree - large","sp3207"
"TS","Tree - small","sp3208"
"SL","Shrub - large","sp3209"
"TL","Tree - large","sp3210"
"TL","Tree - large","sp3211"
"TL","Tree - large","sp3212"
"TS","Tree - small","sp3213"
"TL","Tree - large","sp3214"
"TL","Tree - large","sp3215"
"TS","Tree - small","sp3216"
"TS","Tree - small","sp3217"
"TL","Tree - large","sp3218"
"TL","Tree - large","sp3219"
"TL","Tree - large","sp3220"
"TL","Tree - large","sp3221"
"TL","Tree - large","sp3222"
"TL","Tree - large","sp3223"
"TL","Tree - large","sp3224"
"TL","Tree - large","sp3225"
"TS","Tree - small","sp3226"
"TS","Tree - small","sp3227"
"TL","Tree - large","sp3228"
"TS","Tree - small","sp3229"
"TS","Tree - small","sp3230"
"TL","Tree - large","sp3231"
"TL","Tree - large","sp3232"
"TS","Tree - small","sp3233"
"TS","Tree - small","sp3234"
"TS","Tree - small","sp3235"
"TS","Tree - small","sp3236"
"TS","Tree - small","sp3237"
"TL","Tree - large","sp3238"
"TS","Tree - small","sp3239"
"TS","Tree - small","sp3240"
"TS","Tree - small","sp3241"
"TS","Tree - small","sp3242"
"TL","Tree - large","sp3243"
"TL","Tree - large","sp3244"
"TL","Tree - large","sp3245"
"TL","Tree - large","sp3246"
"TS","Tree - small","sp3247"
"TS","Tree - small","sp3248"
"SL","Shrub - large","sp3249"
"TS","Tree - small","sp3250"
"TS","Tree - small","sp3251"
"TS","Tree - small","sp3252"
"TL","Tree - large","sp3253"
"TS","Tree - small","sp3254"
"TS","Tree - small","sp3255"
"TL","Tree - large","sp3256"
"TS","Tree - small","sp3257"
"TS","Tree - small","sp3258"
"TL","Tree - large","sp3259"
"TL","Tree - large","sp3260"
"TS","Tree - small","sp3261"
"TS","Tree - small","sp3262"
"TS","Tree - small","sp3263"
"TS","Tree - small","sp3264"
"TS","Tree - small","sp3265"
"TS","Tree - small","sp3266"
"TS","Tree - small","sp3267"
"TS","Tree - small","sp3268"
"TL","Tree - large","sp3269"
"TS","Tree - small","sp3270"
"TL","Tree - large","sp3271"
"TS","Tree - small","sp3272"
"TS","Tree - small","sp3273"
"TL","Tree - large","sp3274"
"TL","Tree - large","sp3275"
"TS","Tree - small","sp3276"
"TL","Tree - large","sp3277"
"TL","Tree - large","sp3278"
"SL","Shrub - large","sp3279"
"TS","Tree - small","sp3280"
"TS","Tree - small","sp3281"
"T","Tree - size unknown","sp3282"
"TS","Tree - small","sp3283"
"TL","Tree - large","sp3284"
"TS","Tree - small","sp3285"
"TL","Tree - large","sp3286"
"TS","Tree - small","sp3287"
"TL","Tree - large","sp3288"
"TS","Tree - small","sp3289"
"TS","Tree - small","sp3290"
"TL","Tree - large","sp3291"
"TL","Tree - large","sp3292"
"TL","Tree - large","sp3293"
"TS","Tree - small","sp3294"
"TL","Tree - large","sp3295"
"TL","Tree - large","sp3296"
"TL","Tree - large","sp3297"
"TS","Tree - small","sp3298"
"TL","Tree - large","sp3299"
"TS","Tree - small","sp3300"
"TL","Tree - large","sp3301"
"TS","Tree - small","sp3302"
"TS","Tree - small","sp3303"
"T","Tree - size unknown","sp3304"
"TL","Tree - large","sp3305"
"TL","Tree - large","sp3306"
"TS","Tree - small","sp3307"
"TL","Tree - large","sp3308"
"TL","Tree - large","sp3309"
"TL","Tree - large","sp3310"
"TL","Tree - large","sp3311"
"TL","Tree - large","sp3312"
"TS","Tree - small","sp3313"
"TL","Tree - large","sp3314"
"TS","Tree - small","sp3315"
"TS","Tree - small","sp3316"
"TL","Tree - large","sp3317"
"TL","Tree - large","sp3318"
"SL","Shrub - large","sp3319"
"TL","Tree - large","sp3320"
"TS","Tree - small","sp3321"
"TL","Tree - large","sp3322"
"TS","Tree - small","sp3323"
"T","Tree - size unknown","sp3324"
"TL","Tree - large","sp3325"
"TS","Tree - small","sp3326"
"TL","Tree - large","sp3327"
"SL","Shrub - large","sp3328"
"TL","Tree - large","sp3329"
"TS","Tree - small","sp3330"
"TS","Tree - small","sp3331"
"TS","Tree - small","sp3332"
"TL","Tree - large","sp3333"
"TL","Tree - large","sp3334"
"TL","Tree - large","sp3335"
"TL","Tree - large","sp3336"
"TL","Tree - large","sp3337"
"TL","Tree - large","sp3338"
"TS","Tree - small","sp3339"
"TS","Tree - small","sp3340"
"TS","Tree - small","sp3341"
"TL","Tree - large","sp3342"
"TS","Tree - small","sp3343"
"TL","Tree - large","sp3344"
"TL","Tree - large","sp3345"
"TL","Tree - large","sp3346"
"TL","Tree - large","sp3347"
"TS","Tree - small","sp3348"
"TL","Tree - large","sp3349"
"TL","Tree - large","sp3350"
"TL","Tree - large","sp3351"
"TL","Tree - large","sp3352"
"TS","Tree - small","sp3353"
"TS","Tree - small","sp3354"
"TS","Tree - small","sp3355"
"TS","Tree - small","sp3356"
"TL","Tree - large","sp3357"
"TS","Tree - small","sp3358"
"TS","Tree - small","sp3359"
"TS","Tree - small","sp3360"
"TL","Tree - large","sp3361"
"TL","Tree - large","sp3362"
"TL","Tree - large","sp3363"
"TL","Tree - large","sp3364"
"TL","Tree - large","sp3365"
"TS","Tree - small","sp3366"
"TS","Tree - small","sp3367"
"TL","Tree - large","sp3368"
"SL","Shrub - large","sp3369"
"TS","Tree - small","sp3370"
"TL","Tree - large","sp3371"
"SL","Shrub - large","sp3372"
"SL","Shrub - large","sp3373"
"TL","Tree - large","sp3374"
"TS","Tree - small","sp3375"
"TS","Tree - small","sp3376"
"TL","Tree - large","sp3377"
"TL","Tree - large","sp3378"
"TS","Tree - small","sp3379"
"TL","Tree - large","sp3380"
"TS","Tree - small","sp3381"
"TS","Tree - small","sp3382"
"TS","Tree - small","sp3383"
"TS","Tree - small","sp3384"
"SL","Shrub - large","sp3385"
"TS","Tree - small","sp3386"
"TL","Tree - large","sp3387"
"TL","Tree - large","sp3388"
"TS","Tree - small","sp3389"
"TS","Tree - small","sp3390"
"SL","Shrub - large","sp3391"
"T","Tree - size unknown","sp3392"
"TS","Tree - small","sp3393"
"SL","Shrub - large","sp3394"
"TS","Tree - small","sp3395"
"TS","Tree - small","sp3396"
"ST","Succulent - tree","sp3397"
"TL","Tree - large","sp3398"
"TS","Tree - small","sp3399"
"TL","Tree - large","sp3400"
"TL","Tree - large","sp3401"
"TS","Tree - small","sp3402"
"TS","Tree - small","sp3403"
"TL","Tree - large","sp3404"
"TL","Tree - large","sp3405"
"TS","Tree - small","sp3406"
"TS","Tree - small","sp3407"
"TS","Tree - small","sp3408"
"TS","Tree - small","sp3409"
"TS","Tree - small","sp3410"
"TL","Tree - large","sp3411"
"TL","Tree - large","sp3412"
"SL","Shrub - large","sp3413"
"SL","Shrub - large","sp3414"
"TS","Tree - small","sp3415"
"SL","Shrub - large","sp3416"
"SL","Shrub - large","sp3417"
"TS","Tree - small","sp3418"
"T","Tree - size unknown","sp3419"
"SL","Shrub - large","sp3420"
"TS","Tree - small","sp3421"
"TS","Tree - small","sp3422"
"SL","Shrub - large","sp3423"
"SL","Shrub - large","sp3424"
"TS","Tree - small","sp3425"
"TS","Tree - small","sp3426"
"TL","Tree - large","sp3427"
"TS","Tree - small","sp3428"
"SL","Shrub - large","sp3429"
"TS","Tree - small","sp3430"
"SL","Shrub - large","sp3431"
"TS","Tree - small","sp3432"
"SL","Shrub - large","sp3433"
"SL","Shrub - large","sp3434"
"SL","Shrub - large","sp3435"
"TL","Tree - large","sp3436"
"TS","Tree - small","sp3437"
"TS","Tree - small","sp3438"
"T","Tree - size unknown","sp3439"
"TS","Tree - small","sp3440"
"TS","Tree - small","sp3441"
"SL","Shrub - large","sp3442"
"TS","Tree - small","sp3443"
"SL","Shrub - large","sp3444"
"SL","Shrub - large","sp3445"
"TS","Tree - small","sp3446"
"T","Tree - size unknown","sp3447"
"SL","Shrub - large","sp3448"
"TL","Tree - large","sp3449"
"TL","Tree - large","sp3450"
"TL","Tree - large","sp3451"
"TS","Tree - small","sp3452"
"TL","Tree - large","sp3453"
"SL","Shrub - large","sp3454"
"T","Tree - size unknown","sp3455"
"TS","Tree - small","sp3456"
"TL","Tree - large","sp3457"
"TS","Tree - small","sp3458"
"TL","Tree - large","sp3459"
"TS","Tree - small","sp3460"
"TS","Tree - small","sp3461"
"SL","Shrub - large","sp3462"
"TL","Tree - large","sp3463"
"SL","Shrub - large","sp3464"
"SL","Shrub - large","sp3465"
"SL","Shrub - large","sp3466"
"TS","Tree - small","sp3467"
"SL","Shrub - large","sp3468"
"TS","Tree - small","sp3469"
"SL","Shrub - large","sp3470"
"SL","Shrub - large","sp3471"
"TS","Tree - small","sp3472"
"SL","Shrub - large","sp3473"
"TS","Tree - small","sp3474"
"TS","Tree - small","sp3475"
"SL","Shrub - large","sp3476"
"SL","Shrub - large","sp3477"
"SL","Shrub - large","sp3478"
"SL","Shrub - large","sp3479"
"SL","Shrub - large","sp3480"
"SL","Shrub - large","sp3481"
"TS","Tree - small","sp3482"
"SL","Shrub - large","sp3483"
"TS","Tree - small","sp3484"
"TS","Tree - small","sp3485"
"SL","Shrub - large","sp3486"
"SL","Shrub - large","sp3487"
"SL","Shrub - large","sp3488"
"SL","Shrub - large","sp3489"
"SL","Shrub - large","sp3490"
"TS","Tree - small","sp3491"
"TS","Tree - small","sp3492"
"SL","Shrub - large","sp3493"
"TS","Tree - small","sp3494"
"SL","Shrub - large","sp3495"
"SL","Shrub - large","sp3496"
"SL","Shrub - large","sp3497"
"TS","Tree - small","sp3498"
"TL","Tree - large","sp3499"
"TS","Tree - small","sp3500"
"SL","Shrub - large","sp3501"
"SL","Shrub - large","sp3502"
"SL","Shrub - large","sp3503"
"TS","Tree - small","sp3504"
"TS","Tree - small","sp3505"
"SL","Shrub - large","sp3506"
"SL","Shrub - large","sp3507"
"SL","Shrub - large","sp3508"
"SL","Shrub - large","sp3509"
"SL","Shrub - large","sp3510"
"SL","Shrub - large","sp3511"
"SL","Shrub - large","sp3512"
"TS","Tree - small","sp3513"
"TL","Tree - large","sp3514"
"TL","Tree - large","sp3515"
"SL","Shrub - large","sp3516"
"SL","Shrub - large","sp3517"
"SL","Shrub - large","sp3518"
"SL","Shrub - large","sp3519"
"TS","Tree - small","sp3520"
"TL","Tree - large","sp3521"
"TL","Tree - large","sp3522"
"TL","Tree - large","sp3523"
"TL","Tree - large","sp3524"
"TS","Tree - small","sp3525"
"TL","Tree - large","sp3526"
"TL","Tree - large","sp3527"
"TL","Tree - large","sp3528"
"TL","Tree - large","sp3529"
"TL","Tree - large","sp3530"
"TS","Tree - small","sp3531"
"TL","Tree - large","sp3532"
"TL","Tree - large","sp3533"
"TL","Tree - large","sp3534"
"TL","Tree - large","sp3535"
"TL","Tree - large","sp3536"
"TL","Tree - large","sp3537"
"TS","Tree - small","sp3538"
"TS","Tree - small","sp3539"
"TL","Tree - large","sp3540"
"TS","Tree - small","sp3541"
"TS","Tree - small","sp3542"
"T","Tree - size unknown","sp3543"
"SL","Shrub - large","sp3544"
"TS","Tree - small","sp3545"
"TS","Tree - small","sp3546"
"TS","Tree - small","sp3547"
"TS","Tree - small","sp3548"
"T","Tree - size unknown","sp3549"
"TS","Tree - small","sp3550"
"TS","Tree - small","sp3551"
"SL","Shrub - large","sp3552"
"TS","Tree - small","sp3553"
"TS","Tree - small","sp3554"
"SL","Shrub - large","sp3555"
"T","Tree - size unknown","sp3556"
"SL","Shrub - large","sp3557"
"TS","Tree - small","sp3558"
"TS","Tree - small","sp3559"
"TS","Tree - small","sp3560"
"TS","Tree - small","sp3561"
"TS","Tree - small","sp3562"
"TS","Tree - small","sp3563"
"SL","Shrub - large","sp3564"
"TL","Tree - large","sp3565"
"TL","Tree - large","sp3566"
"TL","Tree - large","sp3567"
"TL","Tree - large","sp3568"
"TL","Tree - large","sp3569"
"TL","Tree - large","sp3570"
"TL","Tree - large","sp3571"
"TL","Tree - large","sp3572"
"TS","Tree - small","sp3573"
"TL","Tree - large","sp3574"
"TL","Tree - large","sp3575"
"TS","Tree - small","sp3576"
"TL","Tree - large","sp3577"
"TS","Tree - small","sp3578"
"TS","Tree - small","sp3579"
"ST","Succulent - tree","sp3580"
"ST","Succulent - tree","sp3581"
"ST","Succulent - tree","sp3582"
"ST","Succulent - tree","sp3583"
"ST","Succulent - tree","sp3584"
"ST","Succulent - tree","sp3585"
"SL","Shrub - large","sp3586"
"TS","Tree - small","sp3587"
"T","Tree - size unknown","sp3588"
"TS","Tree - small","sp3589"
"TS","Tree - small","sp3590"
"TL","Tree - large","sp3591"
"TS","Tree - small","sp3592"
"TL","Tree - large","sp3593"
"TS","Tree - small","sp3594"
"TS","Tree - small","sp3595"
"TS","Tree - small","sp3596"
"TS","Tree - small","sp3597"
"TS","Tree - small","sp3598"
"TS","Tree - small","sp3599"
"TL","Tree - large","sp3600"
"TL","Tree - large","sp3601"
"T","Tree - size unknown","sp3602"
"SL","Shrub - large","sp3603"
"TS","Tree - small","sp3604"
"TS","Tree - small","sp3605"
"SL","Shrub - large","sp3606"
"TS","Tree - small","sp3607"
"TS","Tree - small","sp3608"
"TS","Tree - small","sp3609"
"TS","Tree - small","sp3610"
"TS","Tree - small","sp3611"
"SL","Shrub - large","sp3612"
"TS","Tree - small","sp3613"
"TL","Tree - large","sp3614"
"TS","Tree - small","sp3615"
"TS","Tree - small","sp3616"
"TL","Tree - large","sp3617"
"SL","Shrub - large","sp3618"
"SL","Shrub - large","sp3619"
"TS","Tree - small","sp3620"
"TS","Tree - small","sp3621"
"SL","Shrub - large","sp3622"
"TS","Tree - small","sp3623"
"TS","Tree - small","sp3624"
"TS","Tree - small","sp3625"
"TS","Tree - small","sp3626"
"TS","Tree - small","sp3627"
"TL","Tree - large","sp3628"
"TS","Tree - small","sp3629"
"TS","Tree - small","sp3630"
"TL","Tree - large","sp3631"
"TS","Tree - small","sp3632"
"TS","Tree - small","sp3633"
"TS","Tree - small","sp3634"
"TS","Tree - small","sp3635"
"TS","Tree - small","sp3636"
"TS","Tree - small","sp3637"
"TS","Tree - small","sp3638"
"TS","Tree - small","sp3639"
"SL","Shrub - large","sp3640"
"TS","Tree - small","sp3641"
"ST","Succulent - tree","sp3642"
"ST","Succulent - tree","sp3643"
"ST","Succulent - tree","sp3644"
"ST","Succulent - tree","sp3645"
"ST","Succulent - tree","sp3646"
"ST","Succulent - tree","sp3647"
"ST","Succulent - tree","sp3648"
"ST","Succulent - tree","sp3649"
"ST","Succulent - tree","sp3650"
"TL","Tree - large","sp3651"
"TS","Tree - small","sp3652"
"SL","Shrub - large","sp3653"
"TS","Tree - small","sp3654"
"SL","Shrub - large","sp3655"
"TS","Tree - small","sp3656"
"SL","Shrub - large","sp3657"
"SL","Shrub - large","sp3658"
"TS","Tree - small","sp3659"
"SL","Shrub - large","sp3660"
"TS","Tree - small","sp3661"
"SL","Shrub - large","sp3662"
"SL","Shrub - large","sp3663"
"SL","Shrub - large","sp3664"
"SL","Shrub - large","sp3665"
"SL","Shrub - large","sp3666"
"SL","Shrub - large","sp3667"
"TS","Tree - small","sp3668"
"SL","Shrub - large","sp3669"
"TS","Tree - small","sp3670"
"SL","Shrub - large","sp3671"
"SL","Shrub - large","sp3672"
"SL","Shrub - large","sp3673"
"SL","Shrub - large","sp3674"
"SL","Shrub - large","sp3675"
"SL","Shrub - large","sp3676"
"TS","Tree - small","sp3677"
"SL","Shrub - large","sp3678"
"SL","Shrub - large","sp3679"
"SL","Shrub - large","sp3680"
"SL","Shrub - large","sp3681"
"SL","Shrub - large","sp3682"
"SL","Shrub - large","sp3683"
"SL","Shrub - large","sp3684"
"TS","Tree - small","sp3685"
"SL","Shrub - large","sp3686"
"SL","Shrub - large","sp3687"
"SL","Shrub - large","sp3688"
"SL","Shrub - large","sp3689"
"SL","Shrub - large","sp3690"
"SL","Shrub - large","sp3691"
"SL","Shrub - large","sp3692"
"TS","Tree - small","sp3693"
"TS","Tree - small","sp3694"
"SL","Shrub - large","sp3695"
"SL","Shrub - large","sp3696"
"SL","Shrub - large","sp3697"
"TL","Tree - large","sp3698"
"SL","Shrub - large","sp3699"
"TS","Tree - small","sp3700"
"TL","Tree - large","sp3701"
"TS","Tree - small","sp3702"
"SL","Shrub - large","sp3703"
"TL","Tree - large","sp3704"
"TL","Tree - large","sp3705"
"TS","Tree - small","sp3706"
"SL","Shrub - large","sp3707"
"T","Tree - size unknown","sp3708"
"TL","Tree - large","sp3709"
"SL","Shrub - large","sp3710"
"TS","Tree - small","sp3711"
"TS","Tree - small","sp3712"
"TL","Tree - large","sp3713"
"TS","Tree - small","sp3714"
"TS","Tree - small","sp3715"
"TS","Tree - small","sp3716"
"SL","Shrub - large","sp3717"
"TL","Tree - large","sp3718"
"TL","Tree - large","sp3719"
"TS","Tree - small","sp3720"
"TS","Tree - small","sp3721"
"TS","Tree - small","sp3722"
"TS","Tree - small","sp3723"
"TL","Tree - large","sp3724"
"TL","Tree - large","sp3725"
"TL","Tree - large","sp3726"
"TL","Tree - large","sp3727"
"TL","Tree - large","sp3728"
"TL","Tree - large","sp3729"
"TS","Tree - small","sp3730"
"TS","Tree - small","sp3731"
"TS","Tree - small","sp3732"
