"infraType","infrarankAuthor","infrarankName","internal_taxon_id","name","speciesAuthor","speciesName","source.info"
"var.","Müll.Arg.","tomentosa","sp17","Acalypha communis var. tomentosa Müll.Arg.","","Acalypha communis","Brazilian_Flora_Online_v.393.285"
"","","","sp17","Acalypha cordobensis Müll.Arg.","Müll.Arg.","Acalypha cordobensis","Brazilian_Flora_Online_v.393.285"
"var.","Griseb.","rotundata","sp17","Acalypha cordobensis var. rotundata Griseb.","","Acalypha cordobensis","Brazilian_Flora_Online_v.393.285"
"","","","sp17","Acalypha cordoviensis Müll.Arg.","Müll.Arg.","Acalypha cordoviensis","Brazilian_Flora_Online_v.393.285"
"","","","sp17","Acalypha hirta Spreng.","Spreng.","Acalypha hirta","Brazilian_Flora_Online_v.393.285"
"","","","sp17","Acalypha humilis Pax & K.Hoffm.","Pax & K.Hoffm.","Acalypha humilis","Brazilian_Flora_Online_v.393.285"
"","","","sp17","Acalypha montevidensis Klotzsch ex Pax & K.Hoffm.","Klotzsch ex Pax & K.Hoffm.","Acalypha montevidensis","Brazilian_Flora_Online_v.393.285"
"","","","sp17","Acalypha paraguariensis Chodat & Hassl.","Chodat & Hassl.","Acalypha paraguariensis","Brazilian_Flora_Online_v.393.285"
"","","","sp17","Acalypha pilifera Klotzsch ex Baill.","Klotzsch ex Baill.","Acalypha pilifera","Brazilian_Flora_Online_v.393.285"
"","","","sp17","Acalypha urticoides Klotzsch ex Baill.","Klotzsch ex Baill.","Acalypha urticoides","Brazilian_Flora_Online_v.393.285"
"","","","sp17","Acalypha variabilis Klotzsch ex Baill.","Klotzsch ex Baill.","Acalypha variabilis","Brazilian_Flora_Online_v.393.285"
"var.","Baill.","albescens","sp17","Acalypha variabilis var. albescens Baill.","","Acalypha variabilis","Brazilian_Flora_Online_v.393.285"
"var.","Baill.","angustifolia","sp17","Acalypha variabilis var. angustifolia Baill.","","Acalypha variabilis","Brazilian_Flora_Online_v.393.285"
"var.","Baill.","elliptica","sp17","Acalypha variabilis var. elliptica Baill.","","Acalypha variabilis","Brazilian_Flora_Online_v.393.285"
"var.","Baill.","longifolia","sp17","Acalypha variabilis var. longifolia Baill.","","Acalypha variabilis","Brazilian_Flora_Online_v.393.285"
"var.","Baill.","urticoides","sp17","Acalypha variabilis var. urticoides Baill.","","Acalypha variabilis","Brazilian_Flora_Online_v.393.285"
"","","","sp17","Acalypha virgata Vell.","Vell.","Acalypha virgata","Brazilian_Flora_Online_v.393.285"
"","","","sp18","Acalypha prunifolia Nees & Mart.","Nees & Mart.","Acalypha prunifolia","Brazilian_Flora_Online_v.393.285"
"","","","sp18","Acalypha castaneifolia Poepp. ex Pax & K.Hoffm.","Poepp. ex Pax & K.Hoffm.","Acalypha castaneifolia","Brazilian_Flora_Online_v.393.285"
"var.","Müll.Arg.","genuina","sp18","Acalypha cuneata var. genuina Müll.Arg.","","Acalypha cuneata","Brazilian_Flora_Online_v.393.285"
"var.","(Benth.) Müll.Arg.","obovata","sp18","Acalypha cuneata var. obovata (Benth.) Müll.Arg.","","Acalypha cuneata","Brazilian_Flora_Online_v.393.285"
"","","","sp18","Acalypha eggersii Pax","Pax","Acalypha eggersii","Brazilian_Flora_Online_v.393.285"
"","","","sp18","Acalypha longifolia Baill.","Baill.","Acalypha longifolia","Brazilian_Flora_Online_v.393.285"
"","","","sp18","Acalypha obovata Benth.","Benth.","Acalypha obovata","Brazilian_Flora_Online_v.393.285"
"var.","(Poepp.) J.F.Macbr.","cuneata","sp18","Acalypha obovata var. cuneata (Poepp.) J.F.Macbr.","","Acalypha obovata","Brazilian_Flora_Online_v.393.285"
"","","","sp19","Acalypha betuloides Pav. ex Klotzsch","Pav. ex Klotzsch","Acalypha betuloides","Brazilian_Flora_Online_v.393.285"
"","","","sp19","Acalypha billbergiana Klotzsch","Klotzsch","Acalypha billbergiana","Brazilian_Flora_Online_v.393.285"
"var.","Britton ex Pax & K.Hoffm.","glabra","sp19","Acalypha callosa var. glabra Britton ex Pax & K.Hoffm.","","Acalypha callosa","Brazilian_Flora_Online_v.393.285"
"","","","sp19","Acalypha carpinifolia Poepp. ex Seem.","Poepp. ex Seem.","Acalypha carpinifolia","Brazilian_Flora_Online_v.393.285"
