"internal_taxon_id","language","name","primary"
"sp137","Portuguese","Veadinho","false"
"sp139","Portuguese","Baga-De-Morcego","false"
"sp139","Portuguese","Chal-Chal","false"
"sp139","Portuguese","Fruta-Do-Faraó","false"
"sp139","Portuguese","Murici-Brava","false"
"sp139","Portuguese","Perta-Cu","false"
"sp139","Portuguese","Timbó-Mirim","false"
"sp143","Portuguese","Alma-Da-Serra","false"
"sp143","Portuguese","Quina-De-São-Paulo","false"
"sp143","Portuguese","Tarumã","false"
"sp145","Portuguese","Canela-De-Veado","false"
"sp145","Portuguese","Cravo-Do-Mato","false"
"sp145","Portuguese","Escorrega-Macaco","false"
"sp145","Portuguese","Goiabeira-Braba","false"
"sp145","Portuguese","Pau-Mole","false"
"sp145","Portuguese","Pelada","false"
"sp145","Portuguese","Rim-De-Veado","false"
"sp146","Portuguese","Goiabinha","false"
"sp152","Portuguese","Apuruizinho Do Mato","false"
"sp152","Portuguese","Canela De Veado","false"
"sp152","Portuguese","Cedro Bravo","false"
"sp153","Portuguese","Carvoeiro, Pau-Carvão, Cinzeiro","false"
"sp153","Portuguese","Marmelada-Brava, Canela-De-Veado","false"
"sp153","Portuguese","Pimentão, Guapeva-Forte","false"
"sp155","Portuguese","Côco-Anta","false"
"sp155","Portuguese","Jitaí-Amarelo","false"
"sp155","Portuguese","Carrapatinho","false"
"sp155","Portuguese","Sapupeminha","false"
"sp156","Portuguese","Cerejeira","false"
"sp156","Portuguese","Cumaru De Cheiro","false"
"sp157","Portuguese","Mentira","false"
"sp159","Portuguese","Caju-Do-Cerrado","false"
"sp159","Portuguese","Cajuzinho-Do-Cerrado","false"
"sp159","Portuguese","Caju-Anão","false"
"sp159","Portuguese","Caju-Do-Campo","false"
"sp159","Portuguese","Cajuí","false"
"sp159","Portuguese","Cajuhy","false"
"sp159","Portuguese","Caju-Mirim","false"
"sp159","Portuguese","Caju-Rasteiro","false"
"sp159","Portuguese","Cajuzinho","false"
"sp159","Portuguese","Cajuzinho-Do-Campo","false"
"sp160","Portuguese","Acajaiba","false"
"sp160","Portuguese","Caju","false"
"sp160","Portuguese","Caju-Anão","false"
"sp160","Portuguese","Cajueiro","false"
"sp163","Portuguese","Aratiaeum Brabo","false"
"sp163","Portuguese","Paixinho","false"
"sp164","Portuguese","Pindahyba","false"
"sp177","Portuguese","Perema, Tapacirica, Tapaciriba, Mulher Pobre, Cabelo De Negro","false"
"sp179","Portuguese","Alecrim-Do-Campo","false"
"sp179","Portuguese","Catuaba","false"
"sp179","Portuguese","Catuaba-Verdadeira","false"
"sp179","Portuguese","Catuabinha","false"
"sp180","Portuguese","Gramirim-Café","false"
"sp181","Portuguese","Canelão","false"
"sp181","Portuguese","Louro - Inamuí","false"
"sp187","Portuguese","Canela De Mono","false"
"sp190","Portuguese","Guiné","false"
"sp190","Portuguese","Guiné Caboclo","false"
"sp190","Portuguese","Raiz De Guiné","false"
"sp190","Portuguese","Pau De Guiné","false"
"sp191","Portuguese","Pinha Do Mato","false"
"sp194","Portuguese","Araticum","false"
"sp194","Portuguese","Marolinho","false"
"sp195","South American Indian (Other)","Acanga","false"
"sp195","Portuguese","Araticum","false"
"sp195","Portuguese","Araticum Do Mata","false"
"sp195","South American Indian (Other)","Tapanahuacanga","false"
"sp197","Portuguese","Ata Rasteira","false"
"sp197","Portuguese","Marolo","false"
"sp198","Portuguese","Araticum","false"
"sp198","Portuguese","Ata","false"
"sp198","Portuguese","Araticú","false"
"sp198","Portuguese","Biribá Do Mato","false"
"sp198","Portuguese","Pinha Do Mato","false"
"sp201","Portuguese","Araticum-Do-Brejo","false"
"sp201","Portuguese","Araticum-Cortiça","false"
"sp201","Portuguese","Araticum-Da-Praia","false"
"sp201","Portuguese","Araticum-De-Jangada","false"
"sp203","Portuguese","Araticum","false"
"sp203","Portuguese","Ata Brava","false"
"sp203","Portuguese","Banana De Macaco","false"
"sp203","Portuguese","Bananinha","false"
"sp203","Portuguese","Bananinha De Macaco","false"
"sp203","Portuguese","Bananinha De Quemquem","false"
"sp203","Portuguese","Fruta De Macaco","false"
"sp203","Portuguese","Pereiro","false"
"sp204","South American Indian (Other)","Araxiku'y","false"
"sp204","Portuguese","Jaca De Pobre","false"
"sp204","Portuguese","Araticum","false"
"sp204","Portuguese","Araticum-Cagão","false"
"sp205","Portuguese","Araticum","false"
"sp205","Portuguese","Biribá","false"
"sp205","Portuguese","Condessa","false"
"sp205","Portuguese","Fructa Da Komdessa","false"
"sp205","Portuguese","Fruta De Conde","false"
"sp205","Portuguese","Fruta De Condessa","false"
"sp205","Portuguese","Graviola Brava","false"
"sp207","Portuguese","Vaovír","false"
"sp208","Portuguese","Araticum","false"
"sp209","Portuguese","Embira Preta","false"
"sp209","Portuguese","Embua-Preta","false"
"sp210","Portuguese","Araticum","false"
"sp210","Portuguese","Pinaíba","false"
"sp210","Portuguese","Araticum-Da-Mata","false"
"sp210","Portuguese","Araticum-Apé","false"
"sp210","Portuguese","Araticum-Vermelho","false"
"sp210","Portuguese","Oiti-Apé","false"
"sp211","Portuguese","Affenbeeren","false"
"sp211","Portuguese","Alchexú","false"
"sp211","Portuguese","Araticú","false"
"sp211","Portuguese","Araticú Do Mata","false"
"sp211","Portuguese","Araticum","false"
"sp211","Portuguese","Araticum Grande","false"
"sp211","Portuguese","Bananinha","false"
"sp211","Portuguese","Biribá","false"
"sp211","Portuguese","Cortiça","false"
"sp211","Portuguese","Cortiça De Comer","false"
"sp211","Portuguese","Embira Vermelha","false"
"sp211","Portuguese","Pinha","false"
"sp212","Portuguese","Araticum","false"
"sp212","Portuguese","Araticunzinho","false"
"sp212","Portuguese","Atinha","false"
"sp213","Portuguese","Pinha Da Caatinga","false"
"sp213","Portuguese","Araticum","false"
"sp215","Portuguese","Araticum Cagão","false"
"sp219","Portuguese","Ariquena Queimosa","false"
"sp219","Portuguese","Marmelo","false"
"sp219","Portuguese","Marmeleiro","false"
"sp219","Portuguese","Morocototó","false"
"sp219","Portuguese","Tapiá-Branco","false"
"sp219","Portuguese","Tapiá-Guaçu","false"
"sp219","Portuguese","Ara-Ky Y","false"
"sp219","Portuguese","Lava-Prato-Branco","false"
"sp219","Portuguese","Velame","false"
"sp219","Portuguese","Marmeleira","false"
"sp219","Portuguese","Pau-De-Facho","false"
"sp220","Portuguese","Pau-De-Jangada","false"
"sp220","Portuguese","Pente-De-Macaco","false"
"sp220","Portuguese","Jangada","false"
"sp222","Portuguese","Jangada","false"
"sp222","Portuguese","Malva Pente De Macaco","false"
"sp222","Portuguese","Pente De Macaco","false"
"sp223","Portuguese","Canela-De-Jacomi","false"
"sp223","Portuguese","Erva-De-Gado","false"
"sp224","Portuguese","Castanha De Cutia","false"
"sp225","Portuguese","Grapiá","false"
"sp225","Portuguese","Grapiapunha","false"
"sp225","Portuguese","Garapa-Branca","false"
"sp225","Portuguese","Garapa","false"
"sp225","Portuguese","Garapeira","false"
"sp225","Portuguese","Mulateira","false"
"sp225","Portuguese","Cumaru-Cetim","false"
"sp225","Portuguese","Cumaru-Ferro","false"
"sp225","Portuguese","Muirajuba","false"
"sp225","Portuguese","Muiratauá","false"
"sp225","Portuguese","Mitaroá","false"
"sp225","Portuguese","Amarelão","false"
"sp225","Portuguese","Amarelo","false"
