"family","species","endemism.level.1","endemism.level.2","endemic","endemic.BR"
"Fabaceae","Abarema auriculata",2.631579,2.702703,"occasional","not_endemic"
"Fabaceae","Abarema barnebyana",100,100,"endemic","endemic"
"Fabaceae","Abarema brachystachya",95.780591,95.412844,"endemic","endemic"
"Fabaceae","Abarema cochleata",0.754717,0.790514,"occasional","endemic"
"Fabaceae","Abarema cochliacarpos",86.965377,86.582809,"endemic","endemic"
"Fabaceae","Abarema filamentosa",99.395161,99.390244,"endemic","endemic"
"Fabaceae","Abarema jupunba",9,9.392265,"occasional","not_endemic"
"Fabaceae","Abarema laeta",0.900901,0.925926,"occasional","not_endemic"
"Fabaceae","Abarema langsdorffii",100,100,"endemic","endemic"
"Fabaceae","Abarema limae",100,100,"endemic","endemic"
"Fabaceae","Abarema turbinata",100,100,"endemic","endemic"
"Fabaceae","Abarema villosa",48.275862,48.275862,"widespread_sparse","endemic"
"Salicaceae","Abatia americana",99.415205,99.047619,"endemic","endemic"
"Malvaceae","Abutilon grandifolium",7.246377,4.255319,"occasional","not_endemic"
"Malvaceae","Abutilon ramiflorum",25.342466,14.150943,"widespread_sparse","not_endemic"
"Euphorbiaceae","Acalypha brasiliensis",84.409449,86.290323,"widespread_common","not_endemic"
"Euphorbiaceae","Acalypha communis",39.280125,25.503356,"widespread_sparse","not_endemic"
"Euphorbiaceae","Acalypha cuneata",3.807391,3.476246,"occasional","not_endemic"
"Euphorbiaceae","Acalypha diversifolia",0.917431,1.036096,"occasional","not_endemic"
"Euphorbiaceae","Acalypha gracilis",85.383244,83.773585,"widespread_common","endemic"
"Euphorbiaceae","Acalypha macrostachya",0.497925,0.371575,"occasional","not_endemic"
"Euphorbiaceae","Acalypha multicaulis",32.512315,27.508091,"widespread_sparse","not_endemic"
"Euphorbiaceae","Acalypha villosa",3.00158,3.278689,"occasional","endemic"
"Polygalaceae","Acanthocladus brasiliensis",92.753623,94.545455,"endemic","endemic"
"Polygalaceae","Acanthocladus dichromus",36.486486,29.508197,"widespread_sparse","not_endemic"
"Polygalaceae","Acanthocladus pulcherrimus",100,100,"endemic","endemic"
"Polygalaceae","Acanthocladus santosii",100,100,"endemic","endemic"
"Santalaceae","Acanthosyris paulo-alvinii",100,100,"widespread_common","endemic"
"Santalaceae","Acanthosyris spinescens",NA,NA,"not_endemic","not_endemic"
"Myrtaceae","Accara elegans",76.136364,76.136364,"widespread_common","endemic"
"Achatocarpaceae","Achatocarpus hasslerianus",100,100,"endemic",NA
"Achatocarpaceae","Achatocarpus praecox",NA,NA,"not_endemic","not_endemic"
"Fabaceae","Acosmium diffusissimum",66.666667,66.666667,"widespread_common","endemic"
"Fabaceae","Acosmium lentiscifolium",97.810219,97.709924,"endemic","endemic"
"Asteraceae","Acritopappus confertus",51.149425,47.770701,"widespread_sparse","endemic"
"Asteraceae","Acritopappus connatifolius",75,75,"widespread_common","endemic"
"Asteraceae","Acritopappus heterolepis",63.333333,61.403509,"widespread_common","endemic"
"Asteraceae","Acritopappus prunifolius",45.454545,45.454545,"widespread_sparse","endemic"
"Arecaceae","Acrocomia aculeata",10.037175,12.643678,"occasional","not_endemic"
"Arecaceae","Acrocomia intumescens",93.333333,85.714286,"endemic","endemic"
"Poaceae","Actinocladum verticillatum",5.625,5.625,"occasional","not_endemic"
"Euphorbiaceae","Actinostemon appendiculatus",100,100,"endemic","endemic"
"Euphorbiaceae","Actinostemon concepcionis",50,50.561798,"widespread_common","not_endemic"
"Euphorbiaceae","Actinostemon concolor",80.493537,78.543307,"widespread_common","not_endemic"
"Euphorbiaceae","Actinostemon echinatus",100,100,"endemic","endemic"
"Euphorbiaceae","Actinostemon klotzschii",88.192771,89.265537,"endemic","not_endemic"
"Euphorbiaceae","Actinostemon roseliae",100,100,"endemic","endemic"
"Euphorbiaceae","Actinostemon verticillatus",93.040293,93.061224,"endemic","endemic"
"Euphorbiaceae","Adelia membranifolia",33.333333,31.578947,"widespread_sparse","not_endemic"
"Bignoniaceae","Adenocalymma subsessilifolium",100,100,"endemic","endemic"
"Euphorbiaceae","Adenophaedra megalophylla",95.833333,100,"endemic","not_endemic"
"Lamiaceae","Aegiphila australis",100,100,"endemic","endemic"
"Lamiaceae","Aegiphila brachiata",81.403509,69.18239,"widespread_common","not_endemic"
"Lamiaceae","Aegiphila fluminensis",99.130435,98.734177,"endemic","endemic"
"Lamiaceae","Aegiphila graveolens",88.571429,88.571429,"endemic","endemic"
"Lamiaceae","Aegiphila integrifolia",46.998536,42.291221,"widespread_sparse","not_endemic"
"Lamiaceae","Aegiphila laevis",7.619048,16,"widespread_sparse","not_endemic"
"Lamiaceae","Aegiphila luschnathii",100,100,"endemic","endemic"
"Lamiaceae","Aegiphila mediterranea",92.592593,93.181818,"endemic","not_endemic"
"Lamiaceae","Aegiphila novofriburgensis",100,100,"endemic","endemic"
"Lamiaceae","Aegiphila obducta",98.159509,98.630137,"endemic","endemic"
"Lamiaceae","Aegiphila pernambucensis",94.202899,94.871795,"endemic","endemic"
"Lamiaceae","Aegiphila racemosa",17.948718,17.117117,"widespread_sparse","not_endemic"
"Lamiaceae","Aegiphila riedeliana",63.636364,63.636364,"endemic","endemic"
"Lamiaceae","Aegiphila verticillata",42.100098,43.611794,"widespread_sparse","not_endemic"
"Lamiaceae","Aegiphila vitelliniflora",55.555556,54.243542,"widespread_common","not_endemic"
"Malpighiaceae","Aenigmatanthera lasiandra",0.843882,0.858369,"occasional","not_endemic"
"Fabaceae","Aeschynomene ciliata",22.047244,24.778761,"widespread_sparse","not_endemic"
"Fabaceae","Aeschynomene sensitiva",18.503937,18.500797,"widespread_sparse","not_endemic"
"Ericaceae","Agarista coriifolia",52.459016,48.447205,"widespread_sparse","endemic"
"Ericaceae","Agarista eucalyptoides",51.428571,47.916667,"widespread_sparse","not_endemic"
"Ericaceae","Agarista glaberrima",42.176871,40.714286,"widespread_sparse","endemic"
"Ericaceae","Agarista minensis",100,100,"endemic","endemic"
"Ericaceae","Agarista niederleinii",96.744186,95.757576,"endemic","endemic"
"Ericaceae","Agarista oleifolia",70.680628,71.505376,"widespread_common","endemic"
"Ericaceae","Agarista pulchella",78.169014,74.545455,"widespread_common","endemic"
"Ericaceae","Agarista pulchra",83.823529,83.823529,"widespread_common","endemic"
"Ericaceae","Agarista revoluta",94.117647,95.384615,"endemic","endemic"
"Ericaceae","Agarista uleana",100,100,"endemic","endemic"
"Opiliaceae","Agonandra excelsa",52,51.785714,"widespread_common","not_endemic"
"Opiliaceae","Agonandra fluminensis",100,100,"endemic","endemic"
"Lauraceae","Aiouea acarodomatifera",100,100,"endemic","endemic"
"Lauraceae","Aiouea glaziovii",96.774194,98.734177,"endemic","endemic"
"Lauraceae","Aiouea hirsuta",100,100,"endemic","endemic"
"Lauraceae","Aiouea laevis",13.043478,14.285714,"occasional","not_endemic"
"Lauraceae","Aiouea montana",77.714286,78.612717,"widespread_common",NA
"Lauraceae","Aiouea rubrinervia",80,80,"widespread_common","endemic"
"Lauraceae","Aiouea saligna",84.401709,84.705882,"widespread_common","endemic"
"Lauraceae","Aiouea trinervis",9.160305,9.366391,"occasional","not_endemic"
"Arecaceae","Aiphanes horrida",4.255319,4.545455,"occasional","endemic"
"Malvaceae","Akrosida macrophylla",100,100,"endemic","endemic"
"Sapindaceae","Alatococcus siqueirae",100,100,"endemic","endemic"
"Asteraceae","Albertinia brasiliensis",87.878788,88.172043,"endemic","endemic"
"Fabaceae","Albizia burkartiana",100,100,"endemic","endemic"
"Fabaceae","Albizia duckeana",16.666667,16.666667,"widespread_sparse","not_endemic"
"Fabaceae","Albizia edwallii",92.028986,91.891892,"endemic","not_endemic"
"Fabaceae","Albizia inundata",3.88601,4.043127,"occasional","not_endemic"
"Fabaceae","Albizia niopoides",21.386139,21.609195,"widespread_sparse","not_endemic"
"Fabaceae","Albizia pedicellaris",66.666667,66.984127,"widespread_common","not_endemic"
"Fabaceae","Albizia polycephala",67.799353,67.615658,"widespread_common","endemic"
"Euphorbiaceae","Alchornea castaneifolia",8.474576,9.433962,"occasional","not_endemic"
"Euphorbiaceae","Alchornea discolor",0.473934,0.561798,"occasional","not_endemic"
"Euphorbiaceae","Alchornea glandulosa",46.853933,38.56,"widespread_sparse","not_endemic"
"Euphorbiaceae","Alchornea sidifolia",99.029126,98.245614,"endemic","not_endemic"
"Euphorbiaceae","Alchornea triplinervia",64.932432,54.994512,"widespread_common","not_endemic"
"Euphorbiaceae","Algernonia bahiensis",100,100,"endemic","endemic"
"Euphorbiaceae","Algernonia brasiliensis",100,100,"endemic","endemic"
"Euphorbiaceae","Algernonia dimitrii",100,100,"endemic","endemic"
"Euphorbiaceae","Algernonia gibbosa",NA,NA,"endemic","endemic"
"Euphorbiaceae","Algernonia glazioui",100,100,"endemic","endemic"
"Euphorbiaceae","Algernonia kuhlmannii",100,100,"endemic","endemic"
"Euphorbiaceae","Algernonia leandrii",100,100,"endemic","endemic"
"Euphorbiaceae","Algernonia obovata",96,95.238095,"endemic","endemic"
"Euphorbiaceae","Algernonia pardina",100,100,"endemic",NA
"Euphorbiaceae","Algernonia paulae",100,100,"endemic","endemic"
"Euphorbiaceae","Algernonia riedelii",100,100,"endemic","endemic"
"Myrtaceae","Algrizea minor",10.638298,11.111111,"occasional","endemic"
"Rubiaceae","Alibertia baiana",97.777778,97.777778,"endemic",NA
"Rubiaceae","Alibertia edulis",2.88162,3.361345,"occasional","not_endemic"
"Arecaceae","Allagoptera campestris",20.987654,15.52795,"widespread_sparse","not_endemic"
"Arecaceae","Allagoptera caudescens",100,100,"endemic","endemic"
"Apocynaceae","Allamanda blanchetii",15.841584,17.333333,"widespread_sparse","endemic"
"Sapindaceae","Allophylus dioicus",15.384615,15.384615,"widespread_sparse","endemic"
"Sapindaceae","Allophylus edulis",69.571865,71.13031,"widespread_common","not_endemic"
"Sapindaceae","Allophylus exappendiculatus",NA,NA,"endemic","endemic"
"Sapindaceae","Allophylus guaraniticus",87.971698,87.279152,"endemic","not_endemic"
"Sapindaceae","Allophylus heterophyllus",100,100,"endemic","endemic"
"Sapindaceae","Allophylus leucoclados",86.27451,86,"endemic","endemic"
"Sapindaceae","Allophylus melanophloeus",98.823529,100,"endemic","endemic"
"Sapindaceae","Allophylus membranifolius",87.5,83.333333,"endemic","endemic"
"Sapindaceae","Allophylus pauciflorus",6.185567,5.063291,"occasional","not_endemic"
"Sapindaceae","Allophylus peruvianus",5.714286,6.666667,"occasional","not_endemic"
"Sapindaceae","Allophylus petiolulatus",97.415186,97.302905,"endemic","not_endemic"
"Sapindaceae","Allophylus puberulus",82.697947,86.086957,"widespread_common","endemic"
"Sapindaceae","Allophylus quercifolius",4.109589,5.454545,"occasional","endemic"
"Sapindaceae","Allophylus racemosus",24.470135,49.202733,"widespread_sparse","not_endemic"
"Sapindaceae","Allophylus semidentatus",61.594203,63.117871,"widespread_common","not_endemic"
"Sapindaceae","Allophylus strictus",2.222222,3.26087,"occasional","not_endemic"
"Verbenaceae","Aloysia gratissima",18.760757,16.129032,"widespread_sparse","not_endemic"
"Verbenaceae","Aloysia oblanceolata",66.666667,35.294118,"widespread_sparse","endemic"
"Verbenaceae","Aloysia virgata",48.923611,44.347826,"widespread_sparse","not_endemic"
"Rubiaceae","Alseis floribunda",86.172345,83.838384,"widespread_common","not_endemic"
"Rubiaceae","Alseis involuta",96.428571,100,"endemic","endemic"
"Rubiaceae","Alseis latifolia",45,45,"widespread_sparse","endemic"
"Rubiaceae","Alseis pickelii",93.401015,92.73743,"endemic","endemic"
"Cyatheaceae","Alsophila capensis",96.666667,95.714286,"endemic","not_endemic"
"Cyatheaceae","Alsophila cuspidata",NA,NA,"not_endemic","not_endemic"
"Cyatheaceae","Alsophila setosa",96.619718,96.932515,"endemic","not_endemic"
"Cyatheaceae","Alsophila sternbergii",71.782178,70.108696,"widespread_common","endemic"
"Poaceae","Alvimia auriculata",100,100,"endemic","endemic"
"Poaceae","Alvimia gracilis",100,100,"endemic","endemic"
"Poaceae","Alvimia lancifolia",100,100,"endemic","endemic"
"Rubiaceae","Amaioua glomerulata",7.017544,6.756757,"occasional","not_endemic"
"Rubiaceae","Amaioua guianensis",27.92696,24.570025,"widespread_sparse","not_endemic"
"Rubiaceae","Amaioua intermedia",71.758665,71.727019,"widespread_common","not_endemic"
"Rubiaceae","Amaioua pilosa",92.307692,92.307692,"endemic","endemic"
"Phyllanthaceae","Amanoa guianensis",20.338983,13.157895,"widespread_sparse","not_endemic"
"Fabaceae","Amburana cearensis",14.501511,16.666667,"widespread_sparse","not_endemic"
"Ulmaceae","Ampelocera glabra",94.871795,100,"endemic","endemic"
"Violaceae","Amphirrhox longifolia",22.180451,26.811594,"widespread_sparse","not_endemic"
"Anacardiaceae","Anacardium humile",12.322946,14.744802,"occasional","not_endemic"
"Anacardiaceae","Anacardium occidentale",28.169014,28.093023,"widespread_sparse","not_endemic"
"Fabaceae","Anadenanthera colubrina",29.046952,27.773001,"widespread_sparse","not_endemic"
"Fabaceae","Anadenanthera peregrina",37.089716,40.41721,"widespread_sparse","not_endemic"
"Annonaceae","Anaxagorea dolichocarpa",40.079365,35.123043,"widespread_sparse","not_endemic"
"Annonaceae","Anaxagorea silvatica",100,100,"endemic","endemic"
"Fabaceae","Andira anthelmia",94.117647,94.845361,"endemic","endemic"
"Fabaceae","Andira carvalhoi",100,100,"endemic","endemic"
"Fabaceae","Andira cordata",4.958678,6.060606,"occasional","endemic"
"Fabaceae","Andira fraxinifolia",86.953353,85.896414,"endemic","endemic"
"Fabaceae","Andira humilis",20.854701,23.721881,"widespread_sparse","endemic"
"Fabaceae","Andira inermis",1.717791,2.380952,"occasional","endemic"
"Fabaceae","Andira legalis",96.842105,96.73913,"endemic","endemic"
"Fabaceae","Andira marauensis",100,100,"endemic","endemic"
"Fabaceae","Andira nitida",98.123324,97.959184,"endemic","endemic"
"Fabaceae","Andira ormosioides",93.82716,95,"endemic","endemic"
"Fabaceae","Andira surinamensis",5.62249,6.57277,"occasional","not_endemic"
"Fabaceae","Andira vermifuga",5.943152,6.424581,"occasional","not_endemic"
"Nyctaginaceae","Andradea floribunda",100,100,"endemic","endemic"
"Rutaceae","Andreadoxa flava",100,100,"endemic","endemic"
"Bignoniaceae","Anemopaegma arvense",10.769231,9.144543,"occasional","not_endemic"
"Rutaceae","Angostura bracteata",99.145299,99.145299,"endemic","endemic"
"Lauraceae","Aniba canelilla",12.048193,14.084507,"occasional","endemic"
"Lauraceae","Aniba desertorum",12.621359,12.871287,"occasional","not_endemic"
"Lauraceae","Aniba firmula",96.204033,96.291718,"endemic","endemic"
"Lauraceae","Aniba heringeri",12.077295,12.195122,"occasional","endemic"
"Lauraceae","Aniba intermedia",100,100,"endemic","endemic"
"Lauraceae","Aniba pedicellata",100,100,"endemic","endemic"
"Lauraceae","Aniba viridis",100,100,"endemic","endemic"
"Acanthaceae","Anisacanthus trilobus",6.329114,7.462687,"occasional","endemic"
"Capparaceae","Anisocapparis speciosa",0.854701,1.265823,"occasional","not_endemic"
"Annonaceae","Annona acutiflora",100,100,"endemic","endemic"
"Annonaceae","Annona bahiensis",100,100,"endemic","endemic"
"Annonaceae","Annona cacans",90.17094,87.709497,"endemic","not_endemic"
"Annonaceae","Annona calophylla",100,100,"endemic",NA
"Annonaceae","Annona campestris",100,100,"endemic",NA
"Annonaceae","Annona coriacea",18.344156,17.610063,"widespread_sparse","not_endemic"
"Annonaceae","Annona crassiflora",12.110727,7.329843,"occasional","not_endemic"
"Annonaceae","Annona crotonifolia",31.25,31.25,"widespread_sparse","not_endemic"
"Annonaceae","Annona dioica",13.52459,12.101911,"occasional","not_endemic"
"Annonaceae","Annona dolabripetala",97.133617,97.6211983333333,"endemic","endemic"
"Annonaceae","Annona emarginata",74.562014,73.3242455,"widespread_common","not_endemic"
"Annonaceae","Annona ferruginea",100,100,"endemic","endemic"
"Annonaceae","Annona glabra",44.249201,46.442688,"widespread_sparse","not_endemic"
"Annonaceae","Annona glaucophylla",16.666667,20,"widespread_sparse","not_endemic"
"Annonaceae","Annona leptopetala",8.252427,12.927757,"occasional","endemic"
"Annonaceae","Annona montana",30.693069,31.671554,"widespread_sparse","not_endemic"
"Annonaceae","Annona mucosa",24.704619,23.681125,"widespread_sparse","not_endemic"
"Annonaceae","Annona nutans",2.816901,6.451613,"occasional","not_endemic"
"Annonaceae","Annona parviflora",97.619048,97.435897,"endemic","endemic"
"Annonaceae","Annona pickelii",91.025641,90.789474,"endemic","endemic"
"Annonaceae","Annona saffordiana",100,100,"endemic","not_endemic"
"Annonaceae","Annona salzmannii",89.795918,88.549618,"endemic","endemic"
"Annonaceae","Annona sylvatica",73.321234,72.689938,"widespread_common","endemic"
"Annonaceae","Annona tomentosa",5.104408,5.309735,"occasional","not_endemic"
"Annonaceae","Annona vepretorum",9.195402,10.126582,"occasional","endemic"
"Annonaceae","Annona warmingiana",2.803738,3.488372,"occasional","endemic"
"Annonaceae","Annona xylopiifolia",95.555556,95.121951,"endemic","endemic"
"Caryocaraceae","Anthodiscus amazonicus",31.707317,21.875,"widespread_sparse","not_endemic"
"Araceae","Anthurium santaritense",NA,NA,"endemic","endemic"
"Loganiaceae","Antonia ovata",7.452575,31.25,"widespread_sparse","not_endemic"
"Euphorbiaceae","Aparisthmium cordatum",41.784387,40.325866,"widespread_sparse","not_endemic"
"Malvaceae","Apeiba albiflora",28.571429,12.820513,"widespread_sparse","not_endemic"
"Malvaceae","Apeiba echinata",1.785714,3.030303,"occasional","not_endemic"
"Malvaceae","Apeiba tibourbou",7.765668,3.287671,"occasional","not_endemic"
"Acanthaceae","Aphelandra longiflora",66.572638,65.935919,"widespread_common","not_endemic"
"Poaceae","Apoclada simplex",100,100,"endemic","endemic"
"Olacaceae","Aptandra tubicina",NA,NA,"not_endemic","not_endemic"
"Fabaceae","Apuleia leiocarpa",52.059134,52.680965,"widespread_common","not_endemic"
"Araliaceae","Aralia warmingiana",37.313433,35,"widespread_sparse","not_endemic"
"Fabaceae","Arapatiella emarginata",100,100,"endemic","endemic"
"Fabaceae","Arapatiella psilophylla",100,100,"endemic","endemic"
"Araucariaceae","Araucaria angustifolia",90.162037,100,"endemic","not_endemic"
"Primulaceae","Ardisia guianensis",19.264069,16.27907,"widespread_sparse","not_endemic"
"Primulaceae","Ardisia semicrenata",79.310345,91.666667,"widespread_common","not_endemic"
"Primulaceae","Ardisia weberbaueri",2.941176,3.125,"occasional",NA
"Cactaceae","Arrojadoa penicillata",40,40.740741,"widespread_sparse","endemic"
"Cactaceae","Arrojadoa rhodantha",7.563025,6.666667,"occasional","endemic"
"Cactaceae","Arthrocereus melanurus",91.666667,90.909091,"widespread_common","endemic"
"Polygalaceae","Asemeia acuminata",24.050633,24.657534,"widespread_sparse","not_endemic"
"Apocynaceae","Aspidosperma australe",61.538462,61.516035,"widespread_common","not_endemic"
"Apocynaceae","Aspidosperma compactinervium",72.222222,73.333333,"endemic","endemic"
"Apocynaceae","Aspidosperma cuspa",4.109589,4.724409,"occasional","not_endemic"
"Apocynaceae","Aspidosperma cylindrocarpon",37.5,37.971014,"widespread_sparse","not_endemic"
"Apocynaceae","Aspidosperma desmanthum",3.587444,3.827751,"occasional","not_endemic"
"Apocynaceae","Aspidosperma discolor",29.479769,19.594595,"widespread_sparse","endemic"
"Apocynaceae","Aspidosperma dispermum",17.647059,11.111111,"widespread_sparse","endemic"
"Apocynaceae","Aspidosperma gomezianum",100,100,"endemic","endemic"
"Apocynaceae","Aspidosperma illustre",85.714286,85,"endemic","endemic"
"Apocynaceae","Aspidosperma macrocarpon",1.39165,1.670644,"occasional","not_endemic"
"Apocynaceae","Aspidosperma melanocalyx",50,48.076923,"widespread_sparse","endemic"
"Apocynaceae","Aspidosperma multiflorum",3.196347,2.347418,"occasional","not_endemic"
"Apocynaceae","Aspidosperma olivaceum",96.078431,95.80574,"endemic","endemic"
"Apocynaceae","Aspidosperma parvifolium",60.933661,60.277778,"endemic","endemic"
"Apocynaceae","Aspidosperma polyneuron",60.518732,64.73029,"widespread_common","not_endemic"
"Apocynaceae","Aspidosperma pyricollum",94.148936,93.939394,"endemic","endemic"
"Apocynaceae","Aspidosperma pyrifolium",6.555423,6.858054,"occasional","not_endemic"
"Apocynaceae","Aspidosperma ramiflorum",83.13253,83.969466,"widespread_common","not_endemic"
"Apocynaceae","Aspidosperma riedelii",26.363636,28.15534,"widespread_sparse","not_endemic"
"Apocynaceae","Aspidosperma spruceanum",12.689394,12.284483,"occasional","endemic"
"Apocynaceae","Aspidosperma subincanum",7.54352,7.093822,"occasional","not_endemic"
"Apocynaceae","Aspidosperma thomasii",100,100,"endemic","endemic"
"Arecaceae","Astrocaryum aculeatissimum",99.676375,100,"endemic","endemic"
"Phyllanthaceae","Astrocasia jacobinensis",60.9375,64.948454,"widespread_common","not_endemic"
"Anacardiaceae","Astronium balansae",23.880597,21.276596,"widespread_sparse","not_endemic"
"Anacardiaceae","Astronium concinnum",82.795699,81.081081,"widespread_common","endemic"
"Anacardiaceae","Astronium fraxinifolium",8.536585,6.043956,"occasional","not_endemic"
"Anacardiaceae","Astronium glaziovii",100,100,"endemic","endemic"
"Anacardiaceae","Astronium graveolens",28.163265,24.381625,"widespread_sparse","not_endemic"
"Anacardiaceae","Astronium nelson-rosae",9.090909,9.090909,"occasional","endemic"
"Anacardiaceae","Astronium urundeuva",9.733124,12.285714,"occasional","not_endemic"
"Fabaceae","Ateleia glazioveana",96.875,98.305085,"endemic","not_endemic"
"Fabaceae","Ateleia guaraya",3.947368,3.636364,"occasional","not_endemic"
"Fabaceae","Ateleia venezuelensis",100,100,"endemic","not_endemic"
"Solanaceae","Athenaea angustifolia",100,100,"endemic","endemic"
"Solanaceae","Athenaea anonacea",92.537313,93.939394,"endemic","endemic"
"Solanaceae","Athenaea brasiliana",100,100,"endemic",NA
"Solanaceae","Athenaea cuspidata",100,100,"endemic","endemic"
"Solanaceae","Athenaea fasciculata",97.33777,97.273266,"endemic","not_endemic"
"Solanaceae","Athenaea martiana",100,100,"endemic","endemic"
"Solanaceae","Athenaea pogogena",99.328859,99.300699,"endemic","endemic"
"Solanaceae","Athenaea sellowiana",100,100,"endemic",NA
"Solanaceae","Athenaea tomentosa",100,100,"endemic",NA
"Solanaceae","Athenaea velutina",52.352941,57.792208,"widespread_common",NA
"Solanaceae","Athenaea wettesteiniana",99.622642,99.598394,"endemic",NA
"Poaceae","Athroostachys capitata",100,100,"endemic","endemic"
"Arecaceae","Attalea burretiana",97.368421,97.368421,"endemic","endemic"
"Arecaceae","Attalea compta",64,64,"widespread_common","endemic"
"Arecaceae","Attalea dubia",100,100,"endemic","endemic"
"Arecaceae","Attalea exigua",55,57.142857,"widespread_common","endemic"
"Arecaceae","Attalea funifera",100,100,"endemic","endemic"
"Arecaceae","Attalea humilis",100,100,"endemic","endemic"
"Arecaceae","Attalea oleifera",66.666667,61.538462,"widespread_common","endemic"
"Arecaceae","Attalea phalerata",6.956522,6.315789,"occasional","not_endemic"
"Arecaceae","Attalea pindobassu",77.272727,77.272727,"widespread_common","endemic"
"Poaceae","Aulonemia amplissima",100,100,"endemic","endemic"
"Poaceae","Aulonemia aristulata",82.822086,82.389937,"widespread_common","endemic"
"Poaceae","Aulonemia radiata",97.530864,97.468354,"endemic","endemic"
"Poaceae","Aulonemia setigera",100,100,"endemic","endemic"
"Poaceae","Aulonemia setosa",100,100,"endemic","endemic"
"Asteraceae","Austrocritonia angulicaulis",96.153846,96.153846,"endemic","endemic"
"Asteraceae","Austrocritonia velutina",93.283582,92.857143,"endemic","endemic"
"Asteraceae","Austroeupatorium inulaefolium",79.38553,76.996424,"widespread_common","not_endemic"
"Sapindaceae","Averrhoidium gardnerianum",39.02439,52.272727,"widespread_sparse","endemic"
"Sapindaceae","Averrhoidium paraguaiense",28,50,"widespread_sparse","not_endemic"
"Acanthaceae","Avicennia germinans",6.31068,16.666667,"widespread_sparse","not_endemic"
"Acanthaceae","Avicennia schaueriana",94.520548,93.650794,"endemic","not_endemic"
"Salicaceae","Azara uruguayensis",88.505747,100,"endemic","not_endemic"
"Asteraceae","Baccharis aliena",32.02847,32.653061,"widespread_sparse","not_endemic"
"Asteraceae","Baccharis angusticeps",100,100,"endemic","endemic"
"Asteraceae","Baccharis calvescens",90.517241,89.615385,"endemic","endemic"
"Asteraceae","Baccharis caprariifolia",86.688312,86.813187,"endemic","not_endemic"
"Asteraceae","Baccharis cognata",56.969697,56.697819,"widespread_common","not_endemic"
"Asteraceae","Baccharis dentata",95.79288,95.365419,"endemic","not_endemic"
"Asteraceae","Baccharis dracunculifolia",65.728155,63.747811,"widespread_common","not_endemic"
"Asteraceae","Baccharis glaziovii",98.924731,98.913043,"endemic","not_endemic"
"Asteraceae","Baccharis grandimucronata",99.337748,99.319728,"endemic","endemic"
"Asteraceae","Baccharis intermixta",86.557377,85.512367,"endemic","endemic"
"Asteraceae","Baccharis lateralis",89.711934,88.986784,"endemic","endemic"
"Asteraceae","Baccharis leucocephala",98.529412,97.959184,"endemic","endemic"
"Asteraceae","Baccharis ligustrina",34,34.343434,"widespread_sparse","endemic"
"Asteraceae","Baccharis linearifolia",35.133333,34.678523,"widespread_sparse","not_endemic"
"Asteraceae","Baccharis longiattenuata",85.365854,85,"endemic","not_endemic"
"Asteraceae","Baccharis lychnophora",89.189189,88.571429,"endemic","endemic"
"Asteraceae","Baccharis lymanii",100,100,"endemic","endemic"
"Asteraceae","Baccharis macrophylla",95.238095,95.238095,"endemic","endemic"
"Asteraceae","Baccharis mesoneura",98.305085,97.87234,"endemic","endemic"
"Asteraceae","Baccharis microdonta",83.682635,82.96875,"widespread_common","not_endemic"
"Asteraceae","Baccharis montana",95.793164,95.760369,"endemic",NA
"Asteraceae","Baccharis oblongifolia",56.547184,53.582803,"widespread_common","not_endemic"
"Asteraceae","Baccharis oreophila",99.082569,98.901099,"endemic","endemic"
"Asteraceae","Baccharis platypoda",76.535088,77.944862,"widespread_common","not_endemic"
"Asteraceae","Baccharis pseudomyriocephala",91.061453,90.39039,"endemic","endemic"
"Asteraceae","Baccharis pseudovaccinioides",43.333333,86.666667,"widespread_sparse","endemic"
"Asteraceae","Baccharis psiadioides",36.184211,37.857143,"widespread_sparse","not_endemic"
"Asteraceae","Baccharis punctulata",72.85192,72.389558,"widespread_common","not_endemic"
"Asteraceae","Baccharis regnellii",100,100,"endemic","endemic"
"Asteraceae","Baccharis retusa",55.555556,55.36105,"widespread_common","endemic"
"Asteraceae","Baccharis rufidula",87.671233,87.557604,"endemic","endemic"
"Asteraceae","Baccharis salicifolia",6.24152,6.137725,"occasional","not_endemic"
"Asteraceae","Baccharis semiserrata",96.143251,96.043165,"endemic","not_endemic"
"Asteraceae","Baccharis serrulata",85.307018,85.507246,"endemic","endemic"
"Asteraceae","Baccharis singularis",89.340102,88.030888,"endemic","not_endemic"
"Asteraceae","Baccharis tridentata",57.438017,59.482759,"widespread_common","not_endemic"
"Asteraceae","Baccharis uncinella",99.2,99.001996,"endemic","endemic"
"Asteraceae","Baccharis urvilleana",100,100,"endemic","endemic"
"Arecaceae","Bactris acanthocarpa",31.818182,32.323232,"widespread_sparse","not_endemic"
"Arecaceae","Bactris ferruginea",100,100,"endemic","endemic"
"Arecaceae","Bactris hatschbachii",100,100,"endemic","endemic"
"Arecaceae","Bactris hirta",21.693122,22.543353,"widespread_sparse","not_endemic"
"Arecaceae","Bactris horridispatha",100,100,"endemic","endemic"
"Arecaceae","Bactris setosa",95.121951,93.181818,"endemic","endemic"
"Arecaceae","Bactris simplicifrons",1.845018,1.992032,"occasional","not_endemic"
"Arecaceae","Bactris timbuiensis",100,100,"endemic","endemic"
"Arecaceae","Bactris vulgaris",99.378882,99.371069,"endemic","endemic"
