order,locality1,UC
3083,Beira da estrada entre a cachoeira do Pitu e a cachoeira do Maromba. Parque Nacional do Itatiaia,PI
3084,"Beira da estrada para o Zoologico. Mata primaria disturbada, solo bem drenada",US
3085,"Beira da estrada principal do parque, proximo a sede. Floresta Ombrofila Montana. Parque Nacional da Serra dos Orgaos",PI
3086,Beira da estrada proximo a sede do IBGE Reserva Ecologica do Roncador (IBGE),PI
3087,"Beira da estrada que leva a trilha para o Pico do Papagaio, em Floresta Ombrofila Densa Montana. Na margem do Rio. Distrito de Lidice, Parque Estadual do Cunhambebe",PI
3088,Beira da estrada que vai da Estacao Experimental a Ubatuba,US
3089,Beira da estrada Reserva Biologica Corrego Grande,PI
3090,"Beira da estrada RS 020, entre Tainhas e a via de acesso ao Parque Nacional Aparados da Serra",PI
3091,"Beira da estrada, caminho para o Parque Estadual dos Pirineus",PI
3092,"Beira da estrada, perto da Urca do Jardim Botanico de Brasilia, com a estrada de acesso a ESAF",US
3093,Beira da estrada. Area antropizada. Parque Estadual do Desengano,PI
3094,Beira da mata do Rio Carinhanha. Folha Cartografica SD-23-Y-D Coordenada Coletada. Parque Nacional Grande Sertao Veredas,PI
3095,"beira da rodovia CE-175, ca. 8 km da Estacao Ecologica de Aiuaba, em direcao a Anntonina do Norte",PI
3096,"Beira da rodovia DF-001, lado oposto a entrada principal da Reserva Ecologica do IBGE",PI
3097,Beira da rodovia que liga a cidade ao Horto Florestal,US
3098,Beira de estrada (Km 45-SP 139)-Parque Estadual de Carlos Botelho,PI
3099,Beira de estrada (Km 48-SP 139)-Parque Estadual de Carlos Botelho,PI
3100,Beira de estrada (Km 49-SP 139)-Parque Estadual de Carlos Botelho,PI
3101,Beira de estrada (Km 61-SP 139)-Parque Estadual de Carlos Botelho,PI
3102,Beira de estrada (SP 139)-Parque Estadual de Carlos Botelho,PI
3103,Beira de estrada (SP139)-Parque Estadual de Carlos Botelho,PI
3104,Beira de estrada Botucatu-Pardinho a 20km do campus da Unesp (Botucatu),US
3105,Beira do anel rodoviario do Campus da UFRGS,US
3106,"Bela Vista, perto da Estacao Ecologica de Aiuaba",PI
3107,Belem,unknown
3108,"BELEM, BOSQUE MUNICIPAL. INST. AGRON DO NORTE.",parque_urbano
3109,"Belem, Grounds of the Instituto de Pesquisas e Experimentacao Agropecuarias do Norte. Igarape Aura through A.P.E.G. Reserve",PI
3110,Belem: Bosque Municipal,parque_urbano
3111,Belem: Grounds of the Instituto de Pesquisas e Experimentacao Agropecuarias do Norte. Igarape Aura through A.P.E.G. Reserve,PI
3112,"Belen de los Andaquies. Parque Municipal Natural Andaki, Vereda Los Angeles",PI
3113,"Bella Vista, Within the """"""""""""""""Flora de la Region del Parque Nacional Amboro"""""""""""""""", but above the 700 m contour",PI
3114,"Bella Vista. Within the """"""""""""""""Flora de la Region del Parque Nacional Amboro"""""""""""""""", but above the 700 m contour",PI
3115,"Belo Horizonte-EstaA§ao EcolA³gica, campus da UFMG",US
3116,"Belo Horizonte, Campus UFMG. Coletada proximo ao predio da reitoria",US
3117,"Belo Horizonte, Jardim Botanico de Belo Horizonte",US
3118,"Belo Horizonte, MG, Campus da UFMG",US
3119,Benfica. Parque Nacional do Itatiaia,PI
3120,"Beni, Territorio indigena Parque Nacional Isivoro Secure Bosque ribereno. Suelos franco areno-arcilloso, con una capa de humus de 3-15 cm de espesor",PI
3121,Bento GonA§ales-Campus,US
3122,Bento GonA§alves-Campus,US
3123,"Bethania (antigua granja de pollos) a 200 metros del mirador La Coyota, Parque Nacional Canon del Sumidero",PI
3124,"Bethania (antigua granja de pollos), a 200 metros del mirador La Coyota, Parque Nacional Canon del Sumidero. Selva mediana subcaducifolia. Hab. terrestre",PI
3125,"Bezerros, Parque Municipal de Serra Negra",PI
3126,"Bezerros, Parque Municipal de Serra Negra, Solo arenoso com pedras",PI
3127,"Bezerros, Parque Municipal de serra Negra, Solo arenoso com pedras. Area aberta",PI
3128,"Bezerros, Parque Municipal de Serra Negro",PI
3129,"BICAME, HORTO FLORESTAL",US
3130,"Bilsa Biological Station. Reserva Ecologica Mache-Chindul, 35 km W of Quininde. Cube River (NE corner of Station). Premontane Wet Forest",PI
3131,"Biritiba-Mirim, Estacao Biologica de Boraceia",PI
3132,"Biritiba mirim, estacao biologica boraceia",PI
3133,"Biritiba Mirim, Estacao Biologica de Boracaia.",PI
3134,"Biritiba Mirim, Estacao Biologica de Boraceia",PI
3135,"BIRITIBA MIRIM, ESTACAO BIOLOGICA DE BORACELA.",PI
3136,Biritiba Mirim. Estacao Biologica de Boraceia,PI
3137,BLOQUEADO,unknown
3138,"Boa Esperanca do Sul (Coreia), Mata do Carvao, futura Estacao Ecologica Estadual de Guaxindiba",PI
3139,"Boa Esperanca do Sul (Coreia), Mata do Carvao, futura Estacao Ecologica Estadual de Guaxindiba.",PI
3140,Boa Esperanca do Sul (Coreia). Mata do Carvao. Futura Estacao Ecologica Estadual de Guxindiba,PI
3141,"Boa Vista, Coroados, APA de Guaratuba",APA
3142,Boca do Acre. Rio Sao Fransisco. Floresta Nacional do Mapia-Inhauini,US
3143,Boca do Monte-Estacao Experimental de .Silvic,US
3144,"Boca do Monte, na Estacao Experimental de Silvicultura",US
3145,Bocaina. Parque Nacional do Itatiaia,PI
3146,"Bocono; Parque Nacional Guaramacal, road from Bocono to Guaramacal, SE of Bocono and just above park headquarters. Lower montane forest, N slope of mountain",PI
3147,"Bolivar: Gran Sabana. Parque Nacional Canaima. Along small stream between San Francisco de Yuruani & San Ignacio de Yuruani, ca. 5 km S. of San Francisco on road to Sta. Elena de Uairen",PI
3148,"Bolivar: Gran Sabana. Parque Nacional Canaima. Along small stream between San Francisco de Yuruani & San Ignacio de Yuruani, ca. 5 km. S. of San Francisco on road to Sta. Elena de Uairen",PI
3149,"Bolivia, Santa Cruz: Ichilo Province, """"""""Cerro Amboro""""""""--up the Rio Isama to the summit of Cerro Amboro in Parque Nacional de Amboro",PI
3150,"Bom Futuro, Reserva Extrativista Chico Mendes, km 52 of BrasilA©ia-Assis Brasil road, 18 km on Ramal (side road) """"""""Tocandeira.""""""""",US
3151,"Bom Futuro, Reserva Extrativista Chico Mendes,km 52 of Brasileia-Assis Brasil road ,then18 km on Ramal ( side road ) \Tocandeira\.",US
3152,"Bom Jesus do Madeira, estrada para a Sede do Parque pela entrada Fervedouro. Floresta Ombraofila Densa Montana. Parque Estadual Serra do Brigadeiro",PI
3153,"Bombuscaro, sendero a El Refugio del Parque Nacional Podocarpus",PI
3154,"Bonfim, Parque Nacional da Serra dos Orgaos, Pedra do Queijo. Parque Nacional da Serra dos Orgaos",PI
3155,"Bonfim, Parque Nacional da Serra dos Orgaos, picada para a cachoeira Veu da Noiva. Parque Nacional da Serra dos Orgaos",PI
3156,"Bonfim, Parque Nacional da Serra dos Orgaos, picada para pedra do queijo. Parque Nacional da Serra dos Orgaos",PI
3157,"Bonfim, Parque Nacional da Serra dos Orgaos, poco das bromelias. Parque Nacional da Serra dos Orgaos",PI
3158,"Bonfim, Parque Nacional da Serra dos Orgaos, trilha para a pedra do queijo. Parque Nacional Serra dos Orgaos",PI
3159,"Bonfim, Parque Nacional da Serra dos Orgaos, trilha para o monte Cubaio. . Parque Nacional da Serra dos Orgaos",PI
3160,"Bonfim, Parque Nacional da Serra dos Orgaos, trilha para poco dos primatas. Parque Nacional da Serra dos Orgaos",PI
3161,"Bonfim, poco das bromelias. Parque Nacional da Serra dos Orgaos",PI
3162,"Bonito, Reserva Ecologica Municipal da Prefeitura de Bonito",PI
3163,"Bonito, Reserva Ecologica Municipal da Prefeitura de Bonito Solo areno argiloso",PI
3164,"Bonito, Reserva Ecologica Municipal da Prefeitura de Bonito Solo areno argiloso. Dentro da mata",PI
3165,Bonji-Campus do IPA,US
3166,Boqueirao (6a. Cidade) PARNA de Sete Cidades,PI
3167,"Boqueirao do Santilho, floresta na beira da estrada. Floresta Ombrofila Densa Montana. Reserva Biologica Duas Bocas",PI
3168,"Boqueirao do Santilho, floresta na beira da estrada. Reserva Biologica de Duas Bocas",PI
3169,"Boracea, Estacao Experimental de Boracea",US
3170,"Boraceia, Estacao Biologica",PI
3171,"Boraceia, Sede da estacao Biologica",PI
3172,"borda da estrada interna do parque, Parque Estadual Carlos Botelho",PI
3173,Borda da estrada para o Parque Estadual do Peruacu,PI
3174,Borda da estrada que corta a mata seca proximo ao campus UEG,US
3175,"Borda da floresta do parque Zoobotanico de Carajas, entre o banheiro e coxo de alimentacao dos animais.6,063132 / 50,058619",US
3176,Borda da mata ciliar do rio Preto. Reserva Biologica de Poco das Antas,PI
3177,Borda da mata de galeria do IF Goiano-Campus-Rio Verde,US
3178,Borda da mata de galeria do IF Goiano-Campus Rio Verde,US
3179,Borda da Mata do Carvao. Estacao Ecologica Estadual Guaxindiba,PI
3180,Borda da mata do coronel Lovosier. Reserva Biologica Poco das Antas,PI
3181,"Borda da mata do rio Preto, na direcao da area campestre. Reserva Biologica de Poco das Antas",PI
3182,"Borda da mata do rio Preto, na direcao da area campestre. Reserva Biologica Poco das Antas",PI
3183,Borda da mata fechada da FAG (proximo a estrada de terra externa ao campus),US
3184,Borda da mata fechada da FAG (proximo a estrada externa ao campus),US
3185,"Borda da mata fechada da FAG, proximo a estrada de terra externa ao campus",US
3186,Borda da Mata seca-Campus-UEG,US
3187,"Borda de mata, Estrada da Moca Bonita. Parque Estadual do Utinga",PI
3188,"Borda de mata. Aroreo. Estacao Ecologica da UFMG, Belo Horizonte",PI
3189,Borda de Mata. RVS Mata do Junco,PI
3190,Borda do Parque Nacional de Brasilia em frente ao Lago Oeste-entre as ruas 0 e 1 no km 124 da DF 001,PI
3191,Borda do Parque Nacional de Brasilia estrada de terra paralela a DF 430-sentido Brazlandia-Taguatingua,PI
3192,Borda do Parque Nacional do Iguacu,PI
3193,Borda imediata do Parque Estadual Jacupiranga-Nucleo do Cedro. Trilha da Cachoeira Veu da Noiva,PI
3194,borda sul do campus da UnB,US
3195,"Borde con Lara. Arriba de Mesa Arriba, P.N. Dinara, Paramo de Jabon",PI
3196,Borde de la Reserva Municipal Rancheria,US
3197,"Borde este de la omega, Monumento Natural Yaxchilan. Veg.: Selva alta perennifolia",PI
3198,Borde la Reserva Municipal Rancheria,US
3199,Bords de l' Arieri,US
3200,Bords des chemins a Nicoya,US
3201,Bords du chemin de Nicoya,US
3202,bords du Rio Pilcomayo,US
3203,Bords les chemins et forets a Nicoya,US
3204,"Bosque August Saint-Hilaire da Universidade, campus II-UFG",US
3205,"Bosque Auguste de Saint-Hilaire, Bosque do Campus II, a sudoeste da Biblioteca, margem leste",US
3206,"Bosque Auguste de Saint-Hilaire, Campus II, UFG",US
3207,"Bosque Auguste de Saint-Hilaire, Campus Samambaia-Campus II , Bosque da UFG a 100m do fundo da biblioteca, a margem da mata",US
3208,Bosque Auguste de Saint-Hilaire. Campus II. UFG,US
3209,"Bosque da Barra. Bairro do Recreio dos Bandeirantes, Prainha, APA da Prainha, proximidades do topo do morro da Boa Vista",APA
3210,Bosque da Biodiversidade do campus da unitins,US
3211,Bosque da Colina. Parque Nacional da Serra dos Orgaos,PI
3212,"Bosque das Araucarias, proximo ao Recanto das Cigarras, Campus da UFV",US
3213,Bosque de la reserva municipal,US
3214,Bosque de Pinus (Campus UFSM),US
3215,Bosque de Saint-Hilaire. Mata do Campus II da Universidade Federal de GoiA¡s; a beira da estrada principal do Bosque,US
3216,Bosque do Campus Dom Bosco #?# UFSJ,US
3217,"Bosque do Horto florestal do D. Federal, Gavea",US
3218,Bosque do Jardim Botanico,US
3219,Bosque do Visconde. Trilha da Familia. Parque Estadual da Pedra Selada,PI
3220,Bosque dos Ipes. Coordenadas: 20.1286ºS; 40.3075]W Parque Ecologico da C.S.T,PI
3221,Bosque dos Jequitibas,parque_urbano
3222,"Bosque e Zoologico Fabio Barreto, Proximo a entrada do bosque",US
3223,Bosque e Zoologico Municipal,US
3224,Bosque John Kennedy,parque_urbano
3225,Bosque muncipal alto,parque_urbano
3226,bosque municipal,parque_urbano
3227,Bosque municipal,parque_urbano
3228,Bosque Municipal,parque_urbano
3229,Bosque municipal de Mariquita,parque_urbano
3230,Bosque Municipal de Paranavai,parque_urbano
3231,"Bosque Municipal de Paranavai, Afastada da trilha",parque_urbano
3232,"Bosque Municipal de Paranavai, Proximo a trilha",parque_urbano
3233,"Bosque Municipal de Paranavai,, Proximo a trilha",parque_urbano
3234,Bosque Municipal de Tangara da Serra,parque_urbano
3235,Bosque Municipal Fabio Baneto,parque_urbano
3236,Bosque Municipal Fabio Barreto,parque_urbano
3237,Bosque municipal John Kennedy,parque_urbano
3238,Bosque Municipal John Kennedy,parque_urbano
3239,"Bosque Municipal John Kennedy, Araguari",parque_urbano
3240,Bosque municipal Jose Celestino Mutis,parque_urbano
3241,Bosque Municipal Jose Celestino Mutis,parque_urbano
3242,"Bosque Municipal, Secretaria do Meio Amb",parque_urbano
3243,"Bosque Municipal, silva non inundabili",parque_urbano
3244,Bosque Nacional Alexander Von Humboldt. Bosque primario,US
3245,Bosque Nacional Alexander von Humboldt. Pucallpa-Tingo Maria Road. Carretera de extraccion,US
3246,Bosque no Campus do Instituto Federal do Para,US
3247,"Bosque ribereno de 8-10 mts de alto. Dtto. Pedro Camejo, Parque Nacional """"""""Santos Luzardo. Boca del rio Capanparo, union con el rio Orinoco en la isla Los Frailes",PI
3248,"Bosque Saint-Hilaire, campus II da UFG",US
3249,Bosque Santa Helena ao redor da piscina do Parque. Parque Nacional da Serra dos Orgaos,PI
3250,Bosque subtropical humedo. 90 km. SE. Asuncion. Parque Nacional Ybycui,PI
3251,"Bosque Von Humboldt. Km 28 on Carretera Marginal, in construction, heading towards Puerto Bermudez",US
3252,BosqueAuguste de Saint. Campus 2 da Universidade. Fed. de Goias,US
3253,"Botafogo, morro mundo novo, campus da universidade Santa Ursula",US
3254,"Botafogo, Morro Mundo Novo, Campus da Universidade Santa Ursula.",US
3255,"BR-070, estrada para o P.E. Serra dos Pirineus",PI
3256,"BR-101, cerca de 3 kK apos sede do parque, em direcao a Campos dos Goytacazes, entrada a dir. em frente ao cemiterio de Rocha Leao. Estrada da Macuca, rumo ao Rio das Ostras. Trilha cerca de 2 Km da estrada da Macuca, acesso a direita. Reserva Biologica Uniao",PI
3257,"Br-101, Km 122, N of Linares, Reserva Florestal CVRD, Strada Aceiro, ca. 500 m from corner with Est. Molanez",US
3258,BR-101. Reserva Florestal de Sooretama,US
3259,"BR-163, km 86, Floresta Nacional Tapajos, base lba,",US
3260,"BR-174, km 114, Reserva Biologica de Lajes, pelo caminho que sai atras da casa do proprietario, margem direita do Igarape das Lajes, pouco acima da ca. Campina gramineo-lenhosa, baixa. Estrato herbaceo dominado por uma Cyperacea. Dossel 4-5 m, com Ma",PI
3261,"BR-174, km 114, Reserva Biologica de Lajes, pelo caminho que sai atras da casa do proprietario, no inicio da Reserva. Campina baixa e densa de arvores finas (< 5 cm diametro) ca. 5-6 m de dossel, em solo raso sobre lajedo de pedra, inundado quando ch",PI
3262,"BR-174, Km 60, Reserva Biologica de Campina",PI
3263,"BR-210, BR-210, APA de Curiau",APA
3264,"BR-230, Morro de Baleia, c. 2 km towards Carolina from Pedra Caida on the Estreito-Carolina road",US
3265,BR-251-Trecho DNER-Reserva Ecologica,PI
3266,BR-251 trecho da Reserva Ecologica do IBGE e BR-040. Folha Cartografica SD-23-Y-C Coordenada Calculada,PI
3267,"BR-319, em direcao do BISA, a 200m do Campus, lado esquerdo",US
3268,"BR-485, em direcao a ponte da Maromba, sobre o Rio Campo Belo, cerca de 2,5 Km antes da ponte. Parque Nacional do Itatiaia",PI
3269,"Br-485, estrada do Parque Nacional , Parque Nacional do Itatiaia",PI
3270,"BR-PB; Campus UFPB, proximo ao Dep. Quimica",US
3271,"BR 050 em direcao a entrada de Uberlandia. Na beira da rodovia, proximo ao km 79. Fazenda Experimental do Gloria-campus da Universidade Federal de Uberlandia. Estrada de terra em frente a represa",US
3272,BR 070 Parque Ecologico da Barragem do Descoberto km 20,PI
3273,"BR 070., Marco 9 do Parque Estadual dos Pireneus",PI
3274,"BR 101, 11,2 km W on road from Aurelino Leal towards Laje do Banco",US
3275,BR 163. Flona Tapajos,US
3276,"BR 163. Ramal do alojamento da Coomflona no km 83, apos o antigo patio de madeiras. Floresta Nacional do Tapajos",US
3277,BR 163. Ramal do ICMBio no km 72. Comunidade Jaguarari. Floresta Nacional do Tapajos,US
3278,"BR 174, estrada Manaus-Caracarai, Km 60. Reserva Biologica de Campina",PI
3279,"BR 230; Trasamazon Highway, 5km of Ruropolis Presidente Medici towards Itatuba",US
3280,BR 242 para Lencois +/-10 km da cidade. Parque Nacional Chapada da Diamantina,PI
3281,BR 242 para Lencois +/-7 km da cidade. Parque Nacional Chapada da Diamantina,PI
3282,"BR 251, Brasilia/ Unai, km \0\ . Reserva Ecologica do IBGE. Altitude aproximada 1060m. Arvore ca. de 7m de altura. .",PI
3283,Br 319 a 600 m da pista e a 2 km do Campus em direcao ao BIS,US
3284,BR 319 a 600m da pista e a 2Km do Campus em direcao ao BIS,US
3285,"BR 364, Reserva Ecologica do CNPq-INPA.",PI
3286,"BR 364, rodovia Cuiaba-porto Velho, km 378, Reserva Ecologica do CNPq-INPA.",PI
3287,"BR 364, rodovia Cuiaba-Porto Velho, km 378, Reserva Ecologica do CNPq-INPA.",PI
3288,"BR 364, rodovia Cuiaba-Porto Velho, km 378. Reserva Ecologica do CNPq-INPA",PI
3289,"BR 455, Fazenda Agua Limpa-Universidade Federal de Uberlandia",US
3290,"BR 469-Borda da mata do ParNa Iguacu, proximo a entrada da trilha do Poco Preto",PI
3291,"BR 485, estrada entre o Abrigo Reboucas e o inicio da trilha Ruy Braga. Parque Nacional do Itatiaia",PI
3292,"BR, M5, Selviria, Fazenda de Ensino e Pesquisa da Unesp-""""""""Campus"""""""" de Ilha Solteira",US
3293,"BR, MS, Selviria, Fazenda de Ensino e Pesquisa da UNESP-Campus da Ilha Solteira",US
3294,"BR,MS, Fazenda de Ensino e Pesquisa da UNESP-""""""""Campus"""""""" de Ilha Solteira",US
3295,"BR040, km 90. Parque Nacional da Serra dos Orgaos",PI
3296,"BR174, Km 44. EEST, Estrada Manaus-Caracarai, Reserva Biologica do INPA",PI
3297,"BR364, 44 km E de Cruzeiro do Sul. RF INCRA., BR-364, 44 Km E da cidade de Cruzeiro do Sul. P. A. D. Sta. Luzia. Reserva Florestal",US
3298,"BR364, 44 km E de Cruzeiro do Sul. RF INCRA., BR 364 a 44 km E de Cruzeiro do Sul. P. A. D. de santa Luzia, Reserva Florestal do INCRA (Area do Inventario Florestal)",US
3299,"BR364, 44 km E de Cruzeiro do Sul. RF INCRA., BR 364, 44 Km E da cidade de Cruzeiro do Sul. P. A. D. Santa Luzia. Reserva Florestal",US
3300,"BR364, 44 km E de Cruzeiro do Sul. RF INCRA., BR 364, 44 km E da cidade de Cruzeiro do Sul. P. A. D. Sta. Luzia. Reserva Florestal",US
3301,"BR364, 44 km E de Cruzeiro do Sul. RF INCRA., BR 364, 44 Km E da Cidade de Cruzeiro do Sul. P. A. D., Santa Luzia. Reserva Florestal",US
3302,"BR364, 44 km E de Cruzeiro do Sul. RF INCRA., BR 364, 44 Km E da cidade de Cruzeiro do Sul. P.A.D. Santa Luzia. Reserva Florestal. Arvores do Inventario do D.G. Campbell et al. Mata de terra firme, solo argiloso umido",US
3303,"BR364, 44 km E de Cruzeiro do Sul. RF INCRA., BR 364, 44 km E de Cruzeiro do Sul. P.A.D. de Santa Luzia, Reserva Florestal do INCRA (area do Inventario Florstal do D.G. Campbell)",US
3304,"BR364, km 378, Reserva Ecologica do CNPq-INPA., BR-364, estrada Cuiaba-Porto Velho, km 353, linha 206, 48 km de Ji-Parana",PI
3305,"BR364, km 378, Reserva Ecologica do CNPq-INPA., BR-364, rodovia Cuiaba-Porto Velho, km 378, Reserva Ecologica do CNPq-INPA",PI
3306,"BR364, km 378, Reserva Ecologica do CNPq-INPA., BR-364, rodovia Cuiaba-Porto Velho, km. 378, Reserva Ecologica do CNPq-INPA. Mata alta de terra firme, solo argiloso",PI
3307,"BR364, km 378, Reserva Ecologica do CNPq-INPA., BR 364, rodovia Cuiaba-Porto Velho, km 378, Reserva Ecologica de CNPq-INPA",PI
3308,"BR364, km 378, Reserva Ecologica do CNPq-INPA., BR 364, rodovia Cuiaba-Porto Velho, Km 378, Reserva Ecologica do CNPq-INPA",PI
3309,"BR364, km 378, Reserva Ecologica do CNPq-INPA., BR 364, Rodovia Cuiaba-Porto Velho, Km 378. Reserva Ecologica do CNPq-INPA. Mata alta de terra firme, solo argiloso",PI
3310,"BR364, km 378, Reserva Ecologica do CNPq-INPA., BR364, Rodovia Cuiaba-Porto Velho, km 378, Reserva Ecologica do CNPq-INPA",PI
3311,"BR364, km 478, Reserva Ecologica do INPA., Reserva Biologica do INPA",PI
3312,"BR364, km 478, Reserva Ecologica do INPA., Reserva de Pesquisa Ecologica do INPA em Ouro Preto do Oeste, BR-364",PI
3313,"BR364, km 478, Reserva Ecologica do INPA., Reserva de Pesquisa Ecologica do INPA em Ouro Preto do Oeste, BR-364. Mata de terra firme, solo argilo-arenoso",PI
3314,"BR364, km 478, Reserva Ecologica do INPA., Reserva de pesquisa Ecologica do INPA em Ouro Preto do Oeste, BR 364",PI
3315,"BR364, km 478, Reserva Ecologica do INPA., Reserva de Pesquisa Ecologica do INPA em Ouro Preto do oeste, BR 364",PI
3316,"BR364, km 478, Reserva Ecologica do INPA., Reserva de Pesquisa Ecologica do INPA em Ouro Preto do Oeste, BR 364",PI
3317,"BR364, km 478, Reserva Ecologica do INPA., Reserva de Pesquisa Ecologica do INPA em Ouro Preto do Oeste, BR 364. Mata de terra firme, solo argilo-arenoso",PI
3318,"BR364, km 478, Reserva Ecologica do INPA., Reserva de Pesquisa Ecologica do INPA, BR 364",PI
3319,"BR364, km 478, Reserva Ecologica do INPA., Reserva de Pesquisa Ecologica do INPA, em Ouro Preto do Oeste, BR-364. Mata de terra firme, solo-argilo-arenoso",PI
3320,"BR364, km 478, Reserva Ecologica do INPA., Reserva de Pesquisa Ecologica do INPA; BR 364",PI
3321,Braco Esquerdo-APA Rio Vermelho/Humbold,APA
3322,"Brasil-Distrito Federal-Brailia, Campus da UNB, atras do CESP. cerrado sensu stricto antropizado",US
3323,"Brasil-Goias-Anapolis, Campus UEG Anapolis, Mata de Galeria da nascente do corrego Barreiro",US
3324,"Brasil-Goias-Parque Nacional da Chapada dos Veadeiros, 10 km de W of Alto Paraiso",PI
3325,"Brasil-Goias-Pirenopolis-Parque Estadual dos Pireneus, base do pico dos Pireneus, mata de galeria",PI
3326,"Brasil-Minas Gerais-Prados, Coletado na serra de Sao Jose, APA de Sao Jose, proximo a cidade de Prados, campo rupestre",APA
3327,"Brasil-Minas Gerais-Prados, Coletado na serra de Sao Jose, APA de Sao Jose, proximo a cidade de Prados, Mata proximo a um campo rupestre",APA
3328,"Brasil ,Estado do Rio de Janeiro ,municipio de Saquarema ,Reserva Ecologica de Jacarepia(Floresta de Restinga). Reserva Ecologica de Jacarepia",PI
3329,"Brasil, Alagoas, Sao Luis do Quitunde, RPPN Garabu, mata em torno 15m a 20m",US
3330,"Brasil, Amazonas, Presidente Figueiredo, Balbina. Rebio Uatuma, grade do PPBio",PI
3331,"Brasil, Amazonas, Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. 02°53'S 59°58'W",PI
3332,"Brasil, Amazonas, Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. 02°53'S 59°58'W. Proximo a esacao meteorologica",PI
3333,"Brasil, ARIE Floresta da Cicuta no Municipio de Volta Redonda, RJ. Medio Paraiba do Sul. Floresta semidecidual, ca. 22°32##51,38####S 44°05##13,60####O",US
3334,"Brasil, Bahia : A.P.A. Gruta dos Brejoes.",APA
3335,"Brasil, Bahia, Aracataca: Parque Nacional da Serra das Lontras. Trilha do Talhao.",PI
3336,"Brasil, Bahia, Arataca: PARNA de Serra das Lontras. Fazenda de Seu Arthur, vertente de serra ao lado do riacho que corta a propriedade. .",PI
3337,"Brasil, Bahia, Arataca: PARNA de Serra das Lontras. Trilha do mirante de Seu Artur.",PI
3338,"Brasil, Bahia, Arataca: Parque Nacional da Serra das Lontras. Trilha do Talhao",PI
3339,"Brasil, Bahia, Arataca: Parque Nacional Serra das Lontras. Trilha do Talhao. DFepois da armadilha de espera.",PI
3340,"Brasil, Bahia, Arataca: Serra do Novo Javi. RPPN do IESB. Rod. Arataca/Una, entrada 9,5 km da cidade, mais 8,9 km da entrada. Trilha da Serra, acesso ca. 1,5 km NE da sede.",US
3341,"Brasil, Bahia, Litoral Norte, Mata de Sao Joao, Reserva do Parque Ecologico de Sauipe",PI
3342,"Brasil, Bahia. Municipio de Una, Reserva Biologica do Mico-leao (IBAMA). Entrada no km 48 da Rod. BA-001 llheus/Una. Regiao da Mata Higrofila Sul Baiana. 15°09'S e 39°05'W. Picada paralela ao rumo da reserva. Arvore com ca. 5,0m x 15,0cm. Folhas verdes, a face superior escura e brilhante, a inferior opaca. Frutos imaturos verdes e maduros castanhos",PI
3343,"Brasil, Distrito Federal, Brasilia: Parque Nacional de Brasilia (PARNA)",PI
3344,"Brasil, Distrito Federal, Brasilia: Reserva Biologica de Contagem (REBIO)",PI
3345,"Brasil, Espirito Santo, Municipio de Santa Teresa, Valsugana Velha, Estacao Biologica de Santa Lucia",PI
3346,"Brasil, Espirito Santo, Santa Tereza, Estacao Biologica de Santa Lucia, Trilha Bonita.",PI
3347,"Brasil, Est. do Rio de Janeiro, Ilha Grande, prox. a Praia do Leste, na baixada, em mata de restinga",PI
3348,"Brasil, Estado do Alagoas, Reserva Biologica Federal da Pedra Talhada, localidade de Quebrangulo",PI
3349,"Brasil, Estado do Rio de Janeiro, Mun. de Angra dos Reis, Ilha Grande, Reserva Biologica Estadual da Praia do Sul",PI
3350,"Brasil, Estado do Rio de Janeiro, Mun. Santa Maria Madalena, Dist. Ribeirao Vermelho, Terras Frias, trilha para a barragem Manancial Ribeirao Vermelho. Parque Estadual do Desengano",PI
3351,"Brasil, Estado do Rio de Janeiro, Mun. Santa Maria Madalena, Terras Frias, Serra da Rifa;. Parque Estadual do Desengano",PI
3352,"Brasil, Estado do Rio de Janeiro, Mun. Teresopolis, Parque Nacional da Serra dos Orgaos, trilha para a Pedra do Sino",PI
3353,"Brasil, Estado do Rio de Janeiro, municipio de Arraial do Cabo; Enseada de Tucuns/Afonso. APA da Massambaba",APA
3354,"Brasil, Estado do Rio de Janeiro, Municipio de Marica, Area de Protecao Ambiental da Restinga de Marica, Transecto do Laboratorio Biologia da Reproducao",APA
3355,"Brasil, Estado do Rio de Janeiro. Parque Nacional do Itatiaia, RJ. Ca. 22°23##02,64####S 44°40##32,85####O, 2.410m",PI
3356,"Brasil, Estado: Paraiba, Municipio: Mamanguape, Reserva Biologica Guaribas: Area de Cabeca de Boi. 6°07'22''S, 35°18'20''W",PI
3357,"Brasil, Estado: Paraiba, Municipio: Mamanguape, Reserva Biologica Guaribas: Area de Cabeca de Boi. Sema II. 6°07'22""""""""S, 35°18'20""""""""W",PI
3358,"Brasil, Estado: Rio Grande do Norte, Baia Formosa, RPPN Mata Estrela: 3-4 Km E of Bahia Formosa on road to BR 101. (of Ecoacucar of Grupo Farias)",US
3359,"Brasil, Estado: Rio Grande do Norte, Baia Formosa, RPPN Mata Estrela: 3-4 Km E of Bahia Formosa on road to BR 101. (of Ecoacucar of Grupo Farias). 6°22'24"""""""" S, 35°00'48"""""""" W Elev.: 55-70m",US
