order,locality1,UC
41,"""""""""Parque Nacional Natural """"""""""""""""Las Orquideas"""""""""""""""". Camino de Venados arriba hacia Calles.""""""""",PI
42,"""""""""Parque Nacional Natural \Las Orquideas\"""""""""""""""" vereda Calles, Rio Calles""""""""""""""""""""""""",PI
43,"""""""""Parque Nacional Natural Amacayacu, alrededores de la quebrada Agua Pudre""""""""",PI
44,"""""""""Parque Nacional Natural Amacayacu, alrededores de la sede, Isla Mocagua""""""""",PI
45,"""""""""Parque Nacional Natural Amacayacu, alrededores de la sede, sede Matamata""""""""",PI
46,"""""""""Parque Nacional Natural Amacayacu, cerca del rio Amazonas y Mocagua""""""""",PI
47,"""""""""Parque Nacional Natural Amacayacu, comunidad Zaragoza""""""""",PI
48,"""""""""Parque Nacional Natural Amacayacu, sector Matamata, a la orilla de la quebrada Bacaba""""""""",PI
49,"""""""""Parque Nacional Natural Amacayacu, sector S, alrededores centro de visitantes y cabana administrativa, margen derecha quebrada Matamata, cerca de desembocadura al rio Amazonas""""""""",PI
50,"""""""""Parque Nacional Natural Amacayacu; Centro Administrativo Mata-mata (Inderena). A orillas de Quebrada Bacaba en zona de """"""""""""""""varzea"""""""""""""""".""""""""",PI
51,"""""""""Parque Nacional Natural Cahuinari, resguardo indigena en inmediaciones del parque, rio Cahuinari, quebrada La Mota""""""""",PI
52,"""""""""Parque Nacional Natural Catatumbo-Bari, resguardo indigena de la comunidad Bridicaira""""""""",PI
53,"""""""""Parque Nacional Natural El Tuparro, on granitic outcrop of Cerro Rocoso, 2 km south of El Centro Administrativo""""""""",PI
54,"""""""""Parque Nacional Natural Ensenada de Utria, camino al acueducto""""""""",PI
55,"""""""""Parque Nacional Natural Ensenada de Utria, corregimiento El Valle, camino a Boro-Boro""""""""",PI
56,"""""""""Parque Nacional Natural Ensenada de Utria, margenes del rio Boroboro""""""""",PI
57,"""""""""Parque Nacional Natural Ensenada de Utria, por el camino que conduce a Cocalito""""""""",PI
58,"""""""""Parque Nacional Natural Isla Gorgona, camino paralelo a la linea de costa hacia playa Palmeras frente a la isla Gorgonilla""""""""",PI
59,"""""""""Parque Nacional Natural Isla Gorgona, parcela permanente""""""""",PI
60,"""""""""Parque Nacional Natural Isla Gorgona, playa de Pablo VI""""""""",PI
61,"""""""""Parque Nacional Natural Las Orquideas, borde del rio Calles""""""""",PI
