order,DESIG,DESIG_ENG,IUCN_CAT,IUCN_CAT_THREAT
437,"Valor Escénico, Histórico y Cultural",Protected Area,Not Reported,
243,Via Panoramica,Via Panoramica,VI,VI
485,Via Parque,Park Way,III,III
227,Wetland Mitigation Bank,Wetland Mitigation Bank,V,V
163,Wetlands,Wetlands,V,V
126,Wilderness Area,Wilderness Area,Ib,Ib
191,Wilderness Preserve,Wilderness Preserve,V,V
220,Wilderness Study Area,Wilderness Study Area,Ib,Ib
127,Wildlife and Environmental Area,Wildlife and Environmental Area,VI,VI
221,Wildlife Habitat Area,Wildlife Habitat Area,V,V
130,Wildlife Management Area,Wildlife Management Area,V,V
26,Wildlife Refuge,Wildlife Refuge,IV,IV
234,Wildlife Reserve,Wildlife Reserve,IV,IV
11,Wildlife Sanctuary,Wildlife Sanctuary,IV,IV
204,Wildlife State Park,Wildlife State Park,V,V
81,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),Not Applicable,V
406,Z de Res Ecol y Z de Ref de Aves Mar Migr y FFS,Protected Area,Not Reported,
454,Zona de Amortiguamiento de la Reserva Ecológica,Ecological Conservation Zone,Not Reported,NA
419,Zona de Conservación Ecológica,Ecological Conservation Area,Not Reported,NA
394,Zona de Conservación Ecológica,Ecological Conservation Zone,Not Reported,NA
37,Zona de Inmovilizacion Forestal e Hídrica,Immobilization Forestry and Water Zone,Not Reported,VI
404,Zona de Preservación,Municipal Park,Not Reported,NA
392,Zona de Preservación Ecológica,Ecological Conservation Area,Not Reported,NA
407,Zona de Preservación Ecológica de los Centros de Población,Municipal Park,Not Reported,NA
440,Zona de Preservación Ecológica de los Centros de Población,Protection Zone,Not Reported,NA
448,Zona de Prot Ecol destinada al Mej y Cons del Amb,Protection Zone,Not Reported,
75,Zona de Protección de Cuencas Hidrograficas,Watershed Protection Area,Not Reported,III
411,Zona de Protección Hidrológica y Ecológica,Protection Zone,Not Reported,III
42,Zona de Proteccion Paisajistica,Landscape Protection Area,Not Reported,V
506,Zona de Res. de Fauna Silvestre,Wildlife Area,Not Reported,IV
414,Zona de Reserva Ecológica,Ecological Reserve,Not Reported,Ia
415,Zona de Restauración,Restoration Zone,Not Reported,V
248,Zona de Veda Definitiva,Permanent closure zone,Not Reported,IV
412,Zona Especial Prot Flora y Fauna Silvestre y Acuat,Special Protection Zone,Not Reported,IV
398,Zona Especial sujeta a Conservación Ecológica,Municipal Park,Not Reported,
429,Zona Especial sujeta a Conservación Ecológica,Special Protection Zone,Not Reported,IV
432,Zona Preserv Ecol de los Centros de Poblacion,Ecological Preservation,Not Reported,NA
371,Zona Protectora,Protected Zone,VI,VI
361,Zona Reservada,Restricted Zone,Not Assigned,
382,Zona Sujeta a Conservación Ecológica,Ecological Conservation,Not Reported,NA
403,Zona Sujeta a Reserva Ecológica,Ecological Reserve,Not Reported,NA
494,Zone of Agricultural Development,Zone of Agricultural Development,Not Reported,VI
420,"ZPECP, subcategoria parque intraurbano",Municipal Park,Not Reported,
