Binomial	Presence	Origin	Seasonal	Compiler	Year	Citation	Dec_Lat	Dec_Long	SpatialRef	BasisOfRec	Event_Year	Source	Dist_comm	Island	Subspecies	Subpop	Tax_comm	Data_Sens	Sens_Comm	ID_No	collectID	recordNo	recordedBy	day	month	countryCode	locality	minElev	maxElev	verbaElev	verbatLat	verbatLong	verbatCoord	verbatSRS	coordUncert	georefVeri	georefVeri	identCert	typeStatus	subgenus	obsYrQual	obsCompNot	adminError	adminFixed	adminSrcFix	adminChang	id
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-9.007242939'	'-43.68523563'	WGS84	PreservedSpecimen	2009	G. Martinelli 16255	Piauí Guaribas Parque Nacional da Serra das Confusões. Baixo do Canto verde.					N	N		NYBG1184151	16255	G. Martinelli	8	4	BRA	Piauí Guaribas Parque Nacional da Serra das Confusões. Baixo do Canto verde.														1	GC					urn:occurrence:69bfbbf8-bc7a-4469-ad9c-b6bbef0696fe
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-12.301111'	'-40.458056'	WGS84	PreservedSpecimen	2004	Queiroz, L.P.de 9807	Bahia Ruy Barbosa Estrada para Barro Duro.					N	N		HUEFS90383	9807	Queiroz, L.P.de	14	11	BRA	Bahia Ruy Barbosa Estrada para Barro Duro.														1	GC					urn:occurrence:014ee5ec-86e5-41dc-bc3c-54955537c2ae
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-9.271784815'	'-37.69219494'	WGS84	PreservedSpecimen	2009	Chagas-Mota;L.M.Leão 3069	Alagoas Inhapi Serra do Grude.					N	N		MAC0038357	3069	Chagas-Mota;L.M.Leão	23	4	BRA	Alagoas Inhapi Serra do Grude.														1	GC					urn:occurrence:82251916-93a1-4922-b5c3-d009133cc5ab
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-14.016666666667'	'-41.233333333333'	WGS84	PreservedSpecimen	2016	Valadão, R de M; s.n.						N	N		ALCB045881	s.n.	Valadão, R de M;	25	11	BRA															1	GC					urn:occurrence:7899c6ff-ecc1-4b6a-908e-0aeb708153af
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-12.228238'	'-39.035003'	WGS84	PreservedSpecimen	2014	Costa, J.A.; 10	Bahia Feira de Santana Cuzeiro do Mocó.					N	N		HUEFS207405	10	Costa, J.A.;	21	5	BRA	Bahia Feira de Santana Cuzeiro do Mocó.														1	GC					urn:occurrence:68d5280a-3a84-49a5-b270-6ec89fd727d3
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-12.728611111111'	'-39.705'	WGS84	PreservedSpecimen	2014	C.L. Silva-Luz;M.F. Devechi 304	Bahia Itatim BR 101 em direção a Vitória da Conquista. Próximo ao Morro das Tocas.					N	N		RB00987609	304	C.L. Silva-Luz;M.F. Devechi	22	10	BRA	Bahia Itatim BR 101 em direção a Vitória da Conquista. Próximo ao Morro das Tocas.														1	GC					urn:occurrence:987f407d-a7ef-40fb-92cd-2df30bcbbedf
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-10.9214'	'-39.0792'	WGS84	PreservedSpecimen	2005	D. B. O. S. Cardoso 525	Bahia Quijingue Serra das Candeias, a ca. de 5 km W do Povoado Quixaba do Mandacaru.					N	N		NYBG1144601	525	D. B. O. S. Cardoso	15	5	BRA	Bahia Quijingue Serra das Candeias, a ca. de 5 km W do Povoado Quixaba do Mandacaru.														1	GC					urn:occurrence:79e80c97-879b-4869-8ec2-9981e4b848a2
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-13.442925'	'-44.17382'	WGS84	PreservedSpecimen	2000	Queiroz, L.P.de; 5969	Bahia São Félix do Coribe ca. 7,7 km S de Santa Maria da Vitória na estrada para Lagoinha. Extremidade setentrional da Serra do Ramalho.					N	N		HUEFS043716	5969	Queiroz, L.P.de;	13	2	BRA	Bahia São Félix do Coribe ca. 7,7 km S de Santa Maria da Vitória na estrada para Lagoinha. Extremidade setentrional da Serra do Ramalho.														1	GC					urn:occurrence:241b5ac2-d1cc-49a4-a9dd-f3034c8e9145
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-13.798418'	'-46.864292'	WGS84	PreservedSpecimen	2000	D. Alvarenga;R.C. Mendonça,M. Aparecida da Silva 1291	Goiás Nova Roma Saída da cidade em direção a Iaciara. Fazenda Cachoeira (Proprietário Sr. Manoel R.G. de Sousa).					N	N		RB00411692	1291	D. Alvarenga;R.C. Mendonça,M. Aparecida da Silva	1	3	BRA	Goiás Nova Roma Saída da cidade em direção a Iaciara. Fazenda Cachoeira (Proprietário Sr. Manoel R.G. de Sousa).														1	GC					urn:occurrence:3be171b2-ecd4-47aa-8e7c-92505ed84105
Cyrtocarpa caatingae	1	1	1	CNCFlora/JBRJ	2019	BP-RLA/CNCFlora/JBRJ	'-14.05'	'-46.483333333333'	WGS84	PreservedSpecimen	2003	Fagg, CW;Oliveira, NR 1317	Goiás Iaciara Fazenda Sabonete, mata seca com parcelas permanentes da UnB. Linha 2, parcela 19, 250 m desde a borda da mata. Solo raso com afloramento de rochas calcáreas.					N	N		IBGE00059290	1317	Fagg, CW;Oliveira, NR	5	10	BRA	Goiás Iaciara Fazenda Sabonete, mata seca com parcelas permanentes da UnB. Linha 2, parcela 19, 250 m desde a borda da mata. Solo raso com afloramento de rochas calcáreas.														1	GC					urn:occurrence:0fd435bf-d51b-4ff0-b49a-be116520bdb9
